Talk_2021.8.24 13:10-15.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 5월 28일 월요일
2018. 5. 28. 16:03, (알 수 없음) : 11일밤에갈까
2018. 5. 29. 22:08, 경민 : 아기분개조쿠요
2018. 5. 29. 22:09, 경민 : 막걸리가
2018. 5. 29. 22:09, 경민 : 마시면좋데
2018. 5. 29. 22:09, (알 수 없음) : rgrg
2018. 5. 29. 22:09, 경민 : ㄱㅎㄱㅎ
2018. 5. 29. 22:30, (알 수 없음) : 사진
2018. 5. 29. 22:30, (알 수 없음) : 바비가우승할수잇엇던이유래 ㅅㅂ
2018. 5. 29. 22:30, (알 수 없음) : 나머지가약해서
2018. 5. 29. 22:30, (알 수 없음) : ;
2018. 5. 29. 22:30, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 29. 22:30, 이석준 : 시발
2018. 5. 29. 22:30, 이석준 : 약해서
2018. 5. 29. 22:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 29. 22:40, 정우 : 존나약하네ㅎㅇ
2018. 5. 29. 22:40, 정우 : ㄹㅇ
2018. 5. 29. 22:40, 정우 : 나도하고싶다
2018. 5. 29. 22:41, 정우 : 나 약한데
2018. 5. 29. 22:47, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 29. 22:47, Sekwang Ludan : 개웃기네
2018. 5. 29. 22:47, Sekwang Ludan : ㅎㅇ
2018. 5. 29. 22:47, (알 수 없음) : ㅎㅇ
2018. 5. 29. 22:48, 정우 : ㅎㅇ
2018. 5. 29. 22:49, 이석준 : ㅎㅇ
2018. 5. 29. 22:57, (알 수 없음) : 헤이가이즈
2018. 5. 29. 22:57, (알 수 없음) : what r u doing now
2018. 5. 29. 23:00, 경민 : 조려버렸따
2018. 5. 29. 23:01, Sekwang Ludan : 사진
2018. 5. 29. 23:01, Sekwang Ludan : ㅠㅠㅠㅠ
2018. 5. 29. 23:03, (알 수 없음) : 표가잘못된거같은데엽
2018. 5. 29. 23:03, (알 수 없음) : !
2018. 5. 29. 23:03, (알 수 없음) : 근데
2018. 5. 29. 23:03, (알 수 없음) : 그만둘건데대충하셈...
2018. 5. 29. 23:03, (알 수 없음) : 내일발표난다맼ㅋㅋㅌㅌㅋ
2018. 5. 29. 23:04, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대충대충 하고있는데도 쌉극혐
2018. 5. 29. 23:04, Sekwang Ludan : 개싫다
2018. 5. 29. 23:04, Sekwang Ludan : ㅋㅋㅋㅋㅋ
2018. 5. 29. 23:04, Sekwang Ludan : 내일 오전에 이거 발표하고 회사 발표 나겠지
2018. 5. 29. 23:04, Sekwang Ludan : ㅋㅋㅋ
2018. 5. 29. 23:04, (알 수 없음) : 아
2018. 5. 29. 23:04, (알 수 없음) : 내닐오전...
2018. 5. 29. 23:04, (알 수 없음) : 화팅
2018. 5. 29. 23:08, Sekwang Ludan : 이모티콘 
2018. 5. 29. 23:08, Sekwang Ludan : 이모티콘 

2018년 5월 30일 수요일
2018. 5. 30. 01:15, (알 수 없음) : 형
2018. 5. 30. 01:15, (알 수 없음) : 내일언제발표남
2018. 5. 30. 01:17, 정우 : 너잘때
2018. 5. 30. 01:18, Sekwang Ludan : 몰라 ㅠㅠ 내일 하루종일 전화기 붙들고 있어야할거 같은데..
2018. 5. 30. 01:22, 정우 : 아 과제
2018. 5. 30. 01:22, 정우 : 일어나서해야겠다
2018. 5. 30. 01:22, 정우 : 도저히 깨있을수가없다
2018. 5. 30. 01:22, 정우 : ㅂ
2018. 5. 30. 01:23, Sekwang Ludan : 흐... 같이 밤새자 ㅠㅠ
2018. 5. 30. 01:24, 정우 : ㄴㄴ
2018. 5. 30. 01:24, 정우 : 이미한계
2018. 5. 30. 01:24, 정우 : ㅂㅇ
2018. 5. 30. 01:25, Sekwang Ludan : 이모티콘 
2018. 5. 30. 01:36, (알 수 없음) : 아ㅏㅏㅏㅏㅏㅏㅏ쒸벌
2018. 5. 30. 01:36, (알 수 없음) : 조혼나안나오고
2018. 5. 30. 01:36, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 01:36, (알 수 없음) : 나두잔당,,,안녕형,,,
2018. 5. 30. 01:36, (알 수 없음) : 내일좋은ㅅ소식들랴줘
2018. 5. 30. 01:37, Sekwang Ludan : 얍!! 잘자셈들 ㅠㅠ
2018. 5. 30. 05:32: 부그뷰님이 나갔습니다.
2018. 5. 30. 09:22, 경민 : 지각이답
2018. 5. 30. 09:22, 경민 : 엥
2018. 5. 30. 09:22, 경민 : 뭐지
2018. 5. 30. 09:25, Sekwang Ludan : ㅂㄱㅂ??
2018. 5. 30. 09:25, Sekwang Ludan : 언제 초대해란말도 안하네.. ㅋㅋㅋ
2018. 5. 30. 09:27, 경민 : 급햇나부다
2018. 5. 30. 09:27, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 09:28, 양우성 : ㅎㅇ
2018. 5. 30. 09:28, 양우성 : 부탈주했네
2018. 5. 30. 09:28, 경민 : 잠와
2018. 5. 30. 09:29, 경민 : 어제새벽4시에깨서
2018. 5. 30. 09:29, 경민 : 6시에다시잠
2018. 5. 30. 09:29, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 09:29, 경민 : 시벌
2018. 5. 30. 09:29, Sekwang Ludan : ㅋㅋㅋㅋㅋ 난 2시에자서 6시에 일어남 ㅋㅋㅋ
2018. 5. 30. 09:30, Sekwang Ludan : 하 왜 이렇게 살지..
2018. 5. 30. 09:30, 경민 : 오빠
2018. 5. 30. 09:30, 양우성 : 나 어제술먹구 1시에들옴
2018. 5. 30. 09:30, Sekwang Ludan : 야 근데 6월 술 뭐냐?
2018. 5. 30. 09:30, Sekwang Ludan : ㅋㅋㅋㅋ
2018. 5. 30. 09:30, 경민 : 오늘합격하면
2018. 5. 30. 09:30, 경민 : 개조을고야
2018. 5. 30. 09:30, 경민 : 쫌망참으삼
2018. 5. 30. 09:30, Sekwang Ludan : ㅇㅇ 오늘 합격하면 ㄹㅇ...
2018. 5. 30. 09:30, Sekwang Ludan : 하..
2018. 5. 30. 09:30, 경민 : 6월술은
2018. 5. 30. 09:30, Sekwang Ludan : 베바알
2018. 5. 30. 09:30, Sekwang Ludan : 제바알
2018. 5. 30. 09:30, 경민 : 자기가먹는날에
2018. 5. 30. 09:30, Sekwang Ludan : ㅋㅋㅋㅋ
2018. 5. 30. 09:30, 경민 : 자기가체크하는거
2018. 5. 30. 09:30, 경민 : ㅎ
2018. 5. 30. 09:30, Sekwang Ludan : 아... ㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:30, 양우성 : 셤망끗나바라
2018. 5. 30. 09:31, 양우성 : 오지게먹어주마
2018. 5. 30. 09:31, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 09:31, 경민 : 구라치네
2018. 5. 30. 09:31, 경민 : 양우성
2018. 5. 30. 09:31, Sekwang Ludan : 오지게 먹어야지
2018. 5. 30. 09:31, Sekwang Ludan : 오늘 합격만 해바라
2018. 5. 30. 09:31, 양우성 : 어제도졸라머것다
2018. 5. 30. 09:32, 경민 : 세광합격을기원
2018. 5. 30. 09:33, 경민 : 근데
2018. 5. 30. 09:33, 경민 : 님들
2018. 5. 30. 09:33, 경민 : 짛문
2018. 5. 30. 09:33, 경민 : 라최몇이냐
2018. 5. 30. 09:36, 양우성 : 라최가머임
2018. 5. 30. 09:36, 경민 : 햄최몇
2018. 5. 30. 09:36, 경민 : 라최몇
2018. 5. 30. 09:36, 경민 : ㄴㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:37, 양우성 : ㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋ
2018. 5. 30. 09:37, 양우성 : 참신하네 라최몇
2018. 5. 30. 09:38, 양우성 : 측정하려면 졸라먹어야되나;;
2018. 5. 30. 09:38, 경민 : 나어제
2018. 5. 30. 09:38, 경민 : 막걸리750에
2018. 5. 30. 09:38, 경민 : 라면2사ㅏ발에
2018. 5. 30. 09:38, 경민 : 과자먹엇어
2018. 5. 30. 09:38, 경민 : ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:38, 양우성 : 훌륭하다
2018. 5. 30. 09:38, 경민 : ㅎ...개졸라돼지담
2018. 5. 30. 09:38, 경민 : 오늘부터다시다여트해야디
2018. 5. 30. 09:38, 양우성 : 술적게먹은것만해도
2018. 5. 30. 09:39, 양우성 : 잘한거다
2018. 5. 30. 09:39, 경민 : ㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:39, 경민 : 1일1병인디
2018. 5. 30. 09:39, 양우성 : 막걸리가술이냐
2018. 5. 30. 09:39, 정우 : ㅎㅇ
2018. 5. 30. 09:39, 양우성 : ㅎㅇ
2018. 5. 30. 09:39, 정우 : 와우 존나피곤하네
2018. 5. 30. 09:40, 양우성 : 늦잠잣는데두 피건
2018. 5. 30. 09:41, 경민 : 막걸리
2018. 5. 30. 09:41, 경민 : 음료수지
2018. 5. 30. 09:41, 경민 : ㅎㅎ
2018. 5. 30. 09:45, 정우 : 근데 저 술마시는거 체크
2018. 5. 30. 09:45, 정우 : 맥주한캔만마셔도 마신거임?
2018. 5. 30. 09:45, 경민 : ㅇㅇ
2018. 5. 30. 09:46, 양우성 : 누가 개근찍어줬으면좋겠다
2018. 5. 30. 09:46, 정우 : 호
2018. 5. 30. 09:47, 정우 : 기준빡세네
2018. 5. 30. 09:47, 경민 : 오재훈이지뭐
2018. 5. 30. 09:47, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:47, Sekwang Ludan : 오재훈이나 김경민이겠지
2018. 5. 30. 09:47, 경민 : 난...
2018. 5. 30. 09:47, 경민 : 6/1부터 다시 절주할고엽
2018. 5. 30. 09:47, 정우 : 난 6월1일은 마신다
2018. 5. 30. 09:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 09:47, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 09:49, 정우 : 좀만쉬어야겠당
2018. 5. 30. 09:49, 정우 : 으어
2018. 5. 30. 09:52, (알 수 없음) : ㅎㅇ
2018. 5. 30. 09:55, 정우 : ㅎㅇ
2018. 5. 30. 09:56, (알 수 없음) : 후니
2018. 5. 30. 09:57, (알 수 없음) : 6월1일 일정공지한다
2018. 5. 30. 09:57, (알 수 없음) : 사진
2018. 5. 30. 09:57, 정우 : ;;;;
2018. 5. 30. 09:58, (알 수 없음) : ;;
2018. 5. 30. 09:58, (알 수 없음) : 6월1일체크하겟다는소리
2018. 5. 30. 09:58, Sekwang Ludan : 신대방 나랑 가깝네~
2018. 5. 30. 09:58, 양우성 : 선체크
2018. 5. 30. 09:58, (알 수 없음) : 이모티콘 
2018. 5. 30. 09:58, 양우성 : 벌레우두머리답다
2018. 5. 30. 09:59, (알 수 없음) : 사진
2018. 5. 30. 10:00, (알 수 없음) : 방핫때심심하면다녀야지
2018. 5. 30. 10:00, 양우성 : 올
2018. 5. 30. 10:00, (알 수 없음) : 담학기도여유롭게다니면서학원이나다녀야지
2018. 5. 30. 10:00, (알 수 없음) : 이모티콘 
2018. 5. 30. 10:00, 양우성 : 오재보컬가즈아
2018. 5. 30. 10:00, (알 수 없음) : 근데
2018. 5. 30. 10:00, (알 수 없음) : 조온나비삳거아니냐
2018. 5. 30. 10:00, 양우성 : 개인이명비쌈
2018. 5. 30. 10:02, (알 수 없음) : 쩝쩝
2018. 5. 30. 10:02, (알 수 없음) : 일단영어학원도조져야하는데
2018. 5. 30. 10:02, (알 수 없음) : 쉽지않네
2018. 5. 30. 10:34, 경민 : 사진
2018. 5. 30. 10:34, 경민 : ㅎㅇ
2018. 5. 30. 11:00, (알 수 없음) : ㅎㅇ...
2018. 5. 30. 11:23, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅎㅇ
2018. 5. 30. 11:34, Sekwang Ludan : ㅎㅇ
2018. 5. 30. 11:34, Sekwang Ludan : 수업 개노잼이네
2018. 5. 30. 11:47, 원준오빠 : 사진
2018. 5. 30. 11:47, 원준오빠 : 요런거관심있는사람있냐
2018. 5. 30. 11:48, 양우성 : 올
2018. 5. 30. 11:48, 경민 : 신기하다…
2018. 5. 30. 11:48, 양우성 : 초대권잇으면주세여..
2018. 5. 30. 11:49, 경민 : 하영이랑가게?
2018. 5. 30. 11:49, 경민 : ;;
2018. 5. 30. 11:49, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:50, 원준오빠 : ㅋ
2018. 5. 30. 11:50, Sekwang Ludan : 초대권이 저거임?? 디지털 초대권인가?
2018. 5. 30. 11:50, 원준오빠 : 아닌데 구냥 홍보하는건데
2018. 5. 30. 11:50, 원준오빠 : 잠만
2018. 5. 30. 11:50, Sekwang Ludan : ㅇㅎ~ ㅋㅋ
2018. 5. 30. 11:50, 원준오빠 : 초대권 있나 물어봄!
2018. 5. 30. 11:50, Sekwang Ludan : 재밌어보인다
2018. 5. 30. 11:50, Sekwang Ludan : ㅋㅋㅋ 같이 갈 사람있으면 감
2018. 5. 30. 11:52, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, 정우 : 디지털초대권ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, 정우 : 어씨이거 왜케웃기짘ㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, Sekwang Ludan : 왜!! 요즘은 청첩장도 디지털로 주던데
2018. 5. 30. 11:52, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, 경민 : 디ㅣㅈ털초대권ㅋㅋㅋㅋ
2018. 5. 30. 11:52, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, 양우성 : 신식이네
2018. 5. 30. 11:52, 정우 : 그건아는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:52, 정우 : 저거보고 초대권이라한겈ㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:53, 정우 : 존나웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:53, 정우 : 그렇게생기긴했네 근데 또 보니까
2018. 5. 30. 11:53, 양우성 : 그러넼ㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:53, 정우 : 그치만존나웃기다
2018. 5. 30. 11:53, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:53, 양우성 : 저거보여주면서
2018. 5. 30. 11:53, 양우성 : 들여보내달라하셈
2018. 5. 30. 11:53, 정우 : 저거뽑아서
2018. 5. 30. 11:53, 정우 : 흰티에 프린팅
2018. 5. 30. 11:53, 정우 : 해서 그옷입고가면
2018. 5. 30. 11:53, 정우 : 백프로통과다
2018. 5. 30. 11:56, Sekwang Ludan : 아니 저기 초대권이라고 써져있자나
2018. 5. 30. 11:56, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:56, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:56, Sekwang Ludan : 사진
2018. 5. 30. 11:56, Sekwang Ludan : 유씨??
2018. 5. 30. 11:56, 양우성 : 그래서
2018. 5. 30. 11:56, 양우성 : 프린트해가자는
2018. 5. 30. 11:56, 양우성 : 말이나온거임
2018. 5. 30. 11:56, 양우성 : ㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:57, 정우 : 어 그러네
2018. 5. 30. 11:57, 정우 : 난저거못봤는데
2018. 5. 30. 11:57, Sekwang Ludan : 폰으로 보여주면 안되나??
2018. 5. 30. 11:57, Sekwang Ludan : 쩝..
2018. 5. 30. 11:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:57, 정우 : 미친 개반전ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 11:57, Sekwang Ludan : 이모티콘 
2018. 5. 30. 12:00, 정우 : 호우근데 날씨졸라덥넹
2018. 5. 30. 12:02, 양우성 : 호우
2018. 5. 30. 12:02, Sekwang Ludan : 와 하필 나 발표한 뒤에 박사님 발표하네...
2018. 5. 30. 12:02, Sekwang Ludan : 졸라 잘한다 ㄷㄷ
2018. 5. 30. 12:02, Sekwang Ludan : 교수님 흡족
2018. 5. 30. 12:02, Sekwang Ludan : 난 중간에 짤렸는데 ㅠ
2018. 5. 30. 12:04, Sekwang Ludan : 이모티콘 
2018. 5. 30. 12:06, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 12:08, 양우성 : 괘안타!
2018. 5. 30. 12:08, 양우성 : 취업하면 뭐 상관잇나!
2018. 5. 30. 12:09, Sekwang Ludan : 하긴 취업 되면 금요일 수업은 나가지도 말아야지
2018. 5. 30. 12:10, 정우 : ㅇㅈ
2018. 5. 30. 12:10, 정우 : 그럼 금욜에 노는각????
2018. 5. 30. 12:10, 정우 : 아 아니다
2018. 5. 30. 12:10, 정우 : 나약속있지
2018. 5. 30. 12:10, 정우 : 자제하자
2018. 5. 30. 12:10, Sekwang Ludan : 돼야지돼야지 돼야지~~~~
2018. 5. 30. 12:10, 정우 : 될꺼임ㅋㅋㅋㅋ
2018. 5. 30. 12:10, Sekwang Ludan : 금욜에 개되는각!
2018. 5. 30. 12:18, (알 수 없음) : 이모티콘 
2018. 5. 30. 12:30, 빠충 : 이모티콘 
2018. 5. 30. 12:34, 경민 : 사진
2018. 5. 30. 12:34, 경민 : ㅎㅇ
2018. 5. 30. 12:34, 경민 : 팀장님이마싯는거먹자그래서
2018. 5. 30. 12:34, 경민 : 호텔뷔페옴
2018. 5. 30. 12:34, 양우성 : 와
2018. 5. 30. 12:34, 양우성 : 개부럽다
2018. 5. 30. 12:34, 양우성 : 호텔클라스
2018. 5. 30. 12:35, (알 수 없음) : 맛있겠따
2018. 5. 30. 12:35, (알 수 없음) : 쉿
2018. 5. 30. 12:35, (알 수 없음) : 나는 모밀먹어쓴데
2018. 5. 30. 12:36, 경민 : ㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:36, Sekwang Ludan : 쩐다
2018. 5. 30. 12:36, Sekwang Ludan : 이모티콘 
2018. 5. 30. 12:36, Sekwang Ludan : 혼밥임 난 ㅠㅠㅠ
2018. 5. 30. 12:36, Sekwang Ludan : 학식 조져야겠다
2018. 5. 30. 12:36, 정우 : 와
2018. 5. 30. 12:36, 정우 : 난못먹는데 오늘
2018. 5. 30. 12:37, 정우 : 이모티콘 
2018. 5. 30. 12:37, 양우성 : 나두 퀴즈끝나면 3시에먹는다ㅠ
2018. 5. 30. 12:37, (알 수 없음) : 김경민
2018. 5. 30. 12:37, 양우성 : 혼바압
2018. 5. 30. 12:37, (알 수 없음) : 질문가능?
2018. 5. 30. 12:37, (알 수 없음) : keyword를
2018. 5. 30. 12:37, (알 수 없음) : 모르겠어서 검색을 못하겠다
2018. 5. 30. 12:37, 정우 : 불가
2018. 5. 30. 12:37, (알 수 없음) : 하
2018. 5. 30. 12:37, 정우 : 리젝
2018. 5. 30. 12:37, (알 수 없음) : 오까이,,
2018. 5. 30. 12:37, 정우 : 밥먹을때 건드리는거아니자
2018. 5. 30. 12:37, 정우 : 다
2018. 5. 30. 12:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:38, (알 수 없음) : 인정...
2018. 5. 30. 12:38, (알 수 없음) : 인정따리인정따한다
2018. 5. 30. 12:38, (알 수 없음) : 야근데
2018. 5. 30. 12:38, (알 수 없음) : 인정따리인정따
2018. 5. 30. 12:38, (알 수 없음) : 이게 그렇게 쌉병신같은
2018. 5. 30. 12:38, (알 수 없음) : 말투냐?
2018. 5. 30. 12:38, 정우 : ㅇㅇ
2018. 5. 30. 12:38, (알 수 없음) : 인정황!
2018. 5. 30. 12:38, (알 수 없음) : 이거는
2018. 5. 30. 12:38, 정우 : ㅇㅇ
2018. 5. 30. 12:38, (알 수 없음) : ㅅㅂ;
2018. 5. 30. 12:38, (알 수 없음) : ㅇㅋ;;
2018. 5. 30. 12:38, 정우 : 인정따리인정따
2018. 5. 30. 12:38, 정우 : 요즘 심심하면 해진이한테 쓰다가
2018. 5. 30. 12:38, 정우 : 애가 이상한거 배워가지고
2018. 5. 30. 12:39, 정우 : 딴데가서 그말투썼다가
2018. 5. 30. 12:39, 정우 : 존나이상하단소리들었다는데
2018. 5. 30. 12:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:42, Sekwang Ludan : 어 나도 오재훈 말투 따라하다가 전여친한테 병신 소리들었는데
2018. 5. 30. 12:42, Sekwang Ludan : 뭐... 그럴수있지
2018. 5. 30. 12:42, 경민 : ㅇㅇ?
2018. 5. 30. 12:42, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:42, 경민 : 나도그거
2018. 5. 30. 12:43, 경민 : 썻ㅅ다가병시닝래
2018. 5. 30. 12:43, Sekwang Ludan : 결론 오재훈 병신?
2018. 5. 30. 12:43, 양우성 : 근묵자흑
2018. 5. 30. 12:43, 원준오빠 : 우성이 초대권 있으면 감?
2018. 5. 30. 12:43, 원준오빠 : 노빠꾸임
2018. 5. 30. 12:44, 양우성 : 검색해보고
2018. 5. 30. 12:44, Sekwang Ludan : 근묵자흑???
2018. 5. 30. 12:44, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:44, (알 수 없음) : ㅅㅂ
2018. 5. 30. 12:44, (알 수 없음) : ㅡ.,ㅡ
2018. 5. 30. 12:44, (알 수 없음) : 친구들이나보고병신이래
2018. 5. 30. 12:44, (알 수 없음) : 뻑치네
2018. 5. 30. 12:44, Sekwang Ludan : 여긴 다 시커먼새키들밖에 없어
2018. 5. 30. 12:44, Sekwang Ludan : ㅋㅋㅋㅋ 그래서 머!!
2018. 5. 30. 12:44, Sekwang Ludan : 병신 아이가??
2018. 5. 30. 12:45, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 12:47, 양우성 : 예술의전당근처 놀게있나
2018. 5. 30. 12:47, (알 수 없음) : 서초
2018. 5. 30. 12:47, 양우성 : 고민이네
2018. 5. 30. 12:47, (알 수 없음) : 예당나오면
2018. 5. 30. 12:47, 정우 : 물어봐줄까
2018. 5. 30. 12:47, (알 수 없음) : 바로갱냄이잖아
2018. 5. 30. 12:47, 정우 : 여친한테
2018. 5. 30. 12:47, 빠충 : 예당
2018. 5. 30. 12:47, 빠충 : 가자
2018. 5. 30. 12:47, 빠충 : 가즈아
2018. 5. 30. 12:47, 빠충 : 가즈아ㅏㅏㅏㅏ
2018. 5. 30. 12:48, 빠충 : 고오오ㅗㅗㅗㅗ
2018. 5. 30. 12:48, 빠충 : 이모티콘 
2018. 5. 30. 12:49, 정우 : 뭐지
2018. 5. 30. 12:51, 빠충 : 뭐가
2018. 5. 30. 12:51, 빠충 : 배고프다
2018. 5. 30. 12:51, 빠충 : 일어났다
2018. 5. 30. 12:52, 빠충 : 집 정리도 했고
2018. 5. 30. 13:09, Sekwang Ludan : 크~~ 배부르니까 낮잠따리 한시간 때려야겠다
2018. 5. 30. 13:11, (알 수 없음) : 아니
2018. 5. 30. 13:11, (알 수 없음) : 그만하셈
2018. 5. 30. 13:20, 원준오빠 : 옼케이 fail!
2018. 5. 30. 13:38, (알 수 없음) : !
2018. 5. 30. 13:38, (알 수 없음) : 6월1일에술마실사람
2018. 5. 30. 13:38, (알 수 없음) : 투표하셈
2018. 5. 30. 13:40, 정우 : 마시고
2018. 5. 30. 13:40, 정우 : 투표하면안되냐
2018. 5. 30. 13:41, (알 수 없음) : ㅇㅋㅇㅋ
2018. 5. 30. 13:41, (알 수 없음) : 나ㅑ두뻄
2018. 5. 30. 13:41, 경민 : 오재훈그래서질문머엿는데
2018. 5. 30. 13:42, (알 수 없음) : 아
2018. 5. 30. 13:42, (알 수 없음) : 처리했음
2018. 5. 30. 13:42, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 13:45, 정우 : 아
2018. 5. 30. 13:45, 정우 : 3시수업안가야지
2018. 5. 30. 13:50, 경민 : ㅋㅋㅋㅋㅋ
2018. 5. 30. 13:50, 경민 : ㅌㅋ
2018. 5. 30. 13:50, 경민 : ㅇㅋ
2018. 5. 30. 14:21, 경민 : 아
2018. 5. 30. 14:22, 경민 : 사진
2018. 5. 30. 14:22, 경민 : 대학원잼.....
2018. 5. 30. 14:28, 빠충 : 누가
2018. 5. 30. 14:28, 빠충 : 대학원
2018. 5. 30. 14:28, 빠충 : 아
2018. 5. 30. 14:28, 빠충 : 나쁜 사람이네
2018. 5. 30. 14:29, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 5. 30. 14:32, 경민 : ㅎㅎㅎㅎㅎ
2018. 5. 30. 14:34, 정우 : 아 배고파
2018. 5. 30. 14:35, 정우 : 수업이끝났군
2018. 5. 30. 14:43, 양우성 : 오예
2018. 5. 30. 14:44, 정우 : 맛난거없나
2018. 5. 30. 14:45, 정우 : 혼자먹을거추천좀
2018. 5. 30. 14:47, 양우성 : 정우랑신촌간다 꾸울
2018. 5. 30. 14:47, 정우 : 오 우성이형 친구생겼고
2018. 5. 30. 14:47, 정우 : 개이득
2018. 5. 30. 14:47, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐해둘이
2018. 5. 30. 14:48, 정우 : 밥먹을꺼
2018. 5. 30. 14:49, 이석준 : 밥먹어야지
2018. 5. 30. 14:49, 이석준 : 아귀찮아
2018. 5. 30. 14:49, 이석준 : 밥하기
2018. 5. 30. 15:16, 양우성 : 사진
2018. 5. 30. 15:16, 양우성 : 이득따리이득따
2018. 5. 30. 15:16, 경민 : 오우
2018. 5. 30. 15:16, 경민 : 양개많아
