Talk_2021.8.24 13:11-88.txt
저장한 날짜 : 2021. 8. 24. 13:14



2021년 8월 9일 월요일
2021. 8. 9. 08:27, 원준오빠 : 나도모르게 든든댄스 든든대앤 든든댄
2021. 8. 13. 07:33, abyss오재 : 서강대교수
2021. 8. 13. 07:33, abyss오재 : 잇음ㅎㅋ
2021. 8. 13. 07:33, abyss오재 : 전 서강대교수
2021. 8. 13. 07:33, abyss오재 : 샵검색 : #권강현
2021. 8. 13. 07:37, abyss오재 : 근데또하나의문드는데
2021. 8. 13. 07:37, abyss오재 : 말하기 ㄱㄴ
2021. 8. 13. 07:40, 정우 : ㄱㄴ
2021. 8. 13. 07:42, 경민 : ㄱㄴㄱㄴ
2021. 8. 13. 07:42, 경민 : ㅁㅊ 서강대교수엿누
2021. 8. 13. 07:42, abyss오재 : 내애플워치
2021. 8. 13. 07:42, abyss오재 : 어디갓누,..?
2021. 8. 13. 07:42, abyss오재 : ㅠ
2021. 8. 13. 07:42, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 07:42, 경민 : 엥
2021. 8. 13. 07:42, abyss오재 : 이정우랑술먹고온담에첨찾는거같은데
2021. 8. 13. 07:42, 경민 : 집에업누
2021. 8. 13. 07:42, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 07:42, 정우 : ㅅㅂ
2021. 8. 13. 07:42, abyss오재 : 어디갓다놧지ㅠ
2021. 8. 13. 07:42, 정우 : 방바닥에없냐
2021. 8. 13. 07:42, 정우 : 침대밑
2021. 8. 13. 07:43, abyss오재 : 전혀기억이안나
2021. 8. 13. 07:43, abyss오재 : 방바닥
2021. 8. 13. 07:43, abyss오재 : 업는데
2021. 8. 13. 07:44, abyss오재 : 니랑고기먹을땐차고잇엇을텐데
2021. 8. 13. 07:44, abyss오재 : 집와서,,,,,,,,,
2021. 8. 13. 07:44, abyss오재 : 워치엔 핑 못넣누..?
2021. 8. 13. 07:45, 정우 : ㄱㄴ
2021. 8. 13. 07:45, Sekwang Ludan : ㅋㅋㅋㅋ 머지포인트
2021. 8. 13. 07:45, 정우 : 워치앱ㄱ
2021. 8. 13. 07:46, abyss오재 : 뭐누르면
2021. 8. 13. 07:46, abyss오재 : 핑됨?
2021. 8. 13. 07:46, 정우 : 모든시계가서
2021. 8. 13. 07:47, 정우 : 니 시계 i버튼누르면
2021. 8. 13. 07:47, 정우 : 워치찾기나옴
2021. 8. 13. 07:47, abyss오재 : 몬말잊
2021. 8. 13. 07:47, abyss오재 : 모든시계가
2021. 8. 13. 07:47, abyss오재 : 어딧음?
2021. 8. 13. 07:47, 정우 : 왼쪽위에
2021. 8. 13. 07:47, 정우 : 없음?
2021. 8. 13. 07:47, abyss오재 : 아하
2021. 8. 13. 07:47, abyss오재 : ㅇㅋㅇㅋ찾음
2021. 8. 13. 07:48, abyss오재 : 밧데리다됏나 ㅅㅂ
2021. 8. 13. 07:48, abyss오재 : 안울리는데
2021. 8. 13. 07:48, abyss오재 : ㅠ
2021. 8. 13. 07:48, abyss오재 : ㅅㅂ
2021. 8. 13. 07:49, abyss오재 : 밧데리다됏나본대
2021. 8. 13. 07:49, abyss오재 : 블루투스도안잡히네
2021. 8. 13. 07:50, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 07:50, 정우 : 하나씩다
2021. 8. 13. 07:50, 정우 : 뒤져봐야지 뭐 그럼
2021. 8. 13. 07:50, 경민 : 사진
2021. 8. 13. 07:50, 경민 : ㅈㄴ산책하는데눈앞에
2021. 8. 13. 07:50, 경민 : 비둘기마냥잇음
2021. 8. 13. 07:50, 정우 : ?
2021. 8. 13. 07:50, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 07:50, abyss오재 : 아니진짜뭐지
2021. 8. 13. 07:51, abyss오재 : 막설마쓰레기통에설마잘못들어갓는데
2021. 8. 13. 07:51, abyss오재 : 내가어제버린거아니겟지
2021. 8. 13. 07:52, abyss오재 : 아니뭐지
2021. 8. 13. 07:52, abyss오재 : ㅠ
2021. 8. 13. 07:53, abyss오재 : 말이되나
2021. 8. 13. 07:53, 정우 : 가방
2021. 8. 13. 07:53, 정우 : 니 그 메고다니는거
2021. 8. 13. 07:54, 정우 : 리모컨 놔두는데
2021. 8. 13. 07:54, 정우 : 또 어디있을만하냐
2021. 8. 13. 07:54, 경민 : 이불들춰보셈
2021. 8. 13. 07:56, 부그뷰 : 내한테있응
2021. 8. 13. 07:56, 부그뷰 : 오산와서 가져가
2021. 8. 13. 07:56, abyss오재 : 없음
2021. 8. 13. 07:57, abyss오재 : 아
2021. 8. 13. 07:57, abyss오재 : 킹받아
2021. 8. 13. 07:57, 정우 : 어디있겠지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 07:57, 정우 : 집에서 잃어버리겠음 설마?
2021. 8. 13. 07:57, abyss오재 : ㅅㅂ일단출근해야지
2021. 8. 13. 07:57, abyss오재 : 아니 왜케어제쓰레기통에흘려서버린기분이냐
2021. 8. 13. 07:58, abyss오재 : 안보이니까존나
2021. 8. 13. 07:58, abyss오재 : 그런기분
2021. 8. 13. 07:59, abyss오재 : 아
2021. 8. 13. 07:59, abyss오재 : 출근빨리하려고준비다ㅙㅅ는데
2021. 8. 13. 07:59, abyss오재 : 개늦엇네
2021. 8. 13. 07:59, abyss오재 : ㅅㅂ저녁에다시찾아야겟다
2021. 8. 13. 07:59, 경민 : 사진
2021. 8. 13. 08:00, 경민 : 돌아가는길에 길한복찬에잇음
2021. 8. 13. 08:01, abyss오재 : ㅇㅈㅇ당연
2021. 8. 13. 08:01, abyss오재 : 기억안나겟지
2021. 8. 13. 08:01, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:01, 정우 : 나는모르지;;;;;;;
2021. 8. 13. 08:01, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:01, abyss오재 : 아
2021. 8. 13. 08:01, abyss오재 : 고기먹을때까지분명잇엇는네
2021. 8. 13. 08:01, abyss오재 : ㅅㅂ
2021. 8. 13. 08:01, abyss오재 : 시계는애초에사는게아니엇다
2021. 8. 13. 08:01, 정우 : 아니그걸 밖에서 풀렀을리는 없고
2021. 8. 13. 08:01, abyss오재 : ㅠ
2021. 8. 13. 08:02, abyss오재 : ㅇㅇ
2021. 8. 13. 08:02, abyss오재 : 집밖에나간적이업는데
2021. 8. 13. 08:02, abyss오재 : ㅠ
2021. 8. 13. 08:02, 정우 : 바닥같은데잘뒤져봐라
2021. 8. 13. 08:02, abyss오재 : 맨날푸는곳이컴터앞아니면
2021. 8. 13. 08:02, abyss오재 : 충전기
2021. 8. 13. 08:02, 정우 : 침대랑 벽사이라던지
2021. 8. 13. 08:02, abyss오재 : 아오 ㅅㅂ 버스또안보고급하게내려왓더니8분이네
2021. 8. 13. 08:02, abyss오재 : 다조짐거런데
2021. 8. 13. 08:02, abyss오재 : 저녁에다시조져야겟다
2021. 8. 13. 08:03, abyss오재 : ㅅ뷰
2021. 8. 13. 08:03, abyss오재 : 짜즈나
2021. 8. 13. 08:03, abyss오재 : 오을영어듣기는파업임
2021. 8. 13. 08:03, abyss오재 : 기분이너무좆같기때문
2021. 8. 13. 08:03, abyss오재 : ㅠ
2021. 8. 13. 08:04, abyss오재 : 울고싶군
2021. 8. 13. 08:04, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:04, 정우 : 개웃기네
2021. 8. 13. 08:05, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:05, abyss오재 : 아오늘5시퇴근할수잇게
2021. 8. 13. 08:05, abyss오재 : 6시반에일어낫는데
2021. 8. 13. 08:05, abyss오재 : 애플워치새끼찾아도
2021. 8. 13. 08:05, abyss오재 : 존나후두려팬다
2021. 8. 13. 08:05, abyss오재 : 새끼가존나혼자꺼지네
2021. 8. 13. 08:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:07, 정우 : 아침부터
2021. 8. 13. 08:07, 정우 : 성질더러워졌누.........
2021. 8. 13. 08:07, abyss오재 : ㅠ
2021. 8. 13. 08:07, 정우 : 이모티콘 
2021. 8. 13. 08:07, abyss오재 : 킹이받누,,?
2021. 8. 13. 08:07, abyss오재 : 오늘도순대에
2021. 8. 13. 08:07, abyss오재 : 소주일병반남은거조짐
2021. 8. 13. 08:07, abyss오재 : 후
2021. 8. 13. 08:08, abyss오재 : 애플워치
2021. 8. 13. 08:08, abyss오재 : 기록볼수잇는거뭐잇지
2021. 8. 13. 08:08, abyss오재 : 언제까지심장박동이런거
2021. 8. 13. 08:08, abyss오재 : 체크하면대나
2021. 8. 13. 08:09, abyss오재 : 사진
2021. 8. 13. 08:09, abyss오재 : 마지막기록
2021. 8. 13. 08:09, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:09, 경민 : 이르누
2021. 8. 13. 08:09, abyss오재 : 저게한시간채워져야
2021. 8. 13. 08:09, abyss오재 : 메꿔지나?
2021. 8. 13. 08:11, abyss오재 : 모지
2021. 8. 13. 08:11, abyss오재 : 오후9시에귀가하고잇엇거든
2021. 8. 13. 08:12, abyss오재 : 사진
2021. 8. 13. 08:12, abyss오재 : 여기가끝이네;,;
2021. 8. 13. 08:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:12, 정우 : 과연
2021. 8. 13. 08:13, 정우 : 뭘까
2021. 8. 13. 08:13, abyss오재 : 고기집전화갈겨봄
2021. 8. 13. 08:13, abyss오재 : 술먹다가시계을
2021. 8. 13. 08:13, abyss오재 : 갑자기풀일이잇나?
2021. 8. 13. 08:13, abyss오재 : 우리또뭐애플워치얘기햇엇나?
2021. 8. 13. 08:13, abyss오재 : 뭐지
2021. 8. 13. 08:13, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:13, abyss오재 : 진짜과연이다
2021. 8. 13. 08:14, abyss오재 : 한거같기도하고
2021. 8. 13. 08:14, abyss오재 : (우와)
2021. 8. 13. 08:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:15, abyss오재 : 서로보여주고
2021. 8. 13. 08:15, abyss오재 : 그랫던거같지않니?
2021. 8. 13. 08:15, 정우 : 아니했어도 그걸왜두고오냐고
2021. 8. 13. 08:16, abyss오재 : 풀어서보여주고
2021. 8. 13. 08:16, abyss오재 : 안찻나보지뭐
2021. 8. 13. 08:16, 정우 : 있으면 진짜ㄹㅈㄷ
2021. 8. 13. 08:16, abyss오재 : 잇을거같은데
2021. 8. 13. 08:16, abyss오재 : 너무완벽한시간이다
2021. 8. 13. 08:16, abyss오재 : 적어도 한번은 뛰엇겟지
2021. 8. 13. 08:16, abyss오재 : 9시에귀간데
2021. 8. 13. 08:16, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:17, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:17, abyss오재 : 나의마지막심장소리네;
2021. 8. 13. 08:17, 원준오빠 : ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:17, 경민 : Zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ표현력
2021. 8. 13. 08:17, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:17, 원준오빠 : 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:18, 경민 : 야야근데 술먹고 물건잃어버려본사람으로서
2021. 8. 13. 08:18, 경민 : 뒤지면다집에서나오더라
2021. 8. 13. 08:18, 경민 : 쇼핀백같은데들어잇다거나;
2021. 8. 13. 08:18, 경민 : 침대머리밑에떨어졋다거나
2021. 8. 13. 08:18, 경민 : 이불밑으로들어갓다거ㅏㄴ
2021. 8. 13. 08:19, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:19, abyss오재 : ㅇㄹ단전화조지고업다면
2021. 8. 13. 08:19, abyss오재 : 집다시조저야지ㅠ
2021. 8. 13. 08:19, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:19, 정우 : 내생각
2021. 8. 13. 08:19, 정우 : 무조건집
2021. 8. 13. 08:19, 정우 : 쟤저러는거
2021. 8. 13. 08:19, 정우 : 한두번임?
2021. 8. 13. 08:19, abyss오재 : ㅎ
2021. 8. 13. 08:20, 정우 : ㅎ
2021. 8. 13. 08:20, abyss오재 : 아니존나뒤젓다니가
2021. 8. 13. 08:20, abyss오재 : 고기집백퍼임 ㅜ
2021. 8. 13. 08:20, 정우 : 그래도집
2021. 8. 13. 08:20, abyss오재 : 그럼니도와서찾아줘야함
2021. 8. 13. 08:20, abyss오재 : ㅠ
2021. 8. 13. 08:20, abyss오재 : 나의마지막심장소리를찾아
2021. 8. 13. 08:20, abyss오재 : 여정을떠난다오늘은
2021. 8. 13. 08:20, abyss오재 : 근데심장박동웃기네
2021. 8. 13. 08:20, abyss오재 : 저때왜케차분해짐
2021. 8. 13. 08:21, abyss오재 : 거의수면비피엠인데
2021. 8. 13. 08:22, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:22, 정우 : 그러게 니왜케낮게나옴
2021. 8. 13. 08:22, abyss오재 : 몰랔ㅋㅋㅋ
2021. 8. 13. 08:24, 원준오빠 : 그러고보니
2021. 8. 13. 08:24, 원준오빠 : 나도 안차고나왔네 시계
2021. 8. 13. 08:25, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:25, abyss오재 : 훔치러가야지
2021. 8. 13. 08:25, abyss오재 : 그게빠를듯
2021. 8. 13. 08:30, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:30, 원준오빠 : 똑똑하누;
2021. 8. 13. 08:30, 원준오빠 : 나의 찾기 앱
2021. 8. 13. 08:30, 원준오빠 : 써봄??
2021. 8. 13. 08:30, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 08:30, abyss오재 : ㅇㅇ
2021. 8. 13. 08:30, 원준오빠 : ㅎㅋ
2021. 8. 13. 08:30, abyss오재 : 꺼진덧
2021. 8. 13. 08:31, 원준오빠 : 술쟁이의 말로다 임마
2021. 8. 13. 08:31, 원준오빠 : 운명이지
2021. 8. 13. 08:32, abyss오재 : 사진
2021. 8. 13. 08:32, abyss오재 : 아예꺼졋나봐
2021. 8. 13. 08:32, abyss오재 : 애플워치같은거
2021. 8. 13. 08:33, abyss오재 : 나에겐사치엿다
2021. 8. 13. 08:33, abyss오재 : 오늘못찾으면
2021. 8. 13. 08:33, abyss오재 : 셀룰러취소갈긴다
2021. 8. 13. 08:34, abyss오재 : 뭐해야하지
2021. 8. 13. 08:34, abyss오재 : 오늘
2021. 8. 13. 08:34, abyss오재 : 갑자기정신나갔누
2021. 8. 13. 08:35, 원준오빠 : ㄷㅈ하며 마음을 다스리자
2021. 8. 13. 08:36, abyss오재 : 그래야겟다
2021. 8. 13. 08:36, abyss오재 : 칼퇴하고
2021. 8. 13. 08:36, abyss오재 : ㄷㅈ갈기면서
2021. 8. 13. 08:36, abyss오재 : 한잔갈기고일찍자야지
2021. 8. 13. 08:39, abyss오재 : ㄹㅇ근데거기개잘하는게
2021. 8. 13. 08:39, abyss오재 : 딱고기떨어지니까
2021. 8. 13. 08:39, abyss오재 : 껍데기
2021. 8. 13. 08:39, abyss오재 : 서비스
2021. 8. 13. 08:40, abyss오재 : 타이밍조리게준다진짜
2021. 8. 13. 08:40, abyss오재 : 또갈기고싶네
2021. 8. 13. 08:47, 원준오빠 : 이모티콘 
2021. 8. 13. 09:01, abyss오재 : 어되~
2021. 8. 13. 09:52, abyss오재 : 사진
2021. 8. 13. 09:52, abyss오재 : 제목 ㅅㅂ
2021. 8. 13. 09:52, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 09:52, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 09:52, abyss오재 : 갸웃기네
2021. 8. 13. 09:52, abyss오재 : 상줘라
2021. 8. 13. 10:06, abyss오재 : 삼전좀심하네
2021. 8. 13. 10:06, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:06, abyss오재 : ㅠ다시언제칠거야
2021. 8. 13. 10:06, abyss오재 : 휴
2021. 8. 13. 10:07, 원준오빠 : 카카오도 ㅠ
2021. 8. 13. 10:08, abyss오재 : 무조건존버전략을
2021. 8. 13. 10:08, abyss오재 : 좀버려야하나
2021. 8. 13. 10:09, abyss오재 : 사진
2021. 8. 13. 10:09, abyss오재 : 파파파란맛
2021. 8. 13. 10:09, abyss오재 : 당하는중
2021. 8. 13. 10:09, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:09, abyss오재 : 훕
2021. 8. 13. 10:09, abyss오재 : 배고프아죽겟다
2021. 8. 13. 10:12, abyss오재 : 샵검색 : #꼬마pd 인턴
2021. 8. 13. 10:12, abyss오재 : ㅠ ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:17, abyss오재 : 갑작
2021. 8. 13. 10:17, abyss오재 : 게장존나조지고싶다
2021. 8. 13. 10:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:23, 정우 : 아
2021. 8. 13. 10:23, 정우 : 피곤하네
2021. 8. 13. 10:25, abyss오재 : 휴간데
2021. 8. 13. 10:25, abyss오재 : 왜피곤해함
2021. 8. 13. 10:28, 정우 : 자다깨서
2021. 8. 13. 10:28, 정우 : 피곤함
2021. 8. 13. 10:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:33, abyss오재 : 아하
2021. 8. 13. 10:33, abyss오재 : ㅇㅈㅇㅈ
2021. 8. 13. 10:36, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:36, abyss오재 : 아싸
2021. 8. 13. 10:36, abyss오재 : 정동민한테
2021. 8. 13. 10:36, abyss오재 : 치킨얻었음 오늘
2021. 8. 13. 10:36, 원준오빠 : 조지실?
2021. 8. 13. 10:36, 원준오빠 : ㅊㅋㅊㅋ
2021. 8. 13. 10:36, abyss오재 : 와이지랑 뷰노 추천으로
2021. 8. 13. 10:36, abyss오재 : 얻은돈에서
2021. 8. 13. 10:36, 원준오빠 : 올ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:36, abyss오재 : 게장 조저
2021. 8. 13. 10:36, abyss오재 : 개이덕
2021. 8. 13. 10:36, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:36, abyss오재 : 한이주안에
2021. 8. 13. 10:36, abyss오재 : 몇십따고나왔으면
2021. 8. 13. 10:36, abyss오재 : 치킨하나얻먹 가능?
2021. 8. 13. 10:36, 원준오빠 : 킹정이지
2021. 8. 13. 10:36, abyss오재 : 킹정
2021. 8. 13. 10:37, abyss오재 : 황올조짐오늘
2021. 8. 13. 10:41, 원준오빠 : 귯
2021. 8. 13. 10:41, 원준오빠 : 혼자?
2021. 8. 13. 10:42, abyss오재 : ddd
2021. 8. 13. 10:42, abyss오재 : ㅇㅇ
2021. 8. 13. 10:43, abyss오재 : 황올닭다리 받았따
2021. 8. 13. 10:43, abyss오재 : 개꿀딱
2021. 8. 13. 10:44, 원준오빠 : 굿
2021. 8. 13. 10:44, 원준오빠 : 님들 질문있음
2021. 8. 13. 10:44, 원준오빠 : 님들은 소원이 있음?
2021. 8. 13. 10:45, abyss오재 : 로또
2021. 8. 13. 10:50, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠ
2021. 8. 13. 10:50, abyss오재 : whyy
2021. 8. 13. 10:52, 부그뷰 : 우리의 소원은 통일
2021. 8. 13. 10:52, 원준오빠 : 아니 나는 소원같은게 없더라구
2021. 8. 13. 10:52, 부그뷰 : 통일 ㄱ
2021. 8. 13. 10:52, 원준오빠 : 다들 없는건지 궁금해서
2021. 8. 13. 10:52, 원준오빠 : 별로 안원하는데?
2021. 8. 13. 10:52, 부그뷰 : 형은 천하통일 ㄱ
2021. 8. 13. 10:52, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 10:52, 원준오빠 : 원한다
2021. 8. 13. 10:52, 원준오빠 : 그건
2021. 8. 13. 10:55, 재환오빠 : 50억벌고 퇴사
2021. 8. 13. 10:57, 부그뷰 : 주말에 올만에 삼국군영전깔아서
2021. 8. 13. 10:58, 부그뷰 : 통일함해야겠다
2021. 8. 13. 10:59, 원준오빠 : 개굿;
2021. 8. 13. 10:59, 원준오빠 : 소원성취잘하네
2021. 8. 13. 11:00, 원준오빠 : 아ㅜ미틴 나 소원 있구나
2021. 8. 13. 11:00, 원준오빠 : 독립
2021. 8. 13. 11:01, 부그뷰 : 대한독립 ㄱ
2021. 8. 13. 11:01, abyss오재 : 고양이
2021. 8. 13. 11:02, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ 오늘애국자 컨셉이야 뭐야
2021. 8. 13. 11:02, 원준오빠 : ㄹㅇ
2021. 8. 13. 12:46, 원준오빠 : 야외 벤치에 폰 두고
2021. 8. 13. 12:47, 원준오빠 : 회사 갔다옴
2021. 8. 13. 12:47, 원준오빠 : 사진 2장
2021. 8. 13. 12:49, 경민 : 초밥맛ㅇㅅ겟다
2021. 8. 13. 12:49, 원준오빠 : ㄹㅇ 대존맛이었음
2021. 8. 13. 12:49, 원준오빠 : 은행골임
2021. 8. 13. 12:50, 원준오빠 : 직장인은 마 2마원짜리 초밥 먹는다 마
2021. 8. 13. 13:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 13:15, 정우 : 나는 점심 월남쌈
2021. 8. 13. 13:16, 정우 : 이모티콘 
2021. 8. 13. 13:17, Sekwang Ludan : ㅋㅋㅋㅋ 난 구내식당
2021. 8. 13. 13:17, Sekwang Ludan : 4500원짜리 샐러드
2021. 8. 13. 13:17, Sekwang Ludan : ㅠ
2021. 8. 13. 13:18, Sekwang Ludan : 사진
2021. 8. 13. 13:23, 이석준 : 헬창의 길이란...
2021. 8. 13. 13:25, Sekwang Ludan : 다이어트 다시 해야지!
2021. 8. 13. 13:30, abyss오재 : 난부대찌개
2021. 8. 13. 13:55, Sekwang Ludan : @김도현  커피 ㄱ?
2021. 8. 13. 14:11, 빠충 : 재
2021. 8. 13. 14:11, 빠충 : 택
2021. 8. 13. 14:11, 빠충 : 베
2021. 8. 13. 14:11, 빠충 : 이
2021. 8. 13. 14:11, 빠충 : 베
2021. 8. 13. 14:14, Sekwang Ludan : 오케도키 ㅜㅜ
2021. 8. 13. 14:15, 정우 : 하 나왜 맨날 본가
2021. 8. 13. 14:15, 정우 : 공동현관 문을못여냐
2021. 8. 13. 14:15, 정우 : 존나헷갈리네 진짜
2021. 8. 13. 14:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 14:48, abyss오재 : 사진
2021. 8. 13. 14:48, abyss오재 : 이짤너무웃거
2021. 8. 13. 14:48, abyss오재 : ㅜ
2021. 8. 13. 14:50, 경민 : ㅋㅋㅋㅋㅋㅋ
2021. 8. 13. 14:50, 경민 : 그거원래
2021. 8. 13. 14:50, 경민 : 비트코인1억
2021. 8. 13. 14:50, 경민 : 짤아니가
2021. 8. 13. 14:51, abyss오재 : 아맞나
