Talk_2021.8.24 13:11-78.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 3일 일요일
2021. 1. 3. 22:36, abyss오재 : 경소봐야하는데티빙터졋어
2021. 1. 5. 15:16, 원준오빠 : ㄱㅅㄱㅅ
2021. 1. 5. 15:18, abyss오재 : ㅊㅋㅊㅋ
2021. 1. 5. 15:19, abyss오재 : 마늘마늘양파양파누?
2021. 1. 5. 15:19, 경민 : ㅁㅊ
2021. 1. 5. 15:19, 경민 : 개;고수다진짜
2021. 1. 5. 15:19, 경민 : 플레이팅
2021. 1. 5. 15:19, 경민 : 쌉지려;
2021. 1. 5. 15:19, 정우 : 맛있겠다
2021. 1. 5. 15:19, abyss오재 : 어요새이서원안올리나
2021. 1. 5. 15:19, abyss오재 : 갑자기궁금해졋다
2021. 1. 5. 15:19, 경민 : 어케한거야저거
2021. 1. 5. 15:19, abyss오재 : 보러가야지
2021. 1. 5. 15:20, 경민 : 올라온거업음
2021. 1. 5. 15:20, abyss오재 : ㅜ
2021. 1. 5. 15:20, 경민 : 나오늘생긴거봣는데
2021. 1. 5. 15:20, 경민 : 쌉극혐이더ㅏ라
2021. 1. 5. 15:20, 원준오빠 : 온리 마늘이누
2021. 1. 5. 15:20, 경민 : ? 존나만음
2021. 1. 5. 15:20, abyss오재 : 마늘이군
2021. 1. 5. 15:20, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:20, 경민 : 오빠저거
2021. 1. 5. 15:20, 경민 : 어떻게하는거야플레이팅
2021. 1. 5. 15:20, 원준오빠 : 국자가 필요함
2021. 1. 5. 15:20, 경민 : 국자로회오리쳐서
2021. 1. 5. 15:20, 원준오빠 : 국자에 홀롤롤롤로
2021. 1. 5. 15:20, 경민 : 펼친거야?
2021. 1. 5. 15:20, 원준오빠 : 해서
2021. 1. 5. 15:20, 원준오빠 : 살짝 눞혀
2021. 1. 5. 15:20, 경민 : 회오리감자처럼?
2021. 1. 5. 15:20, 원준오빠 : 어
2021. 1. 5. 15:20, 원준오빠 : 마자
2021. 1. 5. 15:20, 경민 : 돌려서
2021. 1. 5. 15:20, 경민 : 펼친거?
2021. 1. 5. 15:20, 경민 : ㅋㅋㅋ
2021. 1. 5. 15:20, 경민 : ㅇㅋㅇㅋ
2021. 1. 5. 15:20, 경민 : 그러고쬐금ㅈ눞힌
2021. 1. 5. 15:20, 원준오빠 : 두번에 나누어 옮김
2021. 1. 5. 15:21, 경민 : 눕
2021. 1. 5. 15:21, 경민 : 아니나
2021. 1. 5. 15:21, 경민 : 맞춤법
2021. 1. 5. 15:21, 경민 : 오ㅐㅔ케극혐이야ㅑ
2021. 1. 5. 15:21, 경민 : ?
2021. 1. 5. 15:21, 원준오빠 : ㅋ&
2021. 1. 5. 15:21, 경민 : 오늘아침에진짜환장함
2021. 1. 5. 15:21, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:21, 원준오빠 : 오ㅑㅐ
2021. 1. 5. 15:21, 경민 : 중퇴라고해서
2021. 1. 5. 15:21, 경민 : ㅅㅂ
2021. 1. 5. 15:21, 경민 : 싸ㅃ극혐
2021. 1. 5. 15:21, abyss오재 : ㅅㅂ;
2021. 1. 5. 15:21, 경민 : 뭘중퇴하냐 학교냐 하면서
2021. 1. 5. 15:21, 경민 : 자아방ㄴ성함
2021. 1. 5. 15:21, 원준오빠 : 아
2021. 1. 5. 15:21, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:21, abyss오재 : 유뉴댓~~~아워즈노굿폴유
2021. 1. 5. 15:22, 원준오빠 : 굿폴유
2021. 1. 5. 15:22, abyss오재 : 백예린
2021. 1. 5. 15:22, abyss오재 : 이번앨범진짜별로안들었다
2021. 1. 5. 15:22, abyss오재 : 왜지?
2021. 1. 5. 15:22, abyss오재 : 들어봄
2021. 1. 5. 15:23, 경민 : 아오늘아직
2021. 1. 5. 15:23, 경민 : 상자2개밖에못모음
2021. 1. 5. 15:23, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:24, abyss오재 : 와챠웃와챠웃~
2021. 1. 5. 15:24, abyss오재 : 파파!
2021. 1. 5. 15:25, abyss오재 : 벗알비유빼밀리~
2021. 1. 5. 15:25, 경민 : ㅜ에이브에
2021. 1. 5. 15:25, 경민 : 해리포터상겻누
2021. 1. 5. 15:25, abyss오재 : ㅇㅇ
2021. 1. 5. 15:26, abyss오재 : ㅎㅇ
2021. 1. 5. 15:26, 경민 : ㅁㅊ
2021. 1. 5. 15:26, 경민 : 빠르네
2021. 1. 5. 15:26, 경민 : 뭐야나
2021. 1. 5. 15:26, 경민 : 대답도했었네
2021. 1. 5. 15:26, 경민 : 본기억이없는데
2021. 1. 5. 15:26, 경민 : 로봇이엇누
2021. 1. 5. 15:26, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:27, 정우 : 어맞아
2021. 1. 5. 15:27, 정우 : 웨이브 해리포터있떠라
2021. 1. 5. 15:27, 정우 : 스토브리그 다보고
2021. 1. 5. 15:27, 정우 : 해리포터봐야징
2021. 1. 5. 15:29, abyss오재 : 웨이브가
2021. 1. 5. 15:29, abyss오재 : 한국에선
2021. 1. 5. 15:29, abyss오재 : 젤짱인듯
2021. 1. 5. 15:29, abyss오재 : 한국프로볼려면
2021. 1. 5. 15:29, abyss오재 : ㅇㅈ?
2021. 1. 5. 15:29, 경민 : 아씨빨
2021. 1. 5. 15:29, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니
2021. 1. 5. 15:29, 경민 : ㅅㅂ
2021. 1. 5. 15:29, 경민 : 개좆같아
2021. 1. 5. 15:29, 경민 : skt
2021. 1. 5. 15:29, 경민 : 오늘
2021. 1. 5. 15:29, abyss오재 : ㅋㅋㅋㅋㅋㅅㅂ
2021. 1. 5. 15:29, abyss오재 : 개욕박네
2021. 1. 5. 15:29, 경민 : 3.5퍼오름
2021. 1. 5. 15:29, 경민 : ㅅ비ㅏㄹ
2021. 1. 5. 15:29, 경민 : 도랏냐
2021. 1. 5. 15:29, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:29, abyss오재 : 아
2021. 1. 5. 15:29, abyss오재 : 청약통장에잇는돈
2021. 1. 5. 15:29, abyss오재 : 뺴서
2021. 1. 5. 15:29, abyss오재 : 주식하고싶다
2021. 1. 5. 15:29, 경민 : 개족박치게하네
2021. 1. 5. 15:29, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:29, abyss오재 : ㅠ
2021. 1. 5. 15:30, abyss오재 : 대한항공
2021. 1. 5. 15:30, abyss오재 : 인수실패!
2021. 1. 5. 15:30, abyss오재 : 떳네
2021. 1. 5. 15:30, abyss오재 : 1차실패인가
2021. 1. 5. 15:30, 경민 : 나는주식하면안되는사람인가봄?
2021. 1. 5. 15:30, abyss오재 : ㄱㅊㄱㅊ
2021. 1. 5. 15:41, 경민 : 힝구힝구;
2021. 1. 5. 15:41, 경민 : 하빡쳐
2021. 1. 5. 15:41, 경민 : 진짜
2021. 1. 5. 15:41, 경민 : ㅡㅡㅠㅍ
2021. 1. 5. 15:41, abyss오재 : 왜
2021. 1. 5. 15:41, abyss오재 : 주식
2021. 1. 5. 15:41, abyss오재 : 계속보고있누
2021. 1. 5. 15:44, 경민 : 다음에들어갈거
2021. 1. 5. 15:44, 경민 : 찾아야지
2021. 1. 5. 15:44, 경민 : ^^^내가드가면또떢락
2021. 1. 5. 15:44, 경민 : 간다
2021. 1. 5. 15:45, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:45, abyss오재 : 그리고 나가면
2021. 1. 5. 15:45, abyss오재 : 들어가야지
2021. 1. 5. 15:45, 경민 : ㅅㅂ..
2021. 1. 5. 15:45, 경민 : 아니진짜
2021. 1. 5. 15:45, 경민 : 오늘3퍼오른거
2021. 1. 5. 15:45, 경민 : 개오반데 ㅋㅋㅋ
2021. 1. 5. 15:45, 경민 : 평소에진짜 1퍼올라도만이오르는건ㄴ데
2021. 1. 5. 15:46, abyss오재 : 삭제된 메시지입니다. 
2021. 1. 5. 15:46, abyss오재 : 개꿀
2021. 1. 5. 15:46, abyss오재 : 현재수익률 14%
2021. 1. 5. 15:46, abyss오재 : 빨리 더뛰어라
2021. 1. 5. 15:46, abyss오재 : 뛰어뛰어
2021. 1. 5. 15:46, 경민 : ㅅㅂ
2021. 1. 5. 15:46, 경민 : 개잘해
2021. 1. 5. 15:46, 경민 : 엥머삭제함
2021. 1. 5. 15:47, abyss오재 : 실수
2021. 1. 5. 15:47, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 15:47, 경민 : ㅇㅋ
2021. 1. 5. 15:47, abyss오재 : 조웁조웁
2021. 1. 5. 15:47, abyss오재 : 뭐지행정샘전화오자마자끊음
2021. 1. 5. 15:48, abyss오재 : 장난전화
2021. 1. 5. 16:02, 빠충 : 벨튀
2021. 1. 5. 16:02, abyss오재 : 잘못걸었대;
2021. 1. 5. 16:05, 원준오빠 : 곱창에
2021. 1. 5. 16:05, 원준오빠 : 쏘주갈기고싶다
2021. 1. 5. 16:05, 경민 : ㄱ
2021. 1. 5. 16:05, abyss오재 : 형
2021. 1. 5. 16:05, abyss오재 : 대한곱창먹어봐봐
2021. 1. 5. 16:05, abyss오재 : 화사먹은데
2021. 1. 5. 16:05, abyss오재 : 맛있더라!ㅍㅁㄴㅇ
2021. 1. 5. 16:23, 정우 : 오
2021. 1. 5. 16:23, 정우 : 곱쏘
2021. 1. 5. 16:24, 정우 : 개좋아;;;;
2021. 1. 5. 16:24, abyss오재 : ㄹㅇㄹㅇㄹㅇ
2021. 1. 5. 16:26, 정우 : 오늘때리실?
2021. 1. 5. 16:26, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:26, abyss오재 : 내가어제때렷으니
2021. 1. 5. 16:26, abyss오재 : 오늘니가때려
2021. 1. 5. 16:27, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:29, 원준오빠 : ㅇㅋ
2021. 1. 5. 16:29, 원준오빠 : ?
2021. 1. 5. 16:29, 원준오빠 : 고?
2021. 1. 5. 16:29, 정우 : 나진짜 오늘가능인데
2021. 1. 5. 16:29, 정우 : 왜냐면
2021. 1. 5. 16:29, 정우 : 내일재택할각이거든
2021. 1. 5. 16:29, 원준오빠 : 올ㅋ ㅊㅋㅊㅋ
2021. 1. 5. 16:30, 정우 : ㄳㄳ
2021. 1. 5. 16:30, 정우 : 할일없으니까
2021. 1. 5. 16:30, 원준오빠 : 님 언제 퇴근?
2021. 1. 5. 16:30, 정우 : 일주일에 하루씩은 재택하래
2021. 1. 5. 16:30, 정우 : 저
2021. 1. 5. 16:30, 정우 : 빠르면 5?
2021. 1. 5. 16:30, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:30, 원준오빠 : 오오..
2021. 1. 5. 16:30, 원준오빠 : 어디서 갈기지??
2021. 1. 5. 16:30, 정우 : 진짜 노동투입대비 버는돈 내가최고다
2021. 1. 5. 16:30, 정우 : 저는
2021. 1. 5. 16:30, 정우 : 아무데나 상관없습니다
2021. 1. 5. 16:30, 정우 : 어딜가도 여기보단 가까울듯
2021. 1. 5. 16:30, abyss오재 : 대한곱창
2021. 1. 5. 16:30, abyss오재 : 가줄거임?
2021. 1. 5. 16:30, abyss오재 : 거의 홍보꾼
2021. 1. 5. 16:30, abyss오재 : ㅅㅂ
2021. 1. 5. 16:31, 정우 : 어딨는데
2021. 1. 5. 16:31, abyss오재 : ㅇㅕ러군데있을걸
2021. 1. 5. 16:31, 정우 : 오
2021. 1. 5. 16:31, 정우 : 그러네
2021. 1. 5. 16:31, 정우 : 구의역근처에 하나있는데
2021. 1. 5. 16:31, 정우 : 원준이형 어떰
2021. 1. 5. 16:31, abyss오재 : 그건좀 구읫 (굿이라는 뜻)
2021. 1. 5. 16:31, abyss오재 : 아
2021. 1. 5. 16:32, abyss오재 : 심심해
2021. 1. 5. 16:32, abyss오재 : 후
2021. 1. 5. 16:32, 정우 : 샵검색: #군자대한곱창 구의역점
2021. 1. 5. 16:33, abyss오재 : 이모티콘 
2021. 1. 5. 16:33, abyss오재 : 이모티콘 
2021. 1. 5. 16:34, 원준오빠 : 오;;
2021. 1. 5. 16:34, 원준오빠 : 개꿀이누;;
2021. 1. 5. 16:34, 원준오빠 : 정우 집가기 편한곳에도 찾아보다
2021. 1. 5. 16:35, 원준오빠 : 교대??
2021. 1. 5. 16:35, 원준오빠 : 방이
2021. 1. 5. 16:35, 정우 : 교대있음?
2021. 1. 5. 16:35, 정우 : 교대쌉꿀이고
2021. 1. 5. 16:35, 원준오빠 : 문정에도 있는대?
2021. 1. 5. 16:36, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:36, 정우 : 아여기
2021. 1. 5. 16:36, abyss오재 : 문정!
2021. 1. 5. 16:36, 정우 : 집가는데 너무먼데
2021. 1. 5. 16:36, 정우 : 조금이라도 집가까운쪽으로 가서 먹는게 더좋음 나는
2021. 1. 5. 16:36, abyss오재 : 코시국에
2021. 1. 5. 16:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:36, abyss오재 : 조심ㅎㅏ자
2021. 1. 5. 16:37, 원준오빠 : 한점먹고
2021. 1. 5. 16:37, abyss오재 : 이모티콘 
2021. 1. 5. 16:37, 경민 : 그것은 나임
2021. 1. 5. 16:37, 정우 : 교대굿 구의굿 문정노노
2021. 1. 5. 16:37, 원준오빠 : 마스크쓰기 어떰
2021. 1. 5. 16:37, 경민 : 나맨날메이플한다구!!!
2021. 1. 5. 16:37, 경민 : 무시 ㄴ!!!
2021. 1. 5. 16:37, 정우 : 아니나도
2021. 1. 5. 16:37, 원준오빠 : ㅇㅈㅇㅈ
2021. 1. 5. 16:37, 정우 : 나와있어서 게임못하는거지
2021. 1. 5. 16:37, 원준오빠 : ㅇㅈㅇㅈ
2021. 1. 5. 16:37, 정우 : 진짜;;;;
2021. 1. 5. 16:37, 정우 : 1도안함
2021. 1. 5. 16:37, 경민 : 자랑은아니긴한데,,,
2021. 1. 5. 16:37, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:37, 경민 : 무튼그러함
2021. 1. 5. 16:37, 경민 : 나는
2021. 1. 5. 16:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:37, abyss오재 : 일하고돈벌어라
2021. 1. 5. 16:37, 경민 : 눈뜨면
2021. 1. 5. 16:37, abyss오재 : 다들
2021. 1. 5. 16:37, 경민 : 출근이다
2021. 1. 5. 16:37, 경민 : ^^
2021. 1. 5. 16:37, 경민 : ~
2021. 1. 5. 16:37, 경민 : 너는
2021. 1. 5. 16:37, 경민 : 회사가는데
2021. 1. 5. 16:37, 경민 : 노동력
2021. 1. 5. 16:37, 경민 : 투입됨
2021. 1. 5. 16:37, 경민 : 나는
2021. 1. 5. 16:37, 정우 : ㅇㅋ
2021. 1. 5. 16:37, 경민 : 집에서출근
2021. 1. 5. 16:37, 정우 : 그것도
2021. 1. 5. 16:37, 정우 : ㅇㅈㅇㅈ
2021. 1. 5. 16:37, 경민 : 데헷
2021. 1. 5. 16:37, abyss오재 : 다들
2021. 1. 5. 16:37, abyss오재 : 노동력하고
2021. 1. 5. 16:37, abyss오재 : 돈벌어라
2021. 1. 5. 16:37, 경민 : 그것은
2021. 1. 5. 16:37, 경민 : 박사
2021. 1. 5. 16:37, 경민 : !
2021. 1. 5. 16:37, 정우 : ㅎㅇㅌ
2021. 1. 5. 16:38, 경민 : 일해라박사!
2021. 1. 5. 16:38, 원준오빠 : 교대 ㄱㄱ하자
2021. 1. 5. 16:38, 경민 : 근데
2021. 1. 5. 16:38, 원준오빠 : 구의 애매함띠
2021. 1. 5. 16:38, 경민 : 9시에
2021. 1. 5. 16:38, 경민 : 문닫지안ㅇ흠?
2021. 1. 5. 16:38, 원준오빠 : 6시부터
2021. 1. 5. 16:38, 원준오빠 : 각일병조지고 파해야지
2021. 1. 5. 16:38, 정우 : ㅇㅋㅇㅋ
2021. 1. 5. 16:38, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:38, 빠충 : 회사에서
2021. 1. 5. 16:38, 정우 : 교대굿
2021. 1. 5. 16:38, 원준오빠 : 컴;
2021. 1. 5. 16:38, 정우 : 컴;;;
2021. 1. 5. 16:38, abyss오재 : ㅇㅋ
2021. 1. 5. 16:38, 경민 : 하
2021. 1. 5. 16:38, 빠충 : 라이브방송해서 인앱 프로모션 돌렸거든?
2021. 1. 5. 16:38, 경민 : 나돔가고싶다
2021. 1. 5. 16:38, 원준오빠 : ㅡㅡ
2021. 1. 5. 16:38, 빠충 : 근데 잘됨
2021. 1. 5. 16:38, 정우 : 개꿀
2021. 1. 5. 16:39, 정우 : 그럼그기념
2021. 1. 5. 16:39, 정우 : 곱창ㄱ
2021. 1. 5. 16:39, 빠충 : 정규편성당할듯
2021. 1. 5. 16:39, 원준오빠 : 옹
2021. 1. 5. 16:39, 정우 : 다들
2021. 1. 5. 16:39, 정우 : 6시교대와라
2021. 1. 5. 16:39, 빠충 : 좆돼따
2021. 1. 5. 16:39, 빠충 : ㅜ
2021. 1. 5. 16:39, 원준오빠 : ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:39, 원준오빠 : 재재처럼
2021. 1. 5. 16:39, 원준오빠 : 충충 되는고임?
2021. 1. 5. 16:39, 빠충 : 영어로...
2021. 1. 5. 16:39, 원준오빠 : 방송쟁이네
2021. 1. 5. 16:39, 빠충 : ㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 1. 5. 16:39, 원준오빠 : 영어방송이야?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:39, 빠충 : 왜잘되누
2021. 1. 5. 16:39, 원준오빠 : ㅁㅊ
2021. 1. 5. 16:39, abyss오재 : 찐방송인이네
2021. 1. 5. 16:39, 경민 : 오
2021. 1. 5. 16:39, 경민 : ㅁㅊ
2021. 1. 5. 16:39, 빠충 : 잘되서 모두가 당황함
2021. 1. 5. 16:39, 경민 : 개굳
2021. 1. 5. 16:39, 경민 : 역시뺌충
2021. 1. 5. 16:39, 경민 : 바충
2021. 1. 5. 16:39, 경민 : 트위치
2021. 1. 5. 16:39, 경민 : 방송경력
2021. 1. 5. 16:39, 빠충 : 돈주고 편성한 쇼보다 잘되누...
2021. 1. 5. 16:39, 원준오빠 : 이건 그냥 빠충이 캐리한 느낌인데
2021. 1. 5. 16:39, 경민 : 있자나
2021. 1. 5. 16:39, 경민 : ㅇㅈㅇㅈ
2021. 1. 5. 16:39, 경민 : ;
2021. 1. 5. 16:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:40, 정우 : 원래
2021. 1. 5. 16:40, 정우 : 기대안한애들이
2021. 1. 5. 16:40, 빠충 : ㄴㄴㄴㄴ같이 하자고 해주셔서
2021. 1. 5. 16:40, 정우 : 잘되는거임
2021. 1. 5. 16:40, 빠충 : 두명이서
2021. 1. 5. 16:40, 빠충 : 십분 떠들었는데
2021. 1. 5. 16:40, 빠충 : 됨
2021. 1. 5. 16:40, 원준오빠 : 쒯
2021. 1. 5. 16:40, abyss오재 : 누가 떠드누!
2021. 1. 5. 16:40, 정우 : 캬
2021. 1. 5. 16:40, 정우 : 나는 떠들어도 잘된다
2021. 1. 5. 16:40, 빠충 : 얼떨떨
2021. 1. 5. 16:40, 원준오빠 : 리얼 엠씨는 다르누
2021. 1. 5. 16:40, abyss오재 : realMC
2021. 1. 5. 16:40, 빠충 : 팟캐스트 듣기 시작해야되누..
2021. 1. 5. 16:40, abyss오재 : 릶씨
2021. 1. 5. 16:40, abyss오재 : 팟캐하누
2021. 1. 5. 16:40, 원준오빠 : 나 예전에 사회볼때 디지기 직전에
2021. 1. 5. 16:40, 원준오빠 : 빠충이 살려준거 기억나누
2021. 1. 5. 16:41, abyss오재 : 누가사회봣누
2021. 1. 5. 16:41, 원준오빠 : 나 공연때 사회봤잖아
2021. 1. 5. 16:41, 원준오빠 : 개얼어가지구
2021. 1. 5. 16:41, abyss오재 : 얼지마라
2021. 1. 5. 16:41, abyss오재 : 얼죽아
2021. 1. 5. 16:41, 정우 : 오늘추움
2021. 1. 5. 16:41, 정우 : 요즘 맨날춥긴했지만
2021. 1. 5. 16:41, abyss오재 : 곱창먹기딱좋은날씨
2021. 1. 5. 16:41, 정우 : ㅇㅈㅇㅈ
2021. 1. 5. 16:41, abyss오재 : 곱딱날
2021. 1. 5. 16:41, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:42, 빠충 : 기억나버려따
2021. 1. 5. 16:42, 원준오빠 : 이렇게 될 운명이었떤거시다
2021. 1. 5. 16:42, 빠충 : 사진
2021. 1. 5. 16:42, 빠충 : 사진찾음;
2021. 1. 5. 16:42, 원준오빠 : 신입사원 swag 했누
2021. 1. 5. 16:42, 원준오빠 : 엌ㅎ
2021. 1. 5. 16:42, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:42, 원준오빠 : 저거 나도 있누
2021. 1. 5. 16:42, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:42, abyss오재 : 푸릇푸릇하누
2021. 1. 5. 16:42, 빠충 : 풋풋잼
2021. 1. 5. 16:43, 원준오빠 : 풋풋맨
2021. 1. 5. 16:43, 원준오빠 : 그에게 닥칠 일을 모른채..
2021. 1. 5. 16:44, 원준오빠 : 정우 퇴근각보면 톡하셈
2021. 1. 5. 16:45, 정우 : 넵넵
2021. 1. 5. 16:45, 이석준 : 사진
2021. 1. 5. 16:46, 경민 : 니가찍은거
2021. 1. 5. 16:46, 경민 : 아니지
2021. 1. 5. 16:46, 경민 : 누구임?
2021. 1. 5. 16:46, 경민 : 여친임?
2021. 1. 5. 16:46, abyss오재 : 덕복휘
2021. 1. 5. 16:46, abyss오재 : 맛있겠다
2021. 1. 5. 16:46, 경민 : ㄹㅇ;;
2021. 1. 5. 16:46, 경민 : 급땡기누
2021. 1. 5. 16:46, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:46, 원준오빠 : 저거 닭발도 든거같은데
2021. 1. 5. 16:47, 경민 : 닭발맛잇겟다
2021. 1. 5. 16:47, 경민 : 떡볶이면분명히
2021. 1. 5. 16:47, 경민 : 여자랑있는거같누?
2021. 1. 5. 16:47, 이석준 : 내가 찍은거임 ㅡㅡ
2021. 1. 5. 16:47, 경민 : 대부분의남자들은
2021. 1. 5. 16:47, 경민 : 혼자섣떡복기
2021. 1. 5. 16:47, 경민 : 잘안먹지않음?
2021. 1. 5. 16:47, 경민 : 엥니가찍엇음?
2021. 1. 5. 16:47, 경민 : 그럼플레이팅을
2021. 1. 5. 16:47, 경민 : 다른사람이햇누?
2021. 1. 5. 16:47, abyss오재 : 의심하는거
2021. 1. 5. 16:47, abyss오재 : 존나웃기ㅔㄴ
2021. 1. 5. 16:47, abyss오재 : ㅅㅂ
2021. 1. 5. 16:48, 이석준 : 사진 2장
2021. 1. 5. 16:48, 이석준 : 집에서 자주 해먹누
2021. 1. 5. 16:48, 이석준 : 플레이팅도 내가했누 ㅡㅡ
2021. 1. 5. 16:48, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 5. 16:48, 정우 : ㅁㅊ
2021. 1. 5. 16:48, 정우 : 의심하는거
2021. 1. 5. 16:48, 정우 : 존나웃겨
2021. 1. 5. 16:48, 정우 : 단한줄도안믿어
2021. 1. 5. 16:48, 이석준 : 뭐야 눈 개좋아
2021. 1. 5. 16:49, abyss오재 : 아
2021. 1. 5. 16:49, abyss오재 : 나떡봈이사먹는거말고
2021. 1. 5. 16:49, abyss오재 : 해먹는거먹고싶어
2021. 1. 5. 16:49, 경민 : 믿을수가없다누
2021. 1. 5. 16:49, abyss오재 : 요새덕복이들
2021. 1. 5. 16:49, abyss오재 : 다너무자극적
2021. 1. 5. 16:49, abyss오재 : 에다가양도너무많음
2021. 1. 5. 16:49, abyss오재 : ㅅㅂ
2021. 1. 5. 16:49, 경민 : 이석준ㅇ몸속에
2021. 1. 5. 16:49, 경민 : 다른사람영혼
2021. 1. 5. 16:49, 경민 : 드간거아니누;
2021. 1. 5. 16:49, abyss오재 : ㅅㅂ
2021. 1. 5. 16:49, abyss오재 : 악귀
2021. 1. 5. 16:49, abyss오재 : 악귀들어감
2021. 1. 5. 16:49, 이석준 : 여친이랑 있는건 맞는데
2021. 1. 5. 16:49, 이석준 : 다 내가했음...
2021. 1. 5. 16:50, 경민 : 튀김
2021. 1. 5. 16:50, 경민 : 잘햇는데플레이팅;
2021. 1. 5. 16:50, 이석준 : 제품
2021. 1. 5. 16:50, 이석준 : 튀김 + 목살
2021. 1. 5. 16:50, 경민 : 하나는
2021. 1. 5. 16:50, 경민 : 맞췃네
2021. 1. 5. 16:50, 경민 : 그치
2021. 1. 5. 16:50, 경민 : 평소에랑다르긴함
2021. 1. 5. 16:50, 경민 : 여자랑잇으니저런플레이팅이
2021. 1. 5. 16:50, 경민 : 나오는거누>
2021. 1. 5. 16:50, abyss오재 : 근데
2021. 1. 5. 16:50, abyss오재 : 우리가 안물어보는동안
2021. 1. 5. 16:50, abyss오재 : 여친몇번
2021. 1. 5. 16:50, abyss오재 : 바꼈누?
2021. 1. 5. 16:50, 이석준 : ;;
2021. 1. 5. 16:50, abyss오재 : ??;;
2021. 1. 5. 16:50, 이석준 : 팩트를 알려주면 대충 잘라서 놨는데 저렇게 됐누
2021. 1. 5. 16:51, 원준오빠 : 후후
