Talk_2021.8.24 13:10-25.txt
저장한 날짜 : 2021. 8. 24. 13:11



2018년 9월 17일 월요일
2018. 9. 17. 23:19, (알 수 없음) : 두유노?
2018. 9. 18. 18:33, (알 수 없음) : 근데울학교잘함 임마
2018. 9. 18. 18:33, 경민 : 비평준이었음
2018. 9. 18. 18:33, 경민 : 후후
2018. 9. 18. 18:33, (알 수 없음) : 의대14명
2018. 9. 18. 18:33, 경민 : ㅇㅋ
2018. 9. 18. 18:33, (알 수 없음) : 보낸적도있음
2018. 9. 18. 18:33, (알 수 없음) : 한학기에
2018. 9. 18. 18:33, 경민 : 오
2018. 9. 18. 18:33, (알 수 없음) : 아니 한학년에
2018. 9. 18. 18:33, 경민 : 잘하네....
2018. 9. 18. 18:33, (알 수 없음) : 나 내신 30등정도
2018. 9. 18. 18:33, 정우 : 고등학교
2018. 9. 18. 18:33, (알 수 없음) : 였을걸
2018. 9. 18. 18:33, 정우 : 자랑타임?
2018. 9. 18. 18:33, (알 수 없음) : ㅇㅇ..
2018. 9. 18. 18:33, 경민 : ㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:33, (알 수 없음) : 근데지금칼부림함
2018. 9. 18. 18:33, 경민 : 내신왜
2018. 9. 18. 18:33, 정우 : 난안할래
2018. 9. 18. 18:33, 경민 : 30등이면
2018. 9. 18. 18:33, 경민 : 잘하네
2018. 9. 18. 18:33, 경민 : 나는내신
2018. 9. 18. 18:33, 경민 : 포기쓰....;
2018. 9. 18. 18:33, 이석준 : 아니 저런거 어디서찾음...?
2018. 9. 18. 18:34, (알 수 없음) : 홈에듀민원서비스 ㄱㄱ
2018. 9. 18. 18:34, (알 수 없음) : 존나간단함여기는
2018. 9. 18. 18:34, (알 수 없음) : 공인인증서만있으면된다
2018. 9. 18. 18:34, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나도이따찾아본다
2018. 9. 18. 18:34, 정우 : 아근데
2018. 9. 18. 18:34, 정우 : 저거보니까 생각나는거있다
2018. 9. 18. 18:35, 경민 : 모
2018. 9. 18. 18:35, 정우 : 우리 고딩때 저거 수시쓸때 참고하라고
2018. 9. 18. 18:35, 이석준 : 공인인증서엄쪙
2018. 9. 18. 18:35, 정우 : 애들 다뽑아주는데
2018. 9. 18. 18:35, 정우 : 친구들 기본8장에 10장 넘어가는애들도 있었는데
2018. 9. 18. 18:35, 정우 : 나 5장인가6장나와서
2018. 9. 18. 18:35, 정우 : ㅋ시방
2018. 9. 18. 18:35, 정우 : 이러고 수능공부함
2018. 9. 18. 18:35, 경민 : ㅋㅋㅋㅋ
2018. 9. 18. 18:35, (알 수 없음) : 고등학교는
2018. 9. 18. 18:35, (알 수 없음) : 등수안적고
2018. 9. 18. 18:36, 정우 : 등급이지않냐
2018. 9. 18. 18:36, (알 수 없음) : 이거무슨모의고사친것도1등급은적어놨네
2018. 9. 18. 18:36, (알 수 없음) : 사진
2018. 9. 18. 18:36, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2018. 9. 18. 18:37, 원준오빠 : 선생님이 잘 모르셨네
2018. 9. 18. 18:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:37, 경민 : 선생님이
2018. 9. 18. 18:37, 경민 : 학생들
2018. 9. 18. 18:37, 원준오빠 : 껍데기만 본거지
2018. 9. 18. 18:37, 경민 : 관심없었ㅆ네
2018. 9. 18. 18:37, 경민 : 그치
2018. 9. 18. 18:37, 원준오빠 : 껍데기는 가라
2018. 9. 18. 18:37, 경민 : 껍데기
2018. 9. 18. 18:37, 경민 : 먹고싶다씨발;;
2018. 9. 18. 18:37, 정우 : 어
2018. 9. 18. 18:37, 정우 : 존맛탱
2018. 9. 18. 18:37, 정우 : 각
2018. 9. 18. 18:37, 경민 : 아니씨발갑자기왴케욕같지
2018. 9. 18. 18:37, 경민 : 안해야지욕이제
2018. 9. 18. 18:37, (알 수 없음) : 사진
2018. 9. 18. 18:37, 경민 : 너무상스러워
2018. 9. 18. 18:37, (알 수 없음) : 갈수록 과병돼서
2018. 9. 18. 18:37, (알 수 없음) : 과학 1등급못받음
2018. 9. 18. 18:38, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:38, 경민 : 저거
2018. 9. 18. 18:38, 경민 : 그냥
2018. 9. 18. 18:38, 경민 : 대충치는거아님?
2018. 9. 18. 18:38, (알 수 없음) : 모름
2018. 9. 18. 18:38, (알 수 없음) : 고3때는
2018. 9. 18. 18:38, 경민 : 모의고사아니고그냥
2018. 9. 18. 18:38, (알 수 없음) : 그래도진지하지않냐
2018. 9. 18. 18:38, 경민 : 대충쳣던거같은데
2018. 9. 18. 18:38, (알 수 없음) : 저거 모의고사임
2018. 9. 18. 18:38, 경민 : 저거1년에
2018. 9. 18. 18:38, (알 수 없음) : 369
2018. 9. 18. 18:38, 경민 : 한번치는거
2018. 9. 18. 18:38, 경민 : 아님?
2018. 9. 18. 18:38, 경민 : 아
2018. 9. 18. 18:38, (알 수 없음) : 69
2018. 9. 18. 18:38, 경민 : 아~~
2018. 9. 18. 18:38, (알 수 없음) : ㅇㅇ
2018. 9. 18. 18:38, 경민 : 고3은
2018. 9. 18. 18:38, (알 수 없음) : 3610
2018. 9. 18. 18:38, (알 수 없음) : 3번치지않나
2018. 9. 18. 18:38, 정우 : 36910
2018. 9. 18. 18:38, 정우 : 이지않냐
2018. 9. 18. 18:39, 정우 : 9월까지다하고
2018. 9. 18. 18:39, 경민 : 7월도
2018. 9. 18. 18:39, (알 수 없음) : 36911이네
2018. 9. 18. 18:39, 경민 : 쳤음고3은
2018. 9. 18. 18:39, 경민 : 아닌가
2018. 9. 18. 18:39, 정우 : 10월 자살방지용
2018. 9. 18. 18:39, 정우 : 나는 매달침
2018. 9. 18. 18:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:39, 경민 : 나도
2018. 9. 18. 18:39, 경민 : 사설
2018. 9. 18. 18:39, 경민 : 맨날봣는데
2018. 9. 18. 18:39, 경민 : 대성
2018. 9. 18. 18:39, 경민 : ㅅㅂ
2018. 9. 18. 18:39, (알 수 없음) : ㅋㅋㅋㅋㅋㅋ사설안침우린
2018. 9. 18. 18:39, 경민 : 한달에모의고사
2018. 9. 18. 18:39, 경민 : 2번본적도잇엇는거같은데
2018. 9. 18. 18:39, 정우 : ㅇㅇ
2018. 9. 18. 18:39, 정우 : 그런적있지
2018. 9. 18. 18:40, 정우 : 모의고사보고 성적표나오기도전에 딴거본적도있음
2018. 9. 18. 18:40, 경민 : ㅋㅋㅋㅋㅋㅋㅋ맞아
2018. 9. 18. 18:40, (알 수 없음) : 수학 졸여벌였음
2018. 9. 18. 18:40, (알 수 없음) : 평균 49.1점인데 97점이었따
2018. 9. 18. 18:40, 경민 : 오...
2018. 9. 18. 18:40, (알 수 없음) : 졸인거인정?
2018. 9. 18. 18:40, 경민 : 잘햇네
2018. 9. 18. 18:40, 경민 : 나는
2018. 9. 18. 18:40, 경민 : 수학
2018. 9. 18. 18:40, 경민 : 개~~~어렵게나와서
2018. 9. 18. 18:40, 경민 : 5개찍었는데
2018. 9. 18. 18:40, 경민 : 다맞음
2018. 9. 18. 18:40, 경민 : ㅅㅂ
2018. 9. 18. 18:40, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅅㅂ
2018. 9. 18. 18:40, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그럼됐지뭐
2018. 9. 18. 18:40, 경민 : 어그래서
2018. 9. 18. 18:40, (알 수 없음) : 화학평균 40.2뭐냐
2018. 9. 18. 18:40, 경민 : 친구들한테
2018. 9. 18. 18:40, 경민 : 신나서
2018. 9. 18. 18:40, 경민 : 자랑햇는데
2018. 9. 18. 18:40, (알 수 없음) : ㅁㅊ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런시험도있었네
2018. 9. 18. 18:40, 경민 : 애들이
2018. 9. 18. 18:40, 경민 : 개안좋아햇음
2018. 9. 18. 18:40, (알 수 없음) : ㅅㅂ
2018. 9. 18. 18:41, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넌씨눈
2018. 9. 18. 18:41, 경민 : ㅇㅇ..약간
2018. 9. 18. 18:41, 경민 : 넌씨눈졸여
2018. 9. 18. 18:41, 경민 : 수학끝나면맨날
2018. 9. 18. 18:41, 경민 : 내자리와서
2018. 9. 18. 18:41, (알 수 없음) : 사진
2018. 9. 18. 18:41, 경민 : 채점햇는데
2018. 9. 18. 18:41, (알 수 없음) : 뿌듯했네
2018. 9. 18. 18:41, 경민 : 오
2018. 9. 18. 18:41, 경민 : 1111
2018. 9. 18. 18:41, 경민 : 지렷네
2018. 9. 18. 18:42, (알 수 없음) : 휴
2018. 9. 18. 18:42, (알 수 없음) : 잠시추억에젖어벌임
2018. 9. 18. 18:42, (알 수 없음) : 수학잘하면대학진짜가는줄
2018. 9. 18. 18:42, (알 수 없음) : 언어4등급받아벌이기;
2018. 9. 18. 18:43, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:43, 경민 : 나는
2018. 9. 18. 18:43, 경민 : 6
2018. 9. 18. 18:43, 경민 : 받음
2018. 9. 18. 18:43, 경민 : 국사7
2018. 9. 18. 18:43, 경민 : ㅅㅂ
2018. 9. 18. 18:43, (알 수 없음) : 사진
2018. 9. 18. 18:43, (알 수 없음) : 영어 국어 내신
2018. 9. 18. 18:43, (알 수 없음) : 지려벌임
2018. 9. 18. 18:44, 경민 : 3등?
2018. 9. 18. 18:44, (알 수 없음) : 3등급
2018. 9. 18. 18:44, (알 수 없음) : 4등급
2018. 9. 18. 18:44, (알 수 없음) : 5등급
2018. 9. 18. 18:44, 경민 : 아
2018. 9. 18. 18:44, (알 수 없음) : 임마
2018. 9. 18. 18:44, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2018. 9. 18. 18:44, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:44, 경민 : 아니
2018. 9. 18. 18:44, 경민 : 3(359)
2018. 9. 18. 18:44, (알 수 없음) : 3등급
2018. 9. 18. 18:44, 경민 : 359명이
2018. 9. 18. 18:44, (알 수 없음) : 총 359명 
2018. 9. 18. 18:44, (알 수 없음) : ㄴㄴ
2018. 9. 18. 18:44, 경민 : 3등급
2018. 9. 18. 18:44, 경민 : 와
2018. 9. 18. 18:44, (알 수 없음) : 아니
2018. 9. 18. 18:44, (알 수 없음) : 총 359명
2018. 9. 18. 18:44, 경민 : 사람
2018. 9. 18. 18:44, 경민 : 조지게
2018. 9. 18. 18:44, 경민 : 많은줄
2018. 9. 18. 18:44, (알 수 없음) : ㅇㅇ
2018. 9. 18. 18:44, 경민 : 아껍데
2018. 9. 18. 18:44, 경민 : 기
2018. 9. 18. 18:44, (알 수 없음) : 한학년에 359명
2018. 9. 18. 18:44, 경민 : 존나
2018. 9. 18. 18:44, 경민 : 먹고싶다시벌..
2018. 9. 18. 18:44, 경민 : 우리는450이엇는데
2018. 9. 18. 18:44, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:44, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:45, 원준오빠 : 내가 잘못했오야붕..
2018. 9. 18. 18:45, 경민 : ㅠㅠ
2018. 9. 18. 18:45, 원준오빠 : 우린 370명
2018. 9. 18. 18:45, 경민 : 껍데기...
2018. 9. 18. 18:45, 경민 : 피부과가서돈쓰면
2018. 9. 18. 18:45, 경민 : 피부
2018. 9. 18. 18:45, 경민 : 좋아지기
2018. 9. 18. 18:45, 경민 : 가능?
2018. 9. 18. 18:45, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:46, (알 수 없음) : 됐다이제
2018. 9. 18. 18:46, (알 수 없음) : 그만본다
2018. 9. 18. 18:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:46, 정우 : 야
2018. 9. 18. 18:46, 정우 : 내신잘했네
2018. 9. 18. 18:47, 정우 : 재밌구만
2018. 9. 18. 18:48, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:48, (알 수 없음) : 언어병신인거
2018. 9. 18. 18:48, (알 수 없음) : 어릴떄부터드러나벌임
2018. 9. 18. 18:48, 경민 : ㅋㅋㅋㅋ
2018. 9. 18. 18:48, 경민 : 나도;
2018. 9. 18. 18:49, 경민 : 아10분후배포하고
2018. 9. 18. 18:49, 경민 : 집에ㅏ가야지
2018. 9. 18. 18:49, 경민 : 시벌
2018. 9. 18. 18:49, 경민 : 아니피부과가야지
2018. 9. 18. 18:49, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 18:49, (알 수 없음) : 아니여기학식
2018. 9. 18. 18:49, (알 수 없음) : 몇시까지하지
2018. 9. 18. 18:49, 원준오빠 : 피부 조아짐
2018. 9. 18. 18:49, (알 수 없음) : 7시에밥먹으러가야지
2018. 9. 18. 18:50, 원준오빠 : 거기학식마싯음?
2018. 9. 18. 18:55, (알 수 없음) : 아니
2018. 9. 18. 18:56, (알 수 없음) : 그냥먹는거지뭐
2018. 9. 18. 18:56, 경민 : 실검에
2018. 9. 18. 18:56, 경민 : 대전퓨마
2018. 9. 18. 19:08, 정우 : 퓨마 잡았댕
2018. 9. 18. 19:08, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:10, 원준오빠 : 학식 ㅠㅠ
2018. 9. 18. 19:10, 원준오빠 : 왜ㅠ학식은 다 그모양인고야ㅠ
2018. 9. 18. 19:10, 원준오빠 : 푸마 ㅁㅊ 어케나갔데;;
2018. 9. 18. 19:18, (알 수 없음) : 잡앗냨ㅋㅋㅋ
2018. 9. 18. 19:18, (알 수 없음) : 아어제교수님이물어보던데
2018. 9. 18. 19:18, (알 수 없음) : 서강대학식은여기보다맛잇냐고
2018. 9. 18. 19:18, (알 수 없음) : ㄷ그래서1년에5번도안먹은거같다고전해드림
2018. 9. 18. 19:19, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:26, 경민 : 아
2018. 9. 18. 19:26, 경민 : 피부과는무슨
2018. 9. 18. 19:26, 경민 : 퇴근못해ㅓㅂㄹ여
2018. 9. 18. 19:26, 경민 : ㅠㅠ
2018. 9. 18. 19:26, 경민 : 난바보야
2018. 9. 18. 19:26, 경민 : 버그고친줄알앗는데배포하고보니안고쳐저벌여
2018. 9. 18. 19:26, 경민 : ㅅㅂ ㅠ
2018. 9. 18. 19:26, 경민 : 버그놈
2018. 9. 18. 19:28, 이석준 : ㅎ...
2018. 9. 18. 19:29, 원준오빠 : 공부하기싫다
2018. 9. 18. 19:29, 원준오빠 : 존내싫다
2018. 9. 18. 19:30, (알 수 없음) : 나도
2018. 9. 18. 19:30, (알 수 없음) : 공부하기싫은사람소뤼질러
2018. 9. 18. 19:31, 빠충 : 아ㅏ라ㅏㅏㅏㅏㅏㅣㅣㅏㅏㅣㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ!!!!!!!
2018. 9. 18. 19:31, 빠충 : 시바ㅏ아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
2018. 9. 18. 19:31, 원준오빠 : 아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
2018. 9. 18. 19:31, 양우성 : 시자바바둥아ㅡ드누바지
2018. 9. 18. 19:32, 원준오빠 : 드누바지 드누바아아지 산에산에 백도라지
2018. 9. 18. 19:32, 양우성 : 드록바지이예
2018. 9. 18. 19:33, (알 수 없음) : 아오늘
2018. 9. 18. 19:33, (알 수 없음) : 커피두잔때려버려서잠안오려나
2018. 9. 18. 19:33, 정우 : 오우
2018. 9. 18. 19:33, 정우 : 소리는 나지않지만 시끄러운
2018. 9. 18. 19:33, 정우 : 이느낌
2018. 9. 18. 19:33, 정우 : 뭔지알지
2018. 9. 18. 19:33, (알 수 없음) : 빼애애ㅐ애앵ㅁ
2018. 9. 18. 19:33, (알 수 없음) : 완전
2018. 9. 18. 19:33, (알 수 없음) : 어ㅏㄴ전알제
2018. 9. 18. 19:33, (알 수 없음) : 배애애애애앰
2018. 9. 18. 19:33, 양우성 : 빼애애앰
2018. 9. 18. 19:33, 정우 : 빼애애애애애애애애ㅐ애앰
2018. 9. 18. 19:34, 정우 : 아
2018. 9. 18. 19:34, 정우 : 공연끝내고 홍대에서 소리지르고싶다
2018. 9. 18. 19:34, (알 수 없음) : 오그거뭔줄앎
2018. 9. 18. 19:34, (알 수 없음) : 원준이횽이제일싫어하는거
2018. 9. 18. 19:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:34, 정우 : ㅎ
2018. 9. 18. 19:34, 정우 : 이모티콘 
2018. 9. 18. 19:34, 정우 : 소심한사과
2018. 9. 18. 19:34, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:34, 정우 : 투척
2018. 9. 18. 19:34, (알 수 없음) : 나도소리지를래
2018. 9. 18. 19:35, (알 수 없음) : 크게소리지를래애~
2018. 9. 18. 19:35, (알 수 없음) : 우후우후
2018. 9. 18. 19:36, (알 수 없음) : 다이노소어
2018. 9. 18. 19:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:36, (알 수 없음) : 아
2018. 9. 18. 19:36, (알 수 없음) : 학식진짜좆노맛이네
2018. 9. 18. 19:36, (알 수 없음) : 밥또머고싶다
2018. 9. 18. 19:36, 빠충 : ㄱ
2018. 9. 18. 19:37, 원준오빠 : 소리 질러도 되는데
2018. 9. 18. 19:37, 원준오빠 : 나 없을때 질러줘
2018. 9. 18. 19:37, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:37, (알 수 없음) : 형도같이지르자21일에
2018. 9. 18. 19:37, (알 수 없음) : 이모티콘 
2018. 9. 18. 19:38, (알 수 없음) : 이모티콘 어이모티콘
2018. 9. 18. 19:38, (알 수 없음) : 스크롤로바꼇네...
2018. 9. 18. 19:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:39, 정우 : 아
2018. 9. 18. 19:39, 정우 : 누워볼까
2018. 9. 18. 19:39, 정우 : .....
2018. 9. 18. 19:40, (알 수 없음) : 나도집가서
2018. 9. 18. 19:40, (알 수 없음) : 할래...
2018. 9. 18. 19:40, (알 수 없음) : 하겟지...
2018. 9. 18. 19:42, 원준오빠 : ㅁㅊ
2018. 9. 18. 19:42, 원준오빠 : 스크롤 이제ㅜ알았음??
2018. 9. 18. 19:45, 경민 : 내가
2018. 9. 18. 19:45, 경민 : 다
2018. 9. 18. 19:45, 경민 : 날려줄가
2018. 9. 18. 19:45, 경민 : 쏘리
2018. 9. 18. 19:45, 경민 : 소리
2018. 9. 18. 19:45, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋ?
2018. 9. 18. 19:46, (알 수 없음) : 응이제알앗어,,
2018. 9. 18. 19:46, (알 수 없음) : 너도
2018. 9. 18. 19:46, (알 수 없음) : 소리지른다고,,?
2018. 9. 18. 19:46, 경민 : ㅇㅇ
2018. 9. 18. 19:46, 원준오빠 : 녹음해주
2018. 9. 18. 19:59, 정우 : 와 소년점프 이제들어봤는데
2018. 9. 18. 19:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 19:59, 정우 : 얘요즘 약함?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:00, 양우성 : 및친놈임
2018. 9. 18. 20:00, 정우 : 존나웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:01, 이석준 : ㄹㅇ
2018. 9. 18. 20:01, 이석준 : 존나
2018. 9. 18. 20:01, 이석준 : 꿀잼임
2018. 9. 18. 20:01, 빠충 : 맫씨
2018. 9. 18. 20:01, 빠충 : 아니
2018. 9. 18. 20:01, 빠충 : 마미손
2018. 9. 18. 20:01, 빠충 : 랩 잘하네
2018. 9. 18. 20:02, 정우 : ㄹㅇ
2018. 9. 18. 20:02, 정우 : 그와중에
2018. 9. 18. 20:02, 정우 : 잘해서더웃김
2018. 9. 18. 20:02, 정우 : 아진짜
2018. 9. 18. 20:03, 정우 : 제대로미쳤다
2018. 9. 18. 20:03, 빠충 : ㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:03, 빠충 : 사랑노래만 하길래
2018. 9. 18. 20:03, 빠충 : 아
2018. 9. 18. 20:03, 빠충 : 했는데
2018. 9. 18. 20:03, 빠충 : 아니었네
2018. 9. 18. 20:05, 정우 : 요즘사랑못하나봄
2018. 9. 18. 20:06, 빠충 : 결혼했는데...?
2018. 9. 18. 20:06, 빠충 : 형 힘내자
2018. 9. 18. 20:08, 정우 : 그럴수도있지......
2018. 9. 18. 20:08, 정우 : 아
2018. 9. 18. 20:08, 정우 : 그래서못하는거네
2018. 9. 18. 20:08, 정우 : 결혼해서
2018. 9. 18. 20:08, 정우 : 너무쓰레긴가
2018. 9. 18. 20:12, 빠충 : 이모티콘 
2018. 9. 18. 20:12, 빠충 : 이모티콘 
2018. 9. 18. 20:12, 원준오빠 : 아아아아아아아악
2018. 9. 18. 20:12, 원준오빠 : 심심해
2018. 9. 18. 20:12, 원준오빠 : 빠충 어디서 공부중?
2018. 9. 18. 20:14, 빠충 : 전 오늘 수업이 없죠
2018. 9. 18. 20:14, 빠충 : 여의돕니다
2018. 9. 18. 20:14, 원준오빠 : 쏘오데쓰네에..
2018. 9. 18. 20:14, 빠충 : 오면 투썸 커피 한잔 쯤은
2018. 9. 18. 20:14, 빠충 : 사준다!
2018. 9. 18. 20:14, 원준오빠 : 위치 찍어 주시죠
2018. 9. 18. 20:14, 빠충 : 빼앰
2018. 9. 18. 20:15, 빠충 : https://m.search.daum.net/kakao?w=poi&DA=SH2&cid=8115422&q=%ED%88%AC%EC%8D%B8%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90#&linked=true
2018. 9. 18. 20:15, 빠충 : 6번출구 나오자마자 오른쪽
2018. 9. 18. 20:15, 정우 : 이여
2018. 9. 18. 20:15, 정우 : ㄹ
2018. 9. 18. 20:15, 빠충 : 너도 오니
2018. 9. 18. 20:15, 정우 : 저는
2018. 9. 18. 20:15, 정우 : 사먹는게낫습니다
2018. 9. 18. 20:16, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:16, 정우 : ㅎ......
2018. 9. 18. 20:17, 원준오빠 : 내가 먹던거만 다 먹구 간다
2018. 9. 18. 20:17, 빠충 : 도착 세 역 전에 카톡쓰
2018. 9. 18. 20:19, 경민 : 오
2018. 9. 18. 20:24, 재환오빠 : https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004221593
2018. 9. 18. 20:24, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:25, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:25, (알 수 없음) : 진자별에별일이,,
2018. 9. 18. 20:39, 양우성 : 퓨마불쌍해ㅠ
2018. 9. 18. 20:39, 빠충 : ...?
2018. 9. 18. 20:39, 빠충 : 가만 놔뒀으면
2018. 9. 18. 20:39, 빠충 : 사람들이 불쌍했을걸...?
2018. 9. 18. 20:40, 양우성 : ㅋㅋㅋㅋㅋㅋㅋ 아글쿤
2018. 9. 18. 20:40, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 20:53, 원준오빠 : ㅇㅈ..
2018. 9. 18. 20:54, 원준오빠 : 근데 철창생은 슬푸다
2018. 9. 18. 20:54, (알 수 없음) : 맞아
2018. 9. 18. 20:54, (알 수 없음) : 애초에안잡앗다면
2018. 9. 18. 20:54, (알 수 없음) : ㅠ
2018. 9. 18. 20:54, (알 수 없음) : 퓨마가우리나라에잇을리가업어벌여
2018. 9. 18. 20:55, 원준오빠 : 마자..
2018. 9. 18. 20:55, 원준오빠 : 나 이제 출방하려구 빠충
2018. 9. 18. 20:56, 빠충 : 옥께이
2018. 9. 18. 20:56, 빠충 : 나 투썸 2층 창가자리
2018. 9. 18. 20:56, 원준오빠 : 사진
2018. 9. 18. 20:56, 빠충 : ㅋㅋㅋㅋㅋㅇㅇ버스 좋음
2018. 9. 18. 20:57, 원준오빠 : 알럽버스
2018. 9. 18. 21:05, (알 수 없음) : 사진
2018. 9. 18. 21:09, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2018. 9. 18. 21:09, 원준오빠 : 뭔가ㅜ욱기자노..
2018. 9. 18. 21:09, (알 수 없음) : 이모티콘 
2018. 9. 18. 21:19, 원준오빠 : 곧 내립니덩
2018. 9. 18. 21:21, 경민 : 아
2018. 9. 18. 21:21, 경민 : 조리게배곺하
2018. 9. 18. 21:21, 경민 : ㅠㅠㅠㅠ
2018. 9. 18. 21:21, 빠충 : 어예ㅖㅖㅖ
2018. 9. 18. 21:21, 경민 : 퇴근못해벌여
