Talk_2021.8.24 13:11-58.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 11월 27일 수요일
2019. 11. 27. 14:35, (알 수 없음) : 환기필요
2019. 11. 28. 12:21, 원준오빠 : 할 때는 1번이지
2019. 11. 28. 12:21, (알 수 없음) : 오근데사실
2019. 11. 28. 12:21, 원준오빠 : 둘 다 되는구나 몰랐네 난 1번인줄만
2019. 11. 28. 12:21, (알 수 없음) : 보통뜻은둘째치고
2019. 11. 28. 12:21, (알 수 없음) : 1번이업는줄알앗음
2019. 11. 28. 12:21, 원준오빠 : 난 반대임
2019. 11. 28. 12:21, (알 수 없음) : ㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 12:21, (알 수 없음) : 동아리들어갈거임
2019. 11. 28. 12:21, 원준오빠 : 둣사람이렇게서로다르지만
2019. 11. 28. 12:21, 원준오빠 : 요
2019. 11. 28. 12:21, 원준오빠 : 모든게완전히서로 반대지만
2019. 11. 28. 12:21, 원준오빠 : 요
2019. 11. 28. 12:21, (알 수 없음) : 샵검색: #카이스트 adlib
2019. 11. 28. 12:21, 원준오빠 : 홍?
2019. 11. 28. 12:21, 원준오빠 : 대박
2019. 11. 28. 12:21, (알 수 없음) : 형이지오디야?
2019. 11. 28. 12:22, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ7번 개웃기네 죄책감안들어서 타격0
2019. 11. 28. 12:22, (알 수 없음) : 저도
2019. 11. 28. 12:22, (알 수 없음) : 저건0
2019. 11. 28. 12:22, (알 수 없음) : 죄책감이안듦
2019. 11. 28. 12:22, (알 수 없음) : 휴
2019. 11. 28. 12:22, 원준오빠 : 난 개가 된 후에는 듦
2019. 11. 28. 12:22, 원준오빠 : 그래서ㅔ세션 뭐하게
2019. 11. 28. 12:22, 원준오빠 : 캐스터네츠?
2019. 11. 28. 12:22, (알 수 없음) : 나
2019. 11. 28. 12:22, (알 수 없음) : 앰버린
2019. 11. 28. 12:22, (알 수 없음) : 탬1ㅓ린
2019. 11. 28. 12:22, 원준오빠 : 굿
2019. 11. 28. 12:22, 원준오빠 : 진짜 들어감?
2019. 11. 28. 12:23, 원준오빠 : 할 시간 있냐
2019. 11. 28. 12:23, (알 수 없음) : 사진
2019. 11. 28. 12:23, (알 수 없음) : 대학원동아리니따
2019. 11. 28. 12:23, (알 수 없음) : 바쁘면양해가되지않을까
2019. 11. 28. 12:23, (알 수 없음) : 내년봄에
2019. 11. 28. 12:23, (알 수 없음) : 슬적알아본
2019. 11. 28. 12:23, (알 수 없음) : 다
2019. 11. 28. 12:23, Sekwang Ludan : ㅋㅋㅋㅋ 다같이 바쁘겠지
2019. 11. 28. 12:24, 원준오빠 : 오재 보기 힘들겠넴
2019. 11. 28. 12:24, 원준오빠 : 하지마
2019. 11. 28. 12:24, 원준오빠 : 뻥임
2019. 11. 28. 12:24, Sekwang Ludan : 밴드분들 다같이볼수도 ㅋㅋㅋㅋ
2019. 11. 28. 12:24, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋ
2019. 11. 28. 12:24, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 12:24, (알 수 없음) : 어디다알아봐야하지
2019. 11. 28. 12:26, 원준오빠 : 동방문을 노크노크
2019. 11. 28. 12:26, 재환오빠 : https://www.instagram.com/p/B5ZCFe4nU5H/?igshid=1is78olxxyqru
2019. 11. 28. 12:26, (알 수 없음) : 근데저분
2019. 11. 28. 12:26, (알 수 없음) : 왜저래
2019. 11. 28. 12:26, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저거ㅜ봄 개미친거같야 ㅠㅠ
2019. 11. 28. 12:27, (알 수 없음) : ㅅㅂ
2019. 11. 28. 12:27, (알 수 없음) : 혼자만안마의자
2019. 11. 28. 12:27, (알 수 없음) : 안마의자개웃기네
2019. 11. 28. 12:38, 재환오빠 : 사진
2019. 11. 28. 12:38, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 ㅅㅂ
2019. 11. 28. 12:41, (알 수 없음) : ㅅㅂ
2019. 11. 28. 12:41, (알 수 없음) : 도랏나
2019. 11. 28. 12:41, (알 수 없음) : 개웃기네ㅠ
2019. 11. 28. 12:41, 원준오빠 : 사진
2019. 11. 28. 12:41, (알 수 없음) : 싫어
2019. 11. 28. 12:41, 원준오빠 : 우정관에 원래 부영 로고 붙어있었자
2019. 11. 28. 12:41, 원준오빠 : 좋아해줘
2019. 11. 28. 12:41, (알 수 없음) : 어그러게
2019. 11. 28. 12:41, (알 수 없음) : 학교로고로바꼇네
2019. 11. 28. 12:41, 원준오빠 : 존나 보기이상했는데 다행쓰
2019. 11. 28. 12:42, 원준오빠 : 부영대학교인줄
2019. 11. 28. 12:46, (알 수 없음) : ㄹㅇ
2019. 11. 28. 12:46, (알 수 없음) : 오늘펭수라이브하는데
2019. 11. 28. 12:46, (알 수 없음) : 박지선이엠씨인가보네
2019. 11. 28. 12:46, (알 수 없음) : 샵검색: #박지선 펭수
2019. 11. 28. 12:48, 정우 : ㅎㅇ
2019. 11. 28. 12:48, 정우 : 오전내내 조지게잤넴
2019. 11. 28. 12:49, (알 수 없음) : ㅎㅇ
2019. 11. 28. 12:49, (알 수 없음) : 아오늘할거업네
2019. 11. 28. 12:49, (알 수 없음) : 간만에수학책보고
2019. 11. 28. 12:49, (알 수 없음) : 빡공함
2019. 11. 28. 12:49, (알 수 없음) : 책보고공부하는거가오랸만이다
2019. 11. 28. 12:53, 원준오빠 : 올
2019. 11. 28. 13:02, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 콩고 지원해볼까?
2019. 11. 28. 13:03, Sekwang Ludan : 사진
2019. 11. 28. 13:03, (알 수 없음) : ㄱ
2019. 11. 28. 13:08, 원준오빠 : 좋다
2019. 11. 28. 13:08, 원준오빠 : 가면 귀족 대접
2019. 11. 28. 13:09, (알 수 없음) : ㅅㅂ뒤에사람
2019. 11. 28. 13:09, (알 수 없음) : 한달에250넘게
2019. 11. 28. 13:09, (알 수 없음) : 받을거같은데어케해야하냐고질눈한다
2019. 11. 28. 13:09, (알 수 없음) : 100주는데나는
2019. 11. 28. 13:09, (알 수 없음) : ㅅㅂ
2019. 11. 28. 13:11, (알 수 없음) : 등록금
2019. 11. 28. 13:11, (알 수 없음) : 더낮아질수도잇다갯귤
2019. 11. 28. 13:11, 원준오빠 : 올
2019. 11. 28. 13:11, 원준오빠 : ㅊㅋ
2019. 11. 28. 13:11, 원준오빠 : 손들업
2019. 11. 28. 13:11, 원준오빠 : 저는 백인데요
2019. 11. 28. 13:11, 원준오빠 : 동 백인대요
2019. 11. 28. 13:12, (알 수 없음) : ㅠ
2019. 11. 28. 13:12, (알 수 없음) : 좋겟돻
2019. 11. 28. 13:12, (알 수 없음) : 아졸려
2019. 11. 28. 13:12, 정우 : 아
2019. 11. 28. 13:12, 정우 : 미친시간리
2019. 11. 28. 13:12, 정우 : 이
2019. 11. 28. 13:12, 정우 : 벌써
2019. 11. 28. 13:12, 정우 : ㅠ
2019. 11. 28. 13:14, (알 수 없음) : 이이이이잉
2019. 11. 28. 13:14, (알 수 없음) : 이이이이이잉
2019. 11. 28. 13:19, (알 수 없음) : 오만원받앗다
2019. 11. 28. 13:19, (알 수 없음) : 개굴
2019. 11. 28. 13:20, 정우 : 갯귤
2019. 11. 28. 13:22, (알 수 없음) : 35분까지맘쉼가능?
2019. 11. 28. 13:22, (알 수 없음) : 수학하다모르면 니친구한테물어보기가능?
2019. 11. 28. 13:23, (알 수 없음) : 가능
2019. 11. 28. 13:23, 정우 : ㄱㄴ
2019. 11. 28. 13:23, 정우 : 내친구
2019. 11. 28. 13:23, 정우 : 호일이?
2019. 11. 28. 13:23, 정우 : ㄱㄴㄱㄴ
2019. 11. 28. 13:24, (알 수 없음) : ㅇㅇ
2019. 11. 28. 13:24, 정우 : 근데걔 좀
2019. 11. 28. 13:24, (알 수 없음) : ㅇㅇ
2019. 11. 28. 13:24, 정우 : 덕후
2019. 11. 28. 13:24, 정우 : 삘
2019. 11. 28. 13:24, 정우 : 약간
2019. 11. 28. 13:24, 정우 : 있어서
2019. 11. 28. 13:24, 정우 : 아
2019. 11. 28. 13:24, 정우 : 뭔지알지
2019. 11. 28. 13:24, 정우 : 수학덕후
2019. 11. 28. 13:24, (알 수 없음) : 벌레보듯이봄
2019. 11. 28. 13:24, (알 수 없음) : ?
2019. 11. 28. 13:24, (알 수 없음) : 아
2019. 11. 28. 13:24, (알 수 없음) : ㄱㅊ
2019. 11. 28. 13:24, (알 수 없음) : 안친해질거니까
2019. 11. 28. 13:24, 정우 : ㅇㅋ
2019. 11. 28. 13:24, 정우 : 아니
2019. 11. 28. 13:24, 정우 : 그래서
2019. 11. 28. 13:24, (알 수 없음) : 수덕싫어함
2019. 11. 28. 13:24, (알 수 없음) : ㅇㅇ
2019. 11. 28. 13:24, 정우 : 물어보면
2019. 11. 28. 13:24, 정우 : 가끔
2019. 11. 28. 13:24, (알 수 없음) : 300퍼
2019. 11. 28. 13:24, 정우 : 필요이상의것을
2019. 11. 28. 13:24, (알 수 없음) : 알려줌?
2019. 11. 28. 13:24, 정우 : 배워감
2019. 11. 28. 13:24, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:24, 정우 : 아근데
2019. 11. 28. 13:25, 정우 : 또 막
2019. 11. 28. 13:25, 정우 : 권현우 그런 스타일은 아니고
2019. 11. 28. 13:25, 정우 : 뭐 장난반진담반임
2019. 11. 28. 13:25, 정우 : 그냥그렇다고
2019. 11. 28. 13:25, 정우 : 애는좋음
2019. 11. 28. 13:25, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:25, 정우 : 하지만일단
2019. 11. 28. 13:25, 정우 : 대학원전공이 순수수학이라는 점에서
2019. 11. 28. 13:25, 정우 : 거릅니다
2019. 11. 28. 13:25, 정우 : ㅇㅈ?
2019. 11. 28. 13:29, (알 수 없음) : 알음
2019. 11. 28. 13:29, (알 수 없음) : 나도
2019. 11. 28. 13:29, (알 수 없음) : 수덕임
2019. 11. 28. 13:29, (알 수 없음) : 수학공부하러갈거임
2019. 11. 28. 13:29, 정우 : 그럼?
2019. 11. 28. 13:29, 정우 : 거름
2019. 11. 28. 13:29, (알 수 없음) : 나거름?
2019. 11. 28. 13:29, (알 수 없음) : ㅜ
2019. 11. 28. 13:29, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:29, 정우 : 사진
2019. 11. 28. 13:29, 정우 : 아니
2019. 11. 28. 13:29, 정우 : 펭수b급?
2019. 11. 28. 13:29, 정우 : ㅠ
2019. 11. 28. 13:29, (알 수 없음) : 진짜
2019. 11. 28. 13:29, (알 수 없음) : 지랄하네
2019. 11. 28. 13:30, (알 수 없음) : 선안넘거든
2019. 11. 28. 13:30, (알 수 없음) : ㅡㅡ
2019. 11. 28. 13:30, (알 수 없음) : 펭수가 어디선을넘었냐
2019. 11. 28. 13:30, (알 수 없음) : 문화일보거름
2019. 11. 28. 13:30, (알 수 없음) : 개나대
2019. 11. 28. 13:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:30, 재환오빠 : 장성규가 선넘지 펭수는 안넘음 ㅡㅡ
2019. 11. 28. 13:30, 정우 : ㅇㅈ
2019. 11. 28. 13:30, 정우 : 둘다ㅇㅈ입니다
2019. 11. 28. 13:31, (알 수 없음) : ㄹㅇ
2019. 11. 28. 13:31, (알 수 없음) : 장성규는
2019. 11. 28. 13:31, (알 수 없음) : 왓다갓다하는데
2019. 11. 28. 13:31, (알 수 없음) : 펭수는
2019. 11. 28. 13:31, (알 수 없음) : 아님
2019. 11. 28. 13:31, 정우 : 펭수는
2019. 11. 28. 13:31, 정우 : 장성규순한맛
2019. 11. 28. 13:31, (알 수 없음) : 진짜
2019. 11. 28. 13:31, (알 수 없음) : 펭수까지마라
2019. 11. 28. 13:31, (알 수 없음) : 할짓업나
2019. 11. 28. 13:31, (알 수 없음) : 펭수욕하는애들이 젤
2019. 11. 28. 13:31, (알 수 없음) : 한심함;
2019. 11. 28. 13:31, (알 수 없음) : 펭수한테왜욕하는거야
2019. 11. 28. 13:31, 정우 : ㅇㅈ;;
2019. 11. 28. 13:31, (알 수 없음) : 캐릭터하나에
2019. 11. 28. 13:31, (알 수 없음) : 인생비비고있음
2019. 11. 28. 13:31, (알 수 없음) : ㅠ;
2019. 11. 28. 13:32, 정우 : ㄱㅌ
2019. 11. 28. 13:32, 정우 : ㄱㅊ
2019. 11. 28. 13:32, 정우 : 유투브댓글
2019. 11. 28. 13:32, 정우 : 그게개웃기던데
2019. 11. 28. 13:32, 정우 : 어떤사람이
2019. 11. 28. 13:32, 정우 : 펭수안에 있는 사람은 도대체 누굴까 이랬더니
2019. 11. 28. 13:32, 정우 : 사람들 몰려가서
2019. 11. 28. 13:32, 정우 : 펭수안에는 내장이있죠;;;무슨 사람이있어요
2019. 11. 28. 13:32, 정우 : 이러는거
2019. 11. 28. 13:33, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ콩곸ㅋㅋㅋ
2019. 11. 28. 13:33, 빠충 : 펭수?
2019. 11. 28. 13:33, 빠충 : 엑스레이 찍었자나
2019. 11. 28. 13:33, 빠충 : 내장임ㅡㅡ
2019. 11. 28. 13:33, 빠충 : 암튼 내장임
2019. 11. 28. 13:35, (알 수 없음) : 펭펭
2019. 11. 28. 13:35, (알 수 없음) : 펭수을마나귀엽게요
2019. 11. 28. 13:35, (알 수 없음) : 펭펭
2019. 11. 28. 13:35, 빠충 : 요새 자이언트 펭티비 펭펭
2019. 11. 28. 13:35, 빠충 : 잘 안 함
2019. 11. 28. 13:35, 빠충 : ㅜㅜ
2019. 11. 28. 13:35, 빠충 : 인트로 송 해주면 좋겠는데
2019. 11. 28. 13:35, 빠충 : 엣헴엣헴엣헴 들으러갑니다
2019. 11. 28. 13:36, (알 수 없음) : 이모티콘 
2019. 11. 28. 13:38, (알 수 없음) : 펭펭
2019. 11. 28. 13:38, (알 수 없음) : 어제꺼보고 시작해얒이
2019. 11. 28. 13:38, 재환오빠 : 어제꺼에 내친구나옴
2019. 11. 28. 13:38, 재환오빠 : ㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:38, (알 수 없음) : 올'!?
2019. 11. 28. 13:38, 경민 : 사진
2019. 11. 28. 13:38, (알 수 없음) : ㅊㅋㅊㅋ
2019. 11. 28. 13:38, 경민 : 회사에서잼라이브하는데 우승함
2019. 11. 28. 13:38, 재환오빠 : 올ㅋ
2019. 11. 28. 13:38, 경민 : 2632명;
2019. 11. 28. 13:38, (알 수 없음) : 와니
2019. 11. 28. 13:38, (알 수 없음) : 잘하네?
2019. 11. 28. 13:38, 경민 : 사회자가 답 다 말해주던대
2019. 11. 28. 13:38, 경민 : ?
2019. 11. 28. 13:38, (알 수 없음) : ㅁㅊ
2019. 11. 28. 13:39, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:39, 경민 : 존나
2019. 11. 28. 13:39, 빠충 : 귯
2019. 11. 28. 13:39, 경민 : 이딴식임
2019. 11. 28. 13:39, 빠충 : 엥
2019. 11. 28. 13:39, (알 수 없음) : 스크 2632명이나함?
2019. 11. 28. 13:39, (알 수 없음) : 150마넌
2019. 11. 28. 13:39, 경민 : 근무시간
2019. 11. 28. 13:39, (알 수 없음) : 나누는건가
2019. 11. 28. 13:39, 경민 : 2000시간인데
2019. 11. 28. 13:39, 경민 : 10%를보장한대요
2019. 11. 28. 13:39, (알 수 없음) : ㅇㅇ
2019. 11. 28. 13:39, 경민 : 하면
2019. 11. 28. 13:39, 경민 : 답몰까요
2019. 11. 28. 13:39, 경민 : 이런느낌ㅋㅋㅋㅋ
2019. 11. 28. 13:39, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:39, (알 수 없음) : ㅅㅂ
2019. 11. 28. 13:39, (알 수 없음) : 우승자 2632..
2019. 11. 28. 13:39, 경민 : 개웃긴게 마지막은
2019. 11. 28. 13:39, (알 수 없음) : 2632 * 1899얼마임
2019. 11. 28. 13:39, 경민 : 이름정하는거거든
2019. 11. 28. 13:39, 경민 : 500
2019. 11. 28. 13:39, 경민 : n빵
2019. 11. 28. 13:39, 경민 : 한거이
2019. 11. 28. 13:39, 경민 : ㅁ
2019. 11. 28. 13:39, (알 수 없음) : 글너ㅔ
2019. 11. 28. 13:39, 경민 : 그래서 이름정하는건데
2019. 11. 28. 13:39, 재환오빠 : 아직하네 잼라이브ㅋㅋㅋㅋㅋ
2019. 11. 28. 13:39, 경민 : 다수결로
2019. 11. 28. 13:39, 경민 : 많은곳에
2019. 11. 28. 13:39, 경민 : 정답하겟다고
2019. 11. 28. 13:39, 경민 : 하더니
2019. 11. 28. 13:39, (알 수 없음) : ㅁㅊ
2019. 11. 28. 13:39, 경민 : 대동단결1번
2019. 11. 28. 13:39, 경민 : ㅋㅋㅋㅋㅋㅅㅂ개웃겨
2019. 11. 28. 13:39, (알 수 없음) : 역시
2019. 11. 28. 13:39, (알 수 없음) : 객귤
2019. 11. 28. 13:39, (알 수 없음) : 우리도잼라이브하자
2019. 11. 28. 13:40, (알 수 없음) : 돈은누가낼래?
2019. 11. 28. 13:40, (알 수 없음) : 내가맞출게
2019. 11. 28. 13:43, 경민 : 너ㅏ가내
2019. 11. 28. 13:43, (알 수 없음) : 잼라이브안해봄
2019. 11. 28. 13:44, (알 수 없음) : 해본너가내가
2019. 11. 28. 13:45, 재환오빠 : 잼라이브 돈 안냄
2019. 11. 28. 13:45, 재환오빠 : ㅋㅋㅋㅋㅋ
2019. 11. 28. 13:45, 경민 : 그니까우리끼리하니까
2019. 11. 28. 13:45, 경민 : 상금을걸어라는거같은데
2019. 11. 28. 13:45, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:45, 경민 : 지가맞출테니가...아닌가
2019. 11. 28. 13:46, (알 수 없음) : 예압
2019. 11. 28. 13:46, (알 수 없음) : 맞음
2019. 11. 28. 13:46, (알 수 없음) : 내가준3천원
2019. 11. 28. 13:46, (알 수 없음) : 최한길사주지말고
2019. 11. 28. 13:46, (알 수 없음) : 이거하자
2019. 11. 28. 13:46, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:46, 경민 : 그래도갯귤;
2019. 11. 28. 13:46, 경민 : 문제누가냄
2019. 11. 28. 13:46, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:46, (알 수 없음) : 니가냄;
2019. 11. 28. 13:46, 경민 : ;
2019. 11. 28. 13:47, (알 수 없음) : ㅈㅅ
2019. 11. 28. 13:47, (알 수 없음) : 3
2019. 11. 28. 13:47, (알 수 없음) : 그럼
2019. 11. 28. 13:47, (알 수 없음) : 공부시작함?
2019. 11. 28. 13:48, (알 수 없음) : 컨벡스옵티미제이션
2019. 11. 28. 13:48, (알 수 없음) : 시작함
2019. 11. 28. 13:48, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 13:48, (알 수 없음) : 백예린노래들으면서하려니까
2019. 11. 28. 13:48, (알 수 없음) : 너무좋네;
2019. 11. 28. 14:52, 정우 : 아미친
2019. 11. 28. 14:52, 정우 : 진짜씨발 일산시내 아줌마들
2019. 11. 28. 14:52, 정우 : 운전존나못하네
2019. 11. 28. 14:52, 정우 : 하 씨바
2019. 11. 28. 14:52, 정우 : ㅅㅂ엄빠있는데 욕함
2019. 11. 28. 14:52, 정우 : 아 답답해
2019. 11. 28. 14:52, 정우 : 아 빡쳐
2019. 11. 28. 14:52, 정우 : 하
2019. 11. 28. 14:52, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:01, 정우 : 아
2019. 11. 28. 15:01, 정우 : 원인을찾았다
2019. 11. 28. 15:01, 정우 : 경찰이 신호길이 조정하고있었네
2019. 11. 28. 15:02, 정우 : 아씨ㅡㅡ어쩐지 신호가 조낸잘걸리더니
2019. 11. 28. 15:03, 정우 : 이제밥먹는다
2019. 11. 28. 15:03, 정우 : 후
2019. 11. 28. 15:20, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:22, (알 수 없음) : 수학공ㅂ는무슨!!!!
2019. 11. 28. 15:22, (알 수 없음) : 한시간동안교수님이랑
2019. 11. 28. 15:22, (알 수 없음) : 얘기하다왔따
2019. 11. 28. 15:22, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:22, (알 수 없음) : 개뀰;
2019. 11. 28. 15:26, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:26, 경민 : 모라심
2019. 11. 28. 15:29, (알 수 없음) : 그냥
2019. 11. 28. 15:29, (알 수 없음) : 주말에했던거
2019. 11. 28. 15:29, (알 수 없음) : 월욜인가
2019. 11. 28. 15:29, (알 수 없음) : ㅇㅇㅇㅇㅇ
2019. 11. 28. 15:29, (알 수 없음) : 했덛ㄴ거그냥
2019. 11. 28. 15:29, (알 수 없음) : 얘기나누다옴
2019. 11. 28. 15:29, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:32, (알 수 없음) : 됐따
2019. 11. 28. 15:32, (알 수 없음) : 후
2019. 11. 28. 15:32, (알 수 없음) : 코드완소오옹
2019. 11. 28. 15:32, (알 수 없음) : 오늘은
2019. 11. 28. 15:32, (알 수 없음) : 뭐잼난게없나
2019. 11. 28. 15:32, (알 수 없음) : 후
2019. 11. 28. 15:35, (알 수 없음) : ㅁㅊ펭수인스타말투개귀여운거봐;;
2019. 11. 28. 15:35, (알 수 없음) : 사진
2019. 11. 28. 15:35, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 15:35, 정우 : 졸귀
2019. 11. 28. 15:35, 정우 : ㄹㅇ
2019. 11. 28. 15:36, (알 수 없음) : zzzzzㄹㅇ
2019. 11. 28. 15:36, (알 수 없음) : 말투개세상졸귀탱이시다
2019. 11. 28. 15:36, 정우 : 아 배불러
2019. 11. 28. 15:36, (알 수 없음) : 뭐먹엇음
2019. 11. 28. 15:36, 정우 : 한정식
2019. 11. 28. 15:36, 정우 : 운전의대가는
2019. 11. 28. 15:36, 정우 : 달콤하다
2019. 11. 28. 15:36, (알 수 없음) : 와웋
2019. 11. 28. 15:36, 정우 : 아까 왜케빡치지했는데
2019. 11. 28. 15:36, (알 수 없음) : 한정식...
2019. 11. 28. 15:36, 정우 : 배고파서였음
2019. 11. 28. 15:36, 정우 : 마평찾음
2019. 11. 28. 15:37, (알 수 없음) : ㅇㅈㅇㅈ'
2019. 11. 28. 15:37, (알 수 없음) : 아왜케
2019. 11. 28. 15:38, (알 수 없음) : 배아파
2019. 11. 28. 15:38, (알 수 없음) : 술먹어서그런가
2019. 11. 28. 15:38, (알 수 없음) : 하
2019. 11. 28. 15:39, 정우 : ㅇㅇㅇ
2019. 11. 28. 15:39, 정우 : 일단
2019. 11. 28. 15:39, 정우 : 집가봄
2019. 11. 28. 15:42, (알 수 없음) : 휴
2019. 11. 28. 15:42, (알 수 없음) : 피곤피곤하다
2019. 11. 28. 15:46, (알 수 없음) : 사진
2019. 11. 28. 15:46, (알 수 없음) : 이거너무웃겨ㅠ
2019. 11. 28. 15:48, (알 수 없음) : 악뮤..박효신 ..아이유
2019. 11. 28. 15:48, (알 수 없음) : 그리고 nct127
2019. 11. 28. 15:52, (알 수 없음) : shfdkf wnj
2019. 11. 28. 15:52, (알 수 없음) : x wshfkdnfjwnfjsdnkj 놀아줘
2019. 11. 28. 15:57, (알 수 없음) : 이정우
2019. 11. 28. 15:58, (알 수 없음) : 아니다
2019. 11. 28. 16:03, 정우 : ㅎㅇ
2019. 11. 28. 16:03, 정우 : 집옴
2019. 11. 28. 16:07, (알 수 없음) : 사진
2019. 11. 28. 16:07, (알 수 없음) : 학교
2019. 11. 28. 16:07, (알 수 없음) : 신언준부경보편이네
2019. 11. 28. 16:08, 이석준 : 사진
2019. 11. 28. 16:08, 이석준 : 이거좀 풀어줄사람
2019. 11. 28. 16:10, 정우 : 뭔소리임
2019. 11. 28. 16:11, 정우 : 샵검색: #poisson distribution
2019. 11. 28. 16:11, 정우 : 이공식 때려박으셈
2019. 11. 28. 16:12, (알 수 없음) : 신언준 스테라장 조아하소
2019. 11. 28. 16:12, (알 수 없음) : 부경보 선우정아조아하자나
2019. 11. 28. 16:12, 이석준 : 그 공식을 보긴했는데
2019. 11. 28. 16:12, 이석준 : 모르겠음
2019. 11. 28. 16:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 16:13, 정우 : 아 설명치기 귀찮은데
2019. 11. 28. 16:13, 정우 : 오재훈
2019. 11. 28. 16:13, (알 수 없음) : ?
2019. 11. 28. 16:13, 정우 : 너가해줘라
2019. 11. 28. 16:13, 정우 : ;;;;
2019. 11. 28. 16:13, (알 수 없음) : 그냥하면됨
2019. 11. 28. 16:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 11. 28. 16:13, (알 수 없음) : 0.3초에하나씩온다매
2019. 11. 28. 16:14, (알 수 없음) : 아닌가
2019. 11. 28. 16:14, 정우 : a번
2019. 11. 28. 16:14, (알 수 없음) : 포아송분포가뭐지
2019. 11. 28. 16:14, (알 수 없음) : 단위시간으로
2019. 11. 28. 16:14, (알 수 없음) : 따지는건가
2019. 11. 28. 16:14, 정우 : 10초 인터벌이라니까
2019. 11. 28. 16:14, (알 수 없음) : 단위발생횟수냐
2019. 11. 28. 16:14, 정우 : 파라미터 3이겠지
2019. 11. 28. 16:14, 정우 : 그럼뭐 람다에 3넣고
2019. 11. 28. 16:14, 정우 : 정확히 3회 신호가 올 확률이니까
2019. 11. 28. 16:14, 정우 : k도 3넣고
2019. 11. 28. 16:14, 정우 : 끝
2019. 11. 28. 16:15, 정우 : b번
2019. 11. 28. 16:15, 정우 : 20초래
2019. 11. 28. 16:15, 정우 : 그럼 파라미터 6이겠지
2019. 11. 28. 16:15, 정우 : 최대 20번?
2019. 11. 28. 16:15, 정우 : 그럼 k에 0부터 20까지 넣으면 되겠네
2019. 11. 28. 16:15, 정우 : 다더하셈
2019. 11. 28. 16:15, 정우 : 끝
2019. 11. 28. 16:15, 정우 : c번
2019. 11. 28. 16:15, 정우 : 5초래
2019. 11. 28. 16:15, 정우 : 파라미터 1.5
