Talk_2021.8.24 13:11-36.txt
저장한 날짜 : 2021. 8. 24. 13:11



2019년 2월 17일 일요일
2019. 2. 17. 21:33, Sekwang Ludan : 라틴 뮤직!!!!
2019. 2. 23. 19:32, (알 수 없음) : 오능하루종일누워잇엇넵
2019. 2. 23. 19:36, 정우 : 아
2019. 2. 23. 19:36, 정우 : 공부몇시부터
2019. 2. 23. 19:36, 정우 : 다시하지
2019. 2. 23. 19:36, 정우 : 8시?
2019. 2. 23. 19:36, 정우 : 8시각
2019. 2. 23. 19:39, (알 수 없음) : 놀토보고
2019. 2. 23. 19:39, 정우 : 노노
2019. 2. 23. 19:39, 정우 : 8시고고
2019. 2. 23. 19:40, (알 수 없음) : 쨥
2019. 2. 23. 19:41, (알 수 없음) : 놀토보러갓다온닷
2019. 2. 23. 19:43, 정우 : 쩝쓰
2019. 2. 23. 19:43, 정우 : 할거없는데
2019. 2. 23. 19:43, 정우 : 그냥공부일찍하고 일찍자야겠다
2019. 2. 23. 19:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 20:58, (알 수 없음) : 오늘도
2019. 2. 23. 20:58, (알 수 없음) : 서민탈출실패
2019. 2. 23. 20:58, (알 수 없음) : 시벌
2019. 2. 23. 21:08, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 21:08, 정우 : 한개도?
2019. 2. 23. 21:09, (알 수 없음) : 5처넌안댐
2019. 2. 23. 21:09, (알 수 없음) : ㅠ
2019. 2. 23. 21:09, (알 수 없음) : 샵검색: #로또당첨번호
2019. 2. 23. 21:10, (알 수 없음) : 사진
2019. 2. 23. 21:13, 정우 : 와미친
2019. 2. 23. 21:13, 정우 : 당첨번호
2019. 2. 23. 21:13, 정우 : 짝수밖에없네
2019. 2. 23. 21:13, 정우 : 미친거아님?
2019. 2. 23. 21:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 21:13, 정우 : 와씨 존나신기해
2019. 2. 23. 21:27, (알 수 없음) : ㅇㅇ나도그갱다함
2019. 2. 23. 21:27, (알 수 없음) : ㅅㅂ
2019. 2. 23. 21:27, (알 수 없음) : 사진
2019. 2. 23. 21:28, 원준오빠 : 샵검색: #닌텐도 라보
2019. 2. 23. 21:28, 원준오빠 : 오야붕 이거 앎??
2019. 2. 23. 21:28, 원준오빠 : 개쩔음
2019. 2. 23. 21:28, (알 수 없음) : 이건뭐야
2019. 2. 23. 21:31, 정우 : 한라토닉~~~~~
2019. 2. 23. 21:31, 정우 : 달려~~~~~
2019. 2. 23. 21:32, 정우 : 끄아아아아아아아앙~~~~~~
2019. 2. 23. 21:46, (알 수 없음) : 달려달려댤ㄹㄹ려ㅕ오어어
2019. 2. 23. 21:55, (알 수 없음) : 아이번주8명밖에
2019. 2. 23. 21:55, (알 수 없음) : 1등업는데하아
2019. 2. 23. 22:01, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:01, 정우 : 얼마냐 그럼
2019. 2. 23. 22:21, (알 수 없음) : 17억이랫나22억이랫나
2019. 2. 23. 22:27, 경민 : ㅎㅇ
2019. 2. 23. 22:27, 정우 : 흐부럽
2019. 2. 23. 22:27, 정우 : ㅎㅇ
2019. 2. 23. 22:27, 경민 : 아 닌텐도해야대는데
2019. 2. 23. 22:27, 경민 : 롤함
2019. 2. 23. 22:27, 경민 : ...
2019. 2. 23. 22:27, 경민 : ㅋㅋㅋㅋ
2019. 2. 23. 22:27, 정우 : ;;;;;;;;;
2019. 2. 23. 22:27, 정우 : ㄱㅊ
2019. 2. 23. 22:27, 정우 : 나도카트함
2019. 2. 23. 22:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:27, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:27, 정우 : 열한시까지만하고
2019. 2. 23. 22:27, 정우 : 공부해야지
2019. 2. 23. 22:27, 경민 : 한판ㄷ만딱더하고
2019. 2. 23. 22:27, 경민 : 닌텐도해야지
2019. 2. 23. 22:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:36, (알 수 없음) : 나도레이싱함
2019. 2. 23. 22:36, (알 수 없음) : 겜방이냐여기
2019. 2. 23. 22:36, 빠충 : 맞지 않음 근데?
2019. 2. 23. 22:44, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:49, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ맞는듯;
2019. 2. 23. 22:49, (알 수 없음) : 쫘읍
2019. 2. 23. 22:51, 정우 : 아쉬발
2019. 2. 23. 22:51, 정우 : 막자땜에 3등함
2019. 2. 23. 22:51, 정우 : 아씨
2019. 2. 23. 22:51, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:52, (알 수 없음) : 족발집
2019. 2. 23. 22:52, (알 수 없음) : 유개념썰들어주실분
2019. 2. 23. 22:52, (알 수 없음) : 막국수안주고
2019. 2. 23. 22:52, 빠충 : 아
2019. 2. 23. 22:52, (알 수 없음) : 컵라면주고 가격2마넌임
2019. 2. 23. 22:52, 빠충 : 지하철에 사람 개많다
2019. 2. 23. 22:52, (알 수 없음) : 막국수
2019. 2. 23. 22:53, (알 수 없음) : 막좋아하지않는사람으로서
2019. 2. 23. 22:53, (알 수 없음) : 대유개념
2019. 2. 23. 22:53, (알 수 없음) : 빼충
2019. 2. 23. 22:53, (알 수 없음) : 집가지마셈
2019. 2. 23. 22:53, (알 수 없음) : 지하철에사람만우면
2019. 2. 23. 22:53, 빠충 : ㅇ?
2019. 2. 23. 22:53, 빠충 : 나 내일 토익이요
2019. 2. 23. 22:53, 빠충 : 집에 가서 무파마 먹을꺼야
2019. 2. 23. 22:53, 빠충 : 상기한 두 가지의 이유때문에 집 가야겠음
2019. 2. 23. 22:53, (알 수 없음) : ㅁㅊ
2019. 2. 23. 22:53, (알 수 없음) : 무파마
2019. 2. 23. 22:53, (알 수 없음) : 너도유개념 ㅇㅈ해드림
2019. 2. 23. 22:53, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:53, 빠충 : ㅇㅋㅇㅋ
2019. 2. 23. 22:53, 정우 : 하
2019. 2. 23. 22:53, 정우 : 라면
2019. 2. 23. 22:54, 정우 : 먹고싶다
2019. 2. 23. 22:54, 정우 : ㅠ
2019. 2. 23. 22:54, 빠충 : ㄱㄱ
2019. 2. 23. 22:54, 정우 : ㄴㄴ
2019. 2. 23. 22:54, 정우 : 요즘살빼는중
2019. 2. 23. 22:54, 빠충 : ㄷㄷ
2019. 2. 23. 22:54, (알 수 없음) : 사진
2019. 2. 23. 22:54, (알 수 없음) : 라면도육개장임
2019. 2. 23. 22:54, 정우 : 3키로뺐음
2019. 2. 23. 22:54, (알 수 없음) : 유개념
2019. 2. 23. 22:54, 정우 : 아니
2019. 2. 23. 22:54, 정우 : 막국수ㅡㅡ
2019. 2. 23. 22:54, 정우 : 노어이
2019. 2. 23. 22:54, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:54, (알 수 없음) : 가격이퉁쳐주니까
2019. 2. 23. 22:54, 정우 : 오재훈 무개념
2019. 2. 23. 22:54, (알 수 없음) : ㄱㅊ
2019. 2. 23. 22:54, (알 수 없음) : 사진
2019. 2. 23. 22:54, (알 수 없음) : 이방거의
2019. 2. 23. 22:54, (알 수 없음) : 어제의훈
2019. 2. 23. 22:54, (알 수 없음) : 프리뷰올리는방인데
2019. 2. 23. 22:55, (알 수 없음) : 그거알지
2019. 2. 23. 22:55, (알 수 없음) : 인스타올려도보는애들다이방애들인거
2019. 2. 23. 22:55, (알 수 없음) : 이모티콘 
2019. 2. 23. 22:56, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:56, 빠충 : 나 심지어
2019. 2. 23. 22:56, 빠충 : 인스타도
2019. 2. 23. 22:56, 빠충 : 지움
2019. 2. 23. 22:56, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 22:56, 정우 : 존나
2019. 2. 23. 22:56, 정우 : 우리뭐 sns많이해봐야
2019. 2. 23. 22:56, 정우 : 소용없음
2019. 2. 23. 22:56, 정우 : 카톡으로 퉁치기가능
2019. 2. 23. 22:56, 빠충 : 나 사회랑 단절되어버림
2019. 2. 23. 22:56, 빠충 : ㅇㅇ
2019. 2. 23. 22:56, 빠충 : ㄹㄴ
2019. 2. 23. 22:56, 빠충 : ㄹㅇ
2019. 2. 23. 22:57, 정우 : 페북
2019. 2. 23. 22:57, 정우 : 예능보는어플임
2019. 2. 23. 22:57, (알 수 없음) : ㅠ
2019. 2. 23. 22:57, (알 수 없음) : ㅇ친구가업엉
2019. 2. 23. 22:57, (알 수 없음) : @,@
2019. 2. 23. 22:57, (알 수 없음) : 흰입니단
2019. 2. 23. 22:58, 빠충 : 힁이네
2019. 2. 23. 22:58, 빠충 : 아
2019. 2. 23. 22:58, (알 수 없음) : ㅋㅌㅋㅋㅋ
2019. 2. 23. 22:58, 빠충 : 빨리 집 가자
2019. 2. 23. 22:58, 빠충 : 무파마 조지고프다
2019. 2. 23. 22:58, (알 수 없음) : @ ㅜ @
2019. 2. 23. 22:58, (알 수 없음) : 이거귀여운데
2019. 2. 23. 22:58, 빠충 : 시바
2019. 2. 23. 22:58, (알 수 없음) : 아니 무파마
2019. 2. 23. 22:58, (알 수 없음) : 존맛일각
2019. 2. 23. 22:58, 빠충 : 오늘 초밥 먹어서
2019. 2. 23. 22:58, (알 수 없음) : @ , @
2019. 2. 23. 22:58, (알 수 없음) : ㅡㅡ
2019. 2. 23. 22:58, (알 수 없음) : 아니초밥
2019. 2. 23. 22:58, 빠충 : 배 빨리 꺼짐
2019. 2. 23. 22:58, (알 수 없음) : 안먹은지5천4백년됨
2019. 2. 23. 22:58, 빠충 : 단군임?
2019. 2. 23. 22:58, (알 수 없음) : 울집바로앞에초밥집잇는데
2019. 2. 23. 22:58, (알 수 없음) : 존나비싸
2019. 2. 23. 22:58, (알 수 없음) : ㅜㅡ
2019. 2. 23. 22:58, (알 수 없음) : 점심에가면
2019. 2. 23. 22:58, (알 수 없음) : 런치셋트잇는거갘던데
2019. 2. 23. 22:58, (알 수 없음) : 예약하고가야함
2019. 2. 23. 22:58, (알 수 없음) : ㅅㅂ
2019. 2. 23. 22:59, 빠충 : 그거 있지 않냐
2019. 2. 23. 22:59, 빠충 : 마트에
2019. 2. 23. 22:59, 빠충 : 파는 초밥
2019. 2. 23. 22:59, 빠충 : 그거 은근 가성미 좋음
2019. 2. 23. 22:59, (알 수 없음) : 이마트
2019. 2. 23. 22:59, (알 수 없음) : 멀어머러
2019. 2. 23. 22:59, 빠충 : ㅇㅇㅇㅇㅇ
2019. 2. 23. 22:59, 빠충 : 으
2019. 2. 23. 22:59, 정우 : 우리집
2019. 2. 23. 22:59, (알 수 없음) : 이마트맛니숭ㅁ
2019. 2. 23. 22:59, 빠충 : ㅇㅈ
2019. 2. 23. 22:59, 정우 : 1층에초밥집있음
2019. 2. 23. 22:59, 정우 : 맛있음
2019. 2. 23. 22:59, 빠충 : 멀긴함
2019. 2. 23. 22:59, 정우 : 카트막판한다
2019. 2. 23. 22:59, (알 수 없음) : 우리집나가면
2019. 2. 23. 22:59, (알 수 없음) : 촙밥집
2019. 2. 23. 22:59, (알 수 없음) : 다다음주쯤에
2019. 2. 23. 22:59, (알 수 없음) : 보져야지
2019. 2. 23. 22:59, (알 수 없음) : 조져야지
2019. 2. 23. 23:00, (알 수 없음) : 아미친월욜개간이라좆그혐
2019. 2. 23. 23:00, (알 수 없음) : ㅇ하고잇엇는데
2019. 2. 23. 23:00, (알 수 없음) : 월급날이쥬
2019. 2. 23. 23:00, (알 수 없음) : 극보옥
2019. 2. 23. 23:01, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:01, 정우 : 미친
2019. 2. 23. 23:01, 정우 : 벌써월급날이나
2019. 2. 23. 23:01, 정우 : 시간진짜 조지게빠르네
2019. 2. 23. 23:01, 정우 : 개강이라니
2019. 2. 23. 23:01, 정우 : 실화냐
2019. 2. 23. 23:01, 정우 : 아씨ㅠ또개강이와버림
2019. 2. 23. 23:01, 정우 : 인생에이제 개강을 없애야하는데
2019. 2. 23. 23:02, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:02, (알 수 없음) : ㅜ
2019. 2. 23. 23:02, (알 수 없음) : 숩하..
2019. 2. 23. 23:02, (알 수 없음) : 난이번학기지나면
2019. 2. 23. 23:02, (알 수 없음) : 중간고사기말고사가
2019. 2. 23. 23:02, (알 수 없음) : 없다
2019. 2. 23. 23:02, (알 수 없음) : 이제
2019. 2. 23. 23:02, (알 수 없음) : 인생드디어
2019. 2. 23. 23:02, 정우 : 아
2019. 2. 23. 23:02, 정우 : 카트하다가
2019. 2. 23. 23:02, 정우 : 애새끼들
2019. 2. 23. 23:02, 정우 : 사고존나내서
2019. 2. 23. 23:02, 정우 : 빡쳐서걍끔
2019. 2. 23. 23:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:03, 정우 : 진짜존나못하네 씹새끼들
2019. 2. 23. 23:03, 정우 : 나도
2019. 2. 23. 23:03, 정우 : 이번학기끝나면
2019. 2. 23. 23:03, 정우 : 중간기말없음
2019. 2. 23. 23:03, 정우 : 인생~~~~~~~~~~~~~~~~
2019. 2. 23. 23:03, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:03, (알 수 없음) : 개웃겨
2019. 2. 23. 23:03, (알 수 없음) : 욕조지게하네
2019. 2. 23. 23:03, (알 수 없음) : 한잔따라봐라%~%%"~~~~
2019. 2. 23. 23:04, (알 수 없음) : 술한잔따라봐라
2019. 2. 23. 23:04, (알 수 없음) : 어디갓나~~~~~
2019. 2. 23. 23:04, (알 수 없음) : 이모티콘 
2019. 2. 23. 23:04, 정우 : 술줘라~~~~~~~~~~~~~~~
2019. 2. 23. 23:04, 정우 : 3월1일날
2019. 2. 23. 23:04, 정우 : 아빠한테
2019. 2. 23. 23:04, 정우 : 소주먹자고함
2019. 2. 23. 23:11, (알 수 없음) : 나도부산간다그날
2019. 2. 23. 23:11, (알 수 없음) : 아빠3얼6일날나간대서
2019. 2. 23. 23:11, (알 수 없음) : 내려갓다와야집...
2019. 2. 23. 23:12, (알 수 없음) : 술한잔따라봐라%%%%~~
2019. 2. 23. 23:14, 정우 : 가져와라 임마~~~~~~
2019. 2. 23. 23:14, 정우 : 아
2019. 2. 23. 23:15, 정우 : 수능수학도
2019. 2. 23. 23:15, 정우 : 오랜만에보니까
2019. 2. 23. 23:15, 정우 : 어렵네;;;;;
2019. 2. 23. 23:15, 정우 : 재밌는데 어렵네;;;;;
2019. 2. 23. 23:15, 정우 : 통입은 기억도안나네;;;;;;;
2019. 2. 23. 23:15, 정우 : 조져버렸다
2019. 2. 23. 23:15, 정우 : 어떡하지
2019. 2. 23. 23:16, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:16, (알 수 없음) : 통입도와준다
2019. 2. 23. 23:16, (알 수 없음) : !
2019. 2. 23. 23:16, (알 수 없음) : 는무슨
2019. 2. 23. 23:16, (알 수 없음) : 하나도모르죠
2019. 2. 23. 23:16, (알 수 없음) : ㅅㅂ
2019. 2. 23. 23:16, (알 수 없음) : 다때려치자
2019. 2. 23. 23:16, (알 수 없음) : 로또1등만노린닷
2019. 2. 23. 23:17, 정우 : 아근데
2019. 2. 23. 23:17, 정우 : 존나쉬운수준이긴함
2019. 2. 23. 23:17, 정우 : 그냥 분포몇개외우고
2019. 2. 23. 23:17, 정우 : 평균분산외우면
2019. 2. 23. 23:18, 정우 : 될거같은데
2019. 2. 23. 23:18, 정우 : 까먹으면
2019. 2. 23. 23:18, 정우 : 버리지 뭐;;;;
2019. 2. 23. 23:33, 빠충 : 사진
2019. 2. 23. 23:37, (알 수 없음) : ㅋㅋㅋㅋㅋㅋ외우기배툴
2019. 2. 23. 23:37, (알 수 없음) : 아니무파마
2019. 2. 23. 23:37, (알 수 없음) : 존맛각
2019. 2. 23. 23:37, (알 수 없음) : 아니ㅡㅡ
2019. 2. 23. 23:37, (알 수 없음) : 일베존나뒤저야함시발
2019. 2. 23. 23:37, (알 수 없음) : 사투리쓰는데
2019. 2. 23. 23:37, (알 수 없음) : 일베하냐는데
2019. 2. 23. 23:37, (알 수 없음) : ㅡㅠㅡ
2019. 2. 23. 23:37, 빠충 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:38, (알 수 없음) : 지인짜조국혐시발
2019. 2. 23. 23:38, (알 수 없음) : 이모티콘 
2019. 2. 23. 23:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:38, 정우 : ㅁㅊ
2019. 2. 23. 23:38, 정우 : 도랐네
2019. 2. 23. 23:38, 정우 : 근데일베는 뒤져야함
2019. 2. 23. 23:39, (알 수 없음) : 레아류
2019. 2. 23. 23:39, (알 수 없음) : 아니
2019. 2. 23. 23:39, (알 수 없음) : ㅡ원래쓰던말투도
2019. 2. 23. 23:39, (알 수 없음) : 일베땜에못쑴
2019. 2. 23. 23:39, (알 수 없음) : 근데얘네아직도잇냐
2019. 2. 23. 23:39, (알 수 없음) : 좆망한줄
2019. 2. 23. 23:43, 정우 : 살아있는새끼들있겠지 뭐
2019. 2. 23. 23:47, (알 수 없음) : 휴
2019. 2. 23. 23:53, 정우 : 붕싸조지고왔음
2019. 2. 23. 23:53, 정우 : 하
2019. 2. 23. 23:54, 정우 : 다이어트할때 이런거
2019. 2. 23. 23:54, 정우 : 안좋은데
2019. 2. 23. 23:54, 정우 : 붕싸한테짐
2019. 2. 23. 23:54, 정우 : ㅠ
2019. 2. 23. 23:55, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 23. 23:55, (알 수 없음) : 붕싸존맛..
2019. 2. 23. 23:55, (알 수 없음) : 말랑말랑한
2019. 2. 23. 23:55, (알 수 없음) : 찰떡아이스랑
2019. 2. 23. 23:55, (알 수 없음) : 붕싸존맛...
2019. 2. 23. 23:55, (알 수 없음) : 아니
2019. 2. 23. 23:55, (알 수 없음) : 오재훈13명잇을때
2019. 2. 23. 23:55, (알 수 없음) : 관리할수잇는붐
2019. 2. 23. 23:55, (알 수 없음) : 구함
2019. 2. 23. 23:56, 정우 : 아니
2019. 2. 23. 23:56, 정우 : 그런끔찍한일이

2019년 2월 24일 일요일
2019. 2. 24. 00:01, 경민 : ㅌㅋㅋㅋ
2019. 2. 24. 00:01, 경민 : 하
2019. 2. 24. 00:01, 경민 : 이
2019. 2. 24. 00:01, 경민 : 루
2019. 2. 24. 00:02, 정우 : ㅎㅇㅎㅇ
2019. 2. 24. 00:11, 빠충 : 아
2019. 2. 24. 00:11, 빠충 : 무파마
2019. 2. 24. 00:11, 빠충 : 밥 말아 먹고
2019. 2. 24. 00:11, 빠충 : 배앰
2019. 2. 24. 00:12, 빠충 : 이제 모구모구 좀 마시다
2019. 2. 24. 00:12, 빠충 : 일찍 자야지
2019. 2. 24. 00:12, 빠충 : 님들 모구모구 리치맛 드셈
2019. 2. 24. 00:13, 정우 : 모구모구가뭐임
2019. 2. 24. 00:16, 빠충 : 사진
2019. 2. 24. 00:16, 빠충 : 쬐끄만 페트병에 있는데
2019. 2. 24. 00:16, 빠충 : 안에 젤리 들음
2019. 2. 24. 00:17, 빠충 : 조오오오오오온맛
2019. 2. 24. 00:21, 정우 : 오
2019. 2. 24. 00:21, 정우 : 존맛각
2019. 2. 24. 00:31, 정우 : 아
2019. 2. 24. 00:31, 정우 : 한챕터만 다시 훝어보고 누워야지했는데
2019. 2. 24. 00:31, 정우 : 한챕터가 80페이지야 씨바
2019. 2. 24. 00:31, 정우 : 눈으로보는데 한시간걸리네 미친
2019. 2. 24. 00:44, (알 수 없음) : 요새모구모구
2019. 2. 24. 00:44, (알 수 없음) : 존나인기아니냐
2019. 2. 24. 00:44, (알 수 없음) : 80페이지한시간
2019. 2. 24. 00:44, (알 수 없음) : 쥰나빠루네;
2019. 2. 24. 00:44, (알 수 없음) : 임즐
2019. 2. 24. 00:44, (알 수 없음) : 나도
2019. 2. 24. 00:44, (알 수 없음) : 2ㅏ야쥐
2019. 2. 24. 00:45, 빠충 : 나도 일찍 잠
2019. 2. 24. 00:45, 정우 : 나도
2019. 2. 24. 00:45, 빠충 : 내일 일곶시 반 기상이다
2019. 2. 24. 00:45, 정우 : 어미친
2019. 2. 24. 00:45, 정우 : 나도
2019. 2. 24. 00:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 24. 00:46, 빠충 : 인생 화이팅
2019. 2. 24. 00:46, 정우 : 이모티콘 
2019. 2. 24. 00:47, (알 수 없음) : 나ㅡㄴ8시40뷴
2019. 2. 24. 00:47, (알 수 없음) : 낼방
2019. 2. 24. 08:33, 정우 : ㅎㅇ
2019. 2. 24. 08:39, 경민 : ㅎㅇ
2019. 2. 24. 08:42, 빠충 : ㅎㅇ
2019. 2. 24. 08:59, 양우성 : ㅇㅎㅇ
2019. 2. 24. 09:04, 정우 : 이하이
2019. 2. 24. 09:04, 빠충 : 요새 중학교시설 좋내
2019. 2. 24. 09:05, 정우 : 그치
2019. 2. 24. 09:05, 정우 : 나도저번주에
2019. 2. 24. 09:05, 정우 : 확느낌
2019. 2. 24. 09:05, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 24. 09:07, 빠충 : 사람들 다 책 꺼내서 공부해
2019. 2. 24. 09:07, 빠충 : 어떡하지
2019. 2. 24. 09:07, 정우 : ㄱㅊ
2019. 2. 24. 09:07, 정우 : 여유만끽
2019. 2. 24. 09:07, 정우 : 어차피 거기서 형이제일잘봄
2019. 2. 24. 09:08, 빠충 : 난 혼자
2019. 2. 24. 09:08, 빠충 : 유병재 핫팩 흔들고 있는데
2019. 2. 24. 09:08, 빠충 : 뻘쭘하네
2019. 2. 24. 09:08, 정우 : 나는 공부하는사람
2019. 2. 24. 09:09, 정우 : 반정도밖에 없었는데
2019. 2. 24. 09:09, 정우 : ㅋㅋㅋㅋㅋㅋㅋ일찍가서그런거아님?
2019. 2. 24. 09:09, 정우 : 공부하는사람들만 일찍와서 보고있을각
2019. 2. 24. 09:09, 빠충 : 그런가봄
2019. 2. 24. 09:09, 빠충 : 한 여섯명 와 있음
2019. 2. 24. 09:09, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 24. 09:09, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 24. 09:09, 경민 : 빼충이젤잘봄 ㅇㅈㅇㅈ...
2019. 2. 24. 09:09, 정우 : 왜케일찍감 근데
2019. 2. 24. 09:10, 경민 : 빼충나궁금한거
2019. 2. 24. 09:10, 경민 : 잇음
2019. 2. 24. 09:10, 경민 : 오픽같은거도치면
2019. 2. 24. 09:10, 정우 : ㅅ
2019. 2. 24. 09:10, 정우 : ㄱ
2019. 2. 24. 09:10, 경민 : al뜸?
2019. 2. 24. 09:10, 경민 : 가벼움?
2019. 2. 24. 09:10, 경민 : 조밥임?
2019. 2. 24. 09:10, 빠충 : 오픽은 나도 공부 좀 해야될걸?
2019. 2. 24. 09:10, 경민 : ㅇㅎ
2019. 2. 24. 09:10, 빠충 : 오픽 비즈니스 영어 아님?
2019. 2. 24. 09:10, 경민 : 토스는
2019. 2. 24. 09:10, 경민 : 아님
2019. 2. 24. 09:10, 정우 : 오픽
2019. 2. 24. 09:10, 정우 : ㄴㄴ
2019. 2. 24. 09:10, 경민 : 생활영어임
2019. 2. 24. 09:10, 정우 : 일상대화
2019. 2. 24. 09:10, 빠충 : ㅇㅎ
2019. 2. 24. 09:10, 빠충 : 그러면
2019. 2. 24. 09:10, 빠충 : 한번 가까운 시일 내로
2019. 2. 24. 09:10, 정우 : 형 al도 부족할거같은데
2019. 2. 24. 09:10, 빠충 : 쳐봄?
2019. 2. 24. 09:10, 정우 : 비싼오픽 봐야할각
2019. 2. 24. 09:10, 경민 : ㅋㅋㅋㅋㅋㅋ ㄱ
2019. 2. 24. 09:10, 빠충 : 해볼까
2019. 2. 24. 09:11, 빠충 : 휴학하고 영어 공인 시험
2019. 2. 24. 09:11, 정우 : ㄱㄱ
2019. 2. 24. 09:11, 빠충 : 조지고 다녀볼까
2019. 2. 24. 09:11, 경민 : 토스가비지니스아닌가
2019. 2. 24. 09:11, 정우 : 도장깨기ㄱㄱ
2019. 2. 24. 09:11, 정우 : 그럴걸
2019. 2. 24. 09:11, 정우 : 토익도 비즈니스
2019. 2. 24. 09:11, 정우 : 라고 보지않나
2019. 2. 24. 09:11, 빠충 : http://100.daum.net/encyclopedia/view/31XXXXX10818
2019. 2. 24. 09:11, 빠충 : 무엇
2019. 2. 24. 09:11, 빠충 : 40분...?
2019. 2. 24. 09:11, 정우 : ㅇㅇ
2019. 2. 24. 09:11, 경민 : ㅋㅋㅋㅇㅇㅇ
2019. 2. 24. 09:11, 경민 : 저거그리고
2019. 2. 24. 09:11, 빠충 : 아니 이게 뭐임
2019. 2. 24. 09:12, 정우 : 문제당 한 2분씩
2019. 2. 24. 09:12, 경민 : 발음좋으면
2019. 2. 24. 09:12, 빠충 : 이거 볼걸
2019. 2. 24. 09:12, 정우 : 떠들어야함
2019. 2. 24. 09:12, 경민 : 잘준다는
2019. 2. 24. 09:12, 빠충 : 아
2019. 2. 24. 09:12, 경민 : 썰이잇음
2019. 2. 24. 09:12, 빠충 : 말해야됨???
2019. 2. 24. 09:12, 경민 : ㅇㅇㅇㅇ
2019. 2. 24. 09:12, 정우 : 말만함
2019. 2. 24. 09:12, 빠충 : 후우
2019. 2. 24. 09:12, 경민 : 말하기임
2019. 2. 24. 09:12, 정우 : 40분내내
2019. 2. 24. 09:12, 정우 : 말만함
2019. 2. 24. 09:12, 빠충 : 40분 말하기라니
2019. 2. 24. 09:12, 정우 : 존나떠들어야됨
2019. 2. 24. 09:12, 빠충 : 넘나 귀찮은 것
2019. 2. 24. 09:12, 정우 : 나그래서 30분치고
2019. 2. 24. 09:12, 정우 : 걍나옴
2019. 2. 24. 09:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 24. 09:12, 경민 : 여기서
