Talk_2021.8.24 13:11-79.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 20일 수요일
2021. 1. 20. 10:56, 경민 : 10점받고싶누
2021. 1. 21. 22:59, abyss오재 : 니신림
2021. 1. 21. 22:59, abyss오재 : 오누?
2021. 1. 21. 22:59, 부그뷰 : 나 주말 출근할수도있어서 ㅎㅎ
2021. 1. 21. 22:59, 부그뷰 : 모름
2021. 1. 21. 23:00, 부그뷰 : 간잽이모드 발동
2021. 1. 21. 23:00, abyss오재 : 냉닐
2021. 1. 21. 23:00, abyss오재 : 내일
2021. 1. 21. 23:00, abyss오재 : 간잽고
2021. 1. 21. 23:00, abyss오재 : 보자
2021. 1. 21. 23:00, 부그뷰 : ㅅㅂ 갑자기 Led 다른제어방식으로 하는걸로 바꾸라해서
2021. 1. 21. 23:00, abyss오재 : 회사같네
2021. 1. 21. 23:00, 부그뷰 : 오늘 회로도 다시 짜고 다시 납땜하고옴
2021. 1. 21. 23:01, 부그뷰 : 기능구현은해놨는데
2021. 1. 21. 23:01, 부그뷰 : 주말에도 나가야될수있음
2021. 1. 21. 23:01, abyss오재 : 아니
2021. 1. 21. 23:01, 경민 : 사진
2021. 1. 21. 23:01, abyss오재 : 가지마셈
2021. 1. 21. 23:01, abyss오재 : 돈주누?
2021. 1. 21. 23:01, 부그뷰 : 돈당근주지
2021. 1. 21. 23:01, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋ테이아르
2021. 1. 21. 23:01, abyss오재 : ㅁㅊ
2021. 1. 21. 23:01, abyss오재 : 이름
2021. 1. 21. 23:01, abyss오재 : 테이아르
2021. 1. 21. 23:01, abyss오재 : 니 뗴이아르에서
2021. 1. 21. 23:01, abyss오재 : 있었냐고
2021. 1. 21. 23:02, abyss오재 : 하셈
2021. 1. 21. 23:02, abyss오재 : TE관?
2021. 1. 21. 23:02, abyss오재 : kkkkkk
2021. 1. 21. 23:02, 부그뷰 : te관 rgrg
2021. 1. 21. 23:02, 정우 : 아근데나도
2021. 1. 21. 23:02, 정우 : 주말에 할거하긴해야하는데
2021. 1. 21. 23:02, 정우 : 오후에는 각자할일하고
2021. 1. 21. 23:02, 정우 : 또 밤에 술마시자 방잡을거면
2021. 1. 21. 23:02, abyss오재 : 좋음'
2021. 1. 21. 23:02, abyss오재 : 3시에만나서일하자
2021. 1. 21. 23:02, 정우 : ㅇㅇ
2021. 1. 21. 23:02, 정우 : 일해야함ㄹㅇ
2021. 1. 21. 23:02, abyss오재 : 김경민
2021. 1. 21. 23:02, abyss오재 : 3시에 방일단잡아놓으면
2021. 1. 21. 23:02, 정우 : 일은아니지만 할거있다
2021. 1. 21. 23:02, abyss오재 : 올수있?
2021. 1. 21. 23:02, 경민 : 19학번이래
2021. 1. 21. 23:02, abyss오재 : 어린놈의새끼가
2021. 1. 21. 23:02, abyss오재 : ㅁㅊ
2021. 1. 21. 23:02, abyss오재 : 이번에
2021. 1. 21. 23:02, abyss오재 : 오라해
2021. 1. 21. 23:02, 부그뷰 : 브르장머리없이
2021. 1. 21. 23:02, abyss오재 : 짜증나게하지말고
2021. 1. 21. 23:03, 경민 : 경영이래
2021. 1. 21. 23:03, abyss오재 : 아
2021. 1. 21. 23:03, abyss오재 : 경영
2021. 1. 21. 23:03, abyss오재 : 버르장머리없어
2021. 1. 21. 23:03, abyss오재 : 박세광나와봐
2021. 1. 21. 23:04, abyss오재 : 제일버르장머리없어보였따
2021. 1. 21. 23:04, abyss오재 : 어떰
2021. 1. 21. 23:04, 부그뷰 : rgrg
2021. 1. 21. 23:04, 부그뷰 : 자야겠다
2021. 1. 21. 23:04, abyss오재 : 니
2021. 1. 21. 23:04, abyss오재 : 주말에오면
2021. 1. 21. 23:04, abyss오재 : ㅁ라해
2021. 1. 21. 23:04, abyss오재 : 말해~
2021. 1. 21. 23:04, 부그뷰 : ㅇㅋㅇㅋ
2021. 1. 21. 23:04, abyss오재 : 낼방예약해야하니까낼까지정해야해
2021. 1. 21. 23:05, 부그뷰 : 아니근데 신림
2021. 1. 21. 23:05, 부그뷰 : 왜안감
2021. 1. 21. 23:05, 경민 : 군대아직
2021. 1. 21. 23:05, 경민 : 안갓대
2021. 1. 21. 23:05, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:05, 부그뷰 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ침대도있는데
2021. 1. 21. 23:05, 부그뷰 : 애기네 완전
2021. 1. 21. 23:05, abyss오재 : 나두안갓뗭
2021. 1. 21. 23:05, abyss오재 : 애기얌
2021. 1. 21. 23:05, abyss오재 : 사진
2021. 1. 21. 23:05, abyss오재 : 아니 ㅅㅂ 이런데걸리면어캄
2021. 1. 21. 23:06, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜
2021. 1. 21. 23:06, abyss오재 : 식당이젤위험인듯
2021. 1. 21. 23:08, 정우 : 쉽지않네ㄹㅇ
2021. 1. 21. 23:08, abyss오재 : 학교에서몇명안걸려서
2021. 1. 21. 23:08, abyss오재 : 동선다뜨는데
2021. 1. 21. 23:08, abyss오재 : 80%이상이 연구실
2021. 1. 21. 23:08, abyss오재 : 안타까움차라리놀다걸리지
2021. 1. 21. 23:08, 경민 : 말하다가
2021. 1. 21. 23:08, 경민 : 쉬어야겟다고나감
2021. 1. 21. 23:08, 경민 : 나까인거지
2021. 1. 21. 23:09, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:09, abyss오재 : ㅅㅂ
2021. 1. 21. 23:09, abyss오재 : 테이아르
2021. 1. 21. 23:09, abyss오재 : 건방지노
2021. 1. 21. 23:09, 경민 : 그래도친추함
2021. 1. 21. 23:09, abyss오재 : 아이디기억하게좋게생겨가지고
2021. 1. 21. 23:12, abyss오재 : 비오넹
2021. 1. 21. 23:12, abyss오재 : 근데반말함?
2021. 1. 21. 23:12, 경민 : ㄴㄴ
2021. 1. 21. 23:12, 경민 : 놓으라햇는데
2021. 1. 21. 23:12, 경민 : 안ㄴ놓던데
2021. 1. 21. 23:12, abyss오재 : 어디
2021. 1. 21. 23:12, abyss오재 : 놓아
2021. 1. 21. 23:13, 경민 : 왜냐면내가안놔서;
2021. 1. 21. 23:13, abyss오재 : 직장다니면
2021. 1. 21. 23:13, abyss오재 : 말놓기개싫지않누?
2021. 1. 21. 23:13, 경민 : 어색해붤임
2021. 1. 21. 23:13, abyss오재 : 나도연구실애들한테
2021. 1. 21. 23:13, abyss오재 : 말안놓아서
2021. 1. 21. 23:13, abyss오재 : 혼났누
2021. 1. 21. 23:13, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:13, abyss오재 : rgrg
2021. 1. 21. 23:13, abyss오재 : 김겨임
2021. 1. 21. 23:13, abyss오재 : 그거생각해주셈
2021. 1. 21. 23:13, abyss오재 : 3시에방들어가면
2021. 1. 21. 23:13, abyss오재 : ㄱㅊ 안 ㄱㅊ?
2021. 1. 21. 23:13, 경민 : ㅇㅇ?
2021. 1. 21. 23:14, abyss오재 : 니근데결혼식은오디임
2021. 1. 21. 23:14, abyss오재 : 갱넘?
2021. 1. 21. 23:14, 경민 : 그
2021. 1. 21. 23:14, abyss오재 : 여의도?'
2021. 1. 21. 23:14, 경민 : 고터쪽
2021. 1. 21. 23:14, abyss오재 : 명동?
2021. 1. 21. 23:14, abyss오재 : 아
2021. 1. 21. 23:14, abyss오재 : 그럼와서한두시간혼자
2021. 1. 21. 23:14, abyss오재 : 쇼핑돌아다니고
2021. 1. 21. 23:14, abyss오재 : 오기엔
2021. 1. 21. 23:14, abyss오재 : 코로나시국인가
2021. 1. 21. 23:14, abyss오재 : 2시에입실가능한곳으로
2021. 1. 21. 23:14, abyss오재 : 찾으면 ㄱㅊ할거같은뎁
2021. 1. 21. 23:14, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:14, abyss오재 : 뭐하이튼낼까지고민해보셈
2021. 1. 21. 23:14, 경민 : 그러면무족권
2021. 1. 21. 23:14, 경민 : 가야할거같누;?
2021. 1. 21. 23:15, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:15, 경민 : 아니근데
2021. 1. 21. 23:15, 경민 : 거서자는거면
2021. 1. 21. 23:15, 경민 : 잠옷챙겨가야하누/./
2021. 1. 21. 23:15, 정우 : 우리뭐
2021. 1. 21. 23:15, 정우 : 늘 오던대로
2021. 1. 21. 23:16, 정우 : 오면되지
2021. 1. 21. 23:16, 정우 : ^^
2021. 1. 21. 23:16, 경민 : 결혼식이라..
2021. 1. 21. 23:16, 경민 : 차려입눈ㄴ다누
2021. 1. 21. 23:16, 정우 : 그니까 편한거 챙기기
2021. 1. 21. 23:16, 정우 : ㄱㄱ
2021. 1. 21. 23:16, 정우 : 그러고놀순없지
2021. 1. 21. 23:16, 경민 : 챙기면
2021. 1. 21. 23:16, 경민 : 백팩;메고가기도
2021. 1. 21. 23:16, 경민 : 애매하누
2021. 1. 21. 23:16, 정우 : 흠
2021. 1. 21. 23:16, 정우 : 그러면 지하철 물품보관함에
2021. 1. 21. 23:16, 정우 : 맡기면안되나?
2021. 1. 21. 23:18, abyss오재 : 이쁜옷입고와서
2021. 1. 21. 23:18, abyss오재 : 이쁜가방들고와서
2021. 1. 21. 23:18, abyss오재 : 편한옷을산다
2021. 1. 21. 23:18, abyss오재 : 결혼식끝나고
2021. 1. 21. 23:19, abyss오재 : 그리고입고논다
2021. 1. 21. 23:19, abyss오재 : 완벼아니누
2021. 1. 21. 23:19, 경민 : 다들똑똒스해버리누;
2021. 1. 21. 23:19, abyss오재 : 나도짐들고가기싫어서
2021. 1. 21. 23:19, abyss오재 : 하루놀고담날살예정임
2021. 1. 21. 23:19, abyss오재 : 결혼식끝나고사셈
2021. 1. 21. 23:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:20, 경민 : 닉ㄴ,ㄷ[
2021. 1. 21. 23:20, 경민 : 나근데회사갓다오게
2021. 1. 21. 23:20, 정우 : 난 노트북 들고가야할거같으니
2021. 1. 21. 23:20, 경민 : 왜냐면;
2021. 1. 21. 23:20, 정우 : 가방들고가야지
2021. 1. 21. 23:20, 경민 : 에어팟
2021. 1. 21. 23:20, 경민 : 아니
2021. 1. 21. 23:20, 경민 : 아이폰
2021. 1. 21. 23:20, 경민 : 박스
2021. 1. 21. 23:20, 경민 : 가질러 ㅅㅂ;
2021. 1. 21. 23:20, 경민 : 근데회사사물함
2021. 1. 21. 23:20, 경민 : 비번까먹엇어;
2021. 1. 21. 23:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:20, 정우 : ㄱㅊㄱㅊ
2021. 1. 21. 23:20, 정우 : 가면기억남
2021. 1. 21. 23:20, 정우 : 몸이기억함
2021. 1. 21. 23:20, 경민 : 절대안나누디금..
2021. 1. 21. 23:20, abyss오재 : ㄹㅇ몸이기억함
2021. 1. 21. 23:21, 정우 : 술먹고 집가는것처럼
2021. 1. 21. 23:21, 정우 : 몸이기억함
2021. 1. 21. 23:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:21, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:21, 경민 : ㅇㅋㅇㅋ
2021. 1. 21. 23:21, 경민 : 와근데
2021. 1. 21. 23:21, 경민 : 오늘
2021. 1. 21. 23:21, 경민 : 야나오늘
2021. 1. 21. 23:21, 경민 : 모험 하루컷함
2021. 1. 21. 23:21, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:22, 경민 : 몬스터10000마리잡고..
2021. 1. 21. 23:22, 경민 : 보스도 20마리잡고...
2021. 1. 21. 23:22, 경민 : 룬7개까고
2021. 1. 21. 23:22, 경민 : 프리토5번다녀옴
2021. 1. 21. 23:22, abyss오재 : ㅁㅊ
2021. 1. 21. 23:22, abyss오재 : 도라이네진짜
2021. 1. 21. 23:22, 경민 : 3재획함;
2021. 1. 21. 23:22, 경민 : ㅎ
2021. 1. 21. 23:22, abyss오재 : 미쳣다리다
2021. 1. 21. 23:22, 경민 : 1재획만더하면
2021. 1. 21. 23:22, 경민 : 렙업이당
2021. 1. 21. 23:25, abyss오재 : 손목안나갓누
2021. 1. 21. 23:26, 경민 : 허리가나갈거같누
2021. 1. 21. 23:27, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:29, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:29, 정우 : 열심히하네
2021. 1. 21. 23:29, 정우 : 진짜
2021. 1. 21. 23:30, 경민 : 더쎄지고싶다ㅜㄴ;
2021. 1. 21. 23:33, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:33, 원준오빠 : 메생
2021. 1. 21. 23:34, abyss오재 : 형토욜하루종일
2021. 1. 21. 23:34, abyss오재 : 일정잇누
2021. 1. 21. 23:35, abyss오재 : 이모티콘 
2021. 1. 21. 23:35, abyss오재 : 거별일없으면
2021. 1. 21. 23:35, 경민 : 질문ㅇ
2021. 1. 21. 23:35, abyss오재 : 좀들리시지
2021. 1. 21. 23:36, 경민 : 5인
2021. 1. 21. 23:36, abyss오재 : ㄱ
2021. 1. 21. 23:36, 경민 : 끝남?
2021. 1. 21. 23:36, abyss오재 : 안끝남
2021. 1. 21. 23:36, abyss오재 : 4인으롱케약할거임
2021. 1. 21. 23:36, abyss오재 : 우리5인넘음?
2021. 1. 21. 23:40, 원준오빠 : 토욜 ㅇㅋ
2021. 1. 21. 23:40, 원준오빠 : 가자
2021. 1. 21. 23:40, 정우 : 그럼이제 아무도못옴
2021. 1. 21. 23:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:41, 정우 : 5인땡땡땡
2021. 1. 21. 23:43, 원준오빠 : 동미포함임?
2021. 1. 21. 23:43, 원준오빠 : 맞누
2021. 1. 21. 23:44, 정우 : 엥 동민이형세야함?
2021. 1. 21. 23:46, 원준오빠 : 아 아닌가
2021. 1. 21. 23:46, 원준오빠 : ㅋㅎㅋㅎㅋㅁㅎㄹ름
2021. 1. 21. 23:46, 원준오빠 : 아닌가바
2021. 1. 21. 23:48, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:48, 정우 : 지금
2021. 1. 21. 23:48, 정우 : 형나오재경민
2021. 1. 21. 23:49, 정우 : ?
2021. 1. 21. 23:50, abyss오재 : 동민 X
2021. 1. 21. 23:50, abyss오재 : 경보올지말지내일
2021. 1. 21. 23:50, abyss오재 : 경민올지말지 내일
2021. 1. 21. 23:50, abyss오재 : 오지마나랑정우랑놀거임
2021. 1. 21. 23:50, abyss오재 : 카인할거임
2021. 1. 21. 23:50, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅎㅋ ;
2021. 1. 21. 23:51, abyss오재 : 엘론머스크
2021. 1. 21. 23:51, abyss오재 : 개
2021. 1. 21. 23:51, abyss오재 : 좋겟다
2021. 1. 21. 23:51, abyss오재 : 세계1위부자린
2021. 1. 21. 23:52, 정우 : 부럽다
2021. 1. 21. 23:52, 정우 : 나도그거해보고싶다
2021. 1. 21. 23:52, abyss오재 : 나도;;
2021. 1. 21. 23:52, abyss오재 : 80억분의1
2021. 1. 21. 23:53, 원준오빠 : ㅇ?ㅇ
2021. 1. 21. 23:53, 원준오빠 : 몬파 츄츄 맵 바꼈네
2021. 1. 21. 23:57, 경민 : 3재획끝...............힘들어
2021. 1. 21. 23:57, 경민 : 이거 레헬른 생기면서 바뀜
2021. 1. 21. 23:57, 원준오빠 : 고생햌ㅅ으
2021. 1. 21. 23:57, 경민 : ㄳㄳ
2021. 1. 21. 23:57, 경민 : 내일
2021. 1. 21. 23:57, 경민 : 1재획만하면
2021. 1. 21. 23:58, 경민 : 245
2021. 1. 21. 23:58, 경민 : 땅땅땅
2021. 1. 21. 23:58, abyss오재 : 12시되면
2021. 1. 21. 23:58, abyss오재 : 바로히어로즈m해야함
2021. 1. 21. 23:58, 경민 : ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 21. 23:58, abyss오재 : 폭풍성장의비
2021. 1. 21. 23:58, 경민 : 나그거
2021. 1. 21. 23:58, abyss오재 : 먹어야해 ㅅㅂ
2021. 1. 21. 23:58, 경민 : 안함...
2021. 1. 21. 23:58, 경민 : 귀찬아...
2021. 1. 21. 23:58, abyss오재 : 아직 2천밖에못모았어
2021. 1. 21. 23:58, 경민 : 그래서
2021. 1. 21. 23:58, 경민 : 렙업이
2021. 1. 21. 23:58, 경민 : 느린가봐
2021. 1. 21. 23:58, 경민 : ㅎㅎ;
2021. 1. 21. 23:58, 경민 : 지금 134
2021. 1. 21. 23:58, abyss오재 : 아니
2021. 1. 21. 23:58, abyss오재 : 125부터는
2021. 1. 21. 23:58, abyss오재 : 3시간해도안오르던데
2021. 1. 21. 23:59, abyss오재 : 125부터이렇게렙업힘들게만들면어케함
2021. 1. 21. 23:59, 경민 : 계속죽는게
2021. 1. 21. 23:59, 경민 : 문제라누
2021. 1. 21. 23:59, 경민 : ㄹㅇ;
2021. 1. 21. 23:59, abyss오재 : 넥슨대가리개뿌숴어ㅑ해
2021. 1. 21. 23:59, 경민 : ㅅㅂ족같은
2021. 1. 21. 23:59, 경민 : 새기들
2021. 1. 21. 23:59, abyss오재 : ㅅㅂ진짜
2021. 1. 21. 23:59, 경민 : 이루시
2021. 1. 21. 23:59, 경민 : 깨고잘까흠

2021년 1월 22일 금요일
2021. 1. 22. 00:04, 원준오빠 : 폭성비 ㅁ거는다
2021. 1. 22. 00:04, 원준오빠 : 먹는다@
2021. 1. 22. 00:05, 경민 : 얼마오름
2021. 1. 22. 00:05, abyss오재 : 형벌써4천모음?
2021. 1. 22. 00:05, abyss오재 : 아나 1천
2021. 1. 22. 00:05, abyss오재 : 이상한데씀
2021. 1. 22. 00:05, abyss오재 : 씨발
2021. 1. 22. 00:05, 원준오빠 : 사실 아직 안먹음
2021. 1. 22. 00:05, abyss오재 : 2천쓰면캐릭터열린다길래
2021. 1. 22. 00:05, abyss오재 : 거기에눈멀어서
2021. 1. 22. 00:05, 원준오빠 : 나 3천얼마있음
2021. 1. 22. 00:05, abyss오재 : 빨리쓸려다가
2021. 1. 22. 00:05, abyss오재 : 이게
2021. 1. 22. 00:05, abyss오재 : 눈먼자식이지
2021. 1. 22. 00:05, abyss오재 : ㅅㅂ
2021. 1. 22. 00:05, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 00:05, abyss오재 : 그래서그이후로모으고있는중
2021. 1. 22. 00:09, 원준오빠 : 히어로즈M을 해보까
2021. 1. 22. 00:12, abyss오재 : 대머리M
2021. 1. 22. 00:13, 원준오빠 : 왜요
2021. 1. 22. 00:15, 원준오빠 : 아 탈모
2021. 1. 22. 00:15, 원준오빠 : 엠자
2021. 1. 22. 00:19, 원준오빠 : 3825개다
2021. 1. 22. 00:20, 원준오빠 : 히메ㅔㅁ 대전하실??
2021. 1. 22. 00:32, 경민 : 무릉ㅇ
2021. 1. 22. 00:32, 경민 : 47층
2021. 1. 22. 00:32, 경민 : 깼따
2021. 1. 22. 00:32, 경민 : 후후후
2021. 1. 22. 00:37, 원준오빠 : 오
2021. 1. 22. 00:37, 원준오빠 : 대박
2021. 1. 22. 00:37, 원준오빠 : ㅊㅋㅊㅋ
2021. 1. 22. 00:37, 원준오빠 : 폭성비 렙 1정도 오르는듯
2021. 1. 22. 00:38, abyss오재 : 아미친비존나오내
2021. 1. 22. 00:38, abyss오재 : ㅅㅂ우산챙겨가기싫은데
2021. 1. 22. 00:38, abyss오재 : 폭성비이름바꾸라해
2021. 1. 22. 00:38, abyss오재 : 좆성비로
2021. 1. 22. 00:38, abyss오재 : ㅅㅂ
2021. 1. 22. 00:38, abyss오재 : 나는 훈련소갓다오면
2021. 1. 22. 00:38, abyss오재 : 대가리부터심어야지
2021. 1. 22. 00:39, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 00:40, 원준오빠 : 돈내고 심게?
2021. 1. 22. 00:58, 경민 : 이제자야지...
2021. 1. 22. 00:58, 경민 : 오늘도한시군...
2021. 1. 22. 00:59, abyss오재 : 당연하지
2021. 1. 22. 00:59, abyss오재 : 심을라고돈모으는중인데
2021. 1. 22. 00:59, abyss오재 : 대가리존나엠자
2021. 1. 22. 00:59, abyss오재 : 대엠이다
2021. 1. 22. 00:59, abyss오재 : Damn
2021. 1. 22. 01:25, abyss오재 : 정동민
2021. 1. 22. 01:25, abyss오재 : 미며들엇음
2021. 1. 22. 01:25, abyss오재 : 인정안하는단계왓다
2021. 1. 22. 01:25, abyss오재 : 짜증난대
2021. 1. 22. 01:25, abyss오재 : 앙보고싶은데귀여워서
2021. 1. 22. 01:25, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 01:26, 원준오빠 : 미며??
2021. 1. 22. 01:26, 원준오빠 : 미며는 뭐임또
2021. 1. 22. 01:27, 경민 : 미노이
2021. 1. 22. 01:30, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 01:31, 원준오빠 : 갸윳가내
2021. 1. 22. 01:33, abyss오재 : ㅠㅠ
2021. 1. 22. 01:33, abyss오재 : 준며들고미며들름
2021. 1. 22. 01:33, abyss오재 : 며드는거개잘해
2021. 1. 22. 01:35, abyss오재 : 샵검색: #어떡해
2021. 1. 22. 01:35, abyss오재 : 이거너무좋아 ㅁㅊ
2021. 1. 22. 01:36, abyss오재 : ㅠ
2021. 1. 22. 01:55, abyss오재 : 간만에15&노래듣는데
2021. 1. 22. 01:55, abyss오재 : 둘다존나잘해 진짜 미친
2021. 1. 22. 01:57, abyss오재 : https://www.youtube.com/watch?v=yAyYNVs6mgM
2021. 1. 22. 01:58, abyss오재 : rain & cry 개썅명곡인데
2021. 1. 22. 01:58, abyss오재 : 어디갔누,,,
2021. 1. 22. 01:59, abyss오재 : 미쳤다얘네둘이어케그룹했었지 존나잘해 ;;;;; 둘이성격만맞았으면
2021. 1. 22. 01:59, abyss오재 : 개조졌을듯;;;;
2021. 1. 22. 02:02, abyss오재 : https://www.youtube.com/watch?v=a_sFlgTnubg
2021. 1. 22. 02:02, abyss오재 : ㅜ
2021. 1. 22. 02:09, abyss오재 : 피프틴앤드개명곡존많1집밖에업쥐만……….하쒸
2021. 1. 22. 02:10, abyss오재 : 이모티콘 
2021. 1. 22. 02:13, abyss오재 : https://www.youtube.com/watch?v=EVDSjF9GQng
2021. 1. 22. 02:13, abyss오재 : 이로케프러블럼도불렀엇는데,,,,
2021. 1. 22. 02:14, abyss오재 : 이모티콘 
2021. 1. 22. 03:33, abyss오재 : 원주니형도
2021. 1. 22. 03:33, abyss오재 : 올해
2021. 1. 22. 03:33, abyss오재 : 서른즈음에한번불러줘야하는거아니냐누
2021. 1. 22. 03:33, abyss오재 : 일년준비해야지나도
2021. 1. 22. 03:33, abyss오재 : 내년내내부를려면
2021. 1. 22. 06:17, 부그뷰 : ㅎㅇ
2021. 1. 22. 08:31, 원준오빠 : 불러재꺄드림
2021. 1. 22. 08:34, 정우 : ㅎㅇㅎㅇ
2021. 1. 22. 08:55, abyss오재 : 망햇에
2021. 1. 22. 09:18, abyss오재 : ㅎㅇ
2021. 1. 22. 09:40, abyss오재 : ㅁㅊ
2021. 1. 22. 09:41, abyss오재 : 샵검색: #판교 밸리자이
2021. 1. 22. 09:43, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 09:43, 경민 : 분양끝낫누
2021. 1. 22. 09:43, 경민 : ㅠㅡㅠ나도청약너을래
2021. 1. 22. 09:50, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 09:50, abyss오재 : 아컴터존나안켜져킹받네,,,,
2021. 1. 22. 09:51, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 09:51, 정우 : 킹받지말라누
2021. 1. 22. 09:51, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 09:52, abyss오재 : ㅇㅋㅇㅋ...
2021. 1. 22. 09:58, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 09:58, 정우 : 휴 오늘도 머나먼출근완료
2021. 1. 22. 09:58, 경민 : ㅊㅋㅊㅋ
2021. 1. 22. 09:59, 정우 : ㄱㅅㄱㅅ
2021. 1. 22. 10:07, abyss오재 : 기상청 프로젝트 존나커
2021. 1. 22. 10:07, abyss오재 : 4년동안 24억;
2021. 1. 22. 10:07, abyss오재 : ㅅㅂ
2021. 1. 22. 10:07, abyss오재 : 안큰건가
2021. 1. 22. 10:07, abyss오재 : 감이안잡히누?
2021. 1. 22. 10:07, abyss오재 : 아
2021. 1. 22. 10:07, abyss오재 : 퇴근하고싶누 ㅠ;
2021. 1. 22. 10:07, 정우 : 큰건가?
2021. 1. 22. 10:08, 정우 : 나 지금하는거 1년도 안되는데 20억짜린데;;;
2021. 1. 22. 10:09, 정우 : 물론 회사가 많이껴있긴하지만
2021. 1. 22. 10:09, abyss오재 : 모르겟누?
2021. 1. 22. 10:09, 정우 : 누가 기상청가서 일해보고 말해줘봐라
2021. 1. 22. 10:09, 정우 : 예를들면
2021. 1. 22. 10:09, 정우 : 오재훈
2021. 1. 22. 10:09, 정우 : 오재훈
2021. 1. 22. 10:09, 정우 : 오재훈
2021. 1. 22. 10:09, 정우 : 오재훈
2021. 1. 22. 10:09, abyss오재 : 연구실에
2021. 1. 22. 10:09, abyss오재 : 1년에
2021. 1. 22. 10:09, abyss오재 : 6억 꽂힌다하면
2021. 1. 22. 10:09, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 1. 22. 10:09, abyss오재 : 연구실사람이 20명이라고해도
2021. 1. 22. 10:09, abyss오재 : 인력값얼마야
2021. 1. 22. 10:09, abyss오재 : 1명당 1년 2천잡아도
2021. 1. 22. 10:09, abyss오재 : 4억
2021. 1. 22. 10:09, abyss오재 : 2억이남네
