Talk_2021.8.24 13:11-70.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 27일 수요일
2020. 5. 27. 13:22, 빠충 : 니 뭐했는데 이래 물렸냐
2020. 5. 30. 21:40, 원준오빠 : 나 강등당했어
2020. 5. 30. 21:40, (알 수 없음) : 그거이있음
2020. 5. 30. 21:40, (알 수 없음) : 다이어트의지는없거든?
2020. 5. 30. 21:40, (알 수 없음) : 살이걍빠졋음
2020. 5. 30. 21:40, (알 수 없음) : 좋겟어;
2020. 5. 30. 21:40, (알 수 없음) : ㅅㅂ
2020. 5. 30. 21:40, 원준오빠 : 라하
2020. 5. 30. 21:40, 원준오빠 : 아하
2020. 5. 30. 21:40, (알 수 없음) : 뭔지알겟지;
2020. 5. 30. 21:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:40, 원준오빠 : 도둑놈이내
2020. 5. 30. 21:40, (알 수 없음) : 약간그렇게생김
2020. 5. 30. 21:40, 정우 : 나 교육시작하고
2020. 5. 30. 21:41, 정우 : 2키로빠짐
2020. 5. 30. 21:41, (알 수 없음) : 직이네;;
2020. 5. 30. 21:41, 정우 : ;;;
2020. 5. 30. 21:41, (알 수 없음) : 기초대사량 바꾸자
2020. 5. 30. 21:41, 원준오빠 : 다들 힘내고
2020. 5. 30. 21:41, 정우 : 2달동안빠진거
2020. 5. 30. 21:41, 정우 : 1주일만에 찌우는거
2020. 5. 30. 21:41, 정우 : 보여준다 다음주에
2020. 5. 30. 21:41, 원준오빠 : 쌉가능
2020. 5. 30. 21:41, 정우 : ㄹㅇ쌉가능
2020. 5. 30. 21:41, 원준오빠 : 나 3키로 플렉스했자나
2020. 5. 30. 21:41, 원준오빠 : 일주일에
2020. 5. 30. 21:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:41, 정우 : 플렉스했네
2020. 5. 30. 21:41, 정우 : ㄹㅇ
2020. 5. 30. 21:41, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:41, (알 수 없음) : ㅡㅡ
2020. 5. 30. 21:41, (알 수 없음) : 나랑놀자
2020. 5. 30. 21:41, (알 수 없음) : ㅠ
2020. 5. 30. 21:42, 원준오빠 : 들어와 ㅠ
2020. 5. 30. 21:42, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:45, (알 수 없음) : gkrrydi
2020. 5. 30. 21:45, (알 수 없음) : 학
2020. 5. 30. 21:45, (알 수 없음) : 교
2020. 5. 30. 21:45, (알 수 없음) : 야
2020. 5. 30. 21:45, (알 수 없음) : ㅠ
2020. 5. 30. 21:45, (알 수 없음) : 쉽박랱ㅇ;
2020. 5. 30. 21:47, 원준오빠 : 쉡벅렉
2020. 5. 30. 21:47, 원준오빠 : 개쩌넵 ㅠ
2020. 5. 30. 21:47, 원준오빠 : 오재훕
2020. 5. 30. 21:47, 원준오빠 : 흅훕륮
2020. 5. 30. 21:48, (알 수 없음) : 오늘은
2020. 5. 30. 21:48, (알 수 없음) : 무슨일이있어도
2020. 5. 30. 21:48, (알 수 없음) : 12시에술먹고
2020. 5. 30. 21:48, (알 수 없음) : 1시30분에
2020. 5. 30. 21:48, (알 수 없음) : 헤어지기로함
2020. 5. 30. 21:48, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:50, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:50, 정우 : 나는
2020. 5. 30. 21:50, 정우 : 열한시까지 딱 공부하고
2020. 5. 30. 21:50, 정우 : 잔다
2020. 5. 30. 21:54, (알 수 없음) : 몇시셤
2020. 5. 30. 21:54, 정우 : 10시
2020. 5. 30. 21:55, 정우 : 9시반까지입실
2020. 5. 30. 21:55, 정우 : 근데 9시까지갈예정
2020. 5. 30. 21:55, 정우 : 8시쯤 여유롭게 출발예정
2020. 5. 30. 21:56, (알 수 없음) : 성실하네
2020. 5. 30. 21:57, (알 수 없음) : 석대님이
2020. 5. 30. 21:57, (알 수 없음) : 아니
2020. 5. 30. 21:57, (알 수 없음) : 석대님한테
2020. 5. 30. 21:57, (알 수 없음) : 이정우가 형님으로 잘모신다고
2020. 5. 30. 21:57, (알 수 없음) : 좀배우라고그랫거든
2020. 5. 30. 21:57, (알 수 없음) : 근데
2020. 5. 30. 21:57, (알 수 없음) : 이씨라고
2020. 5. 30. 21:57, 정우 : ㅇㅇ
2020. 5. 30. 21:57, (알 수 없음) : 좋아함
2020. 5. 30. 21:57, (알 수 없음) : 일산에도 살았다고 알려줫는데
2020. 5. 30. 21:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:57, (알 수 없음) : 좋아함
2020. 5. 30. 21:57, (알 수 없음) : ;
2020. 5. 30. 21:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:57, 정우 : 개웃기네
2020. 5. 30. 21:57, 정우 : 석대님
2020. 5. 30. 21:57, 정우 : 조만간
2020. 5. 30. 21:57, 정우 : 한잔하자고
2020. 5. 30. 21:57, 정우 : 전해주셈
2020. 5. 30. 21:57, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:57, 정우 : 코로나좀진정되고
2020. 5. 30. 21:57, (알 수 없음) : 개웃기네
2020. 5. 30. 21:57, (알 수 없음) : ㅅㅂ
2020. 5. 30. 21:57, (알 수 없음) : 니 뭐
2020. 5. 30. 21:57, 정우 : 나도 틈보이면
2020. 5. 30. 21:57, (알 수 없음) : 내지인마스터누?
2020. 5. 30. 21:57, 정우 : 한번간다고
2020. 5. 30. 21:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:58, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:58, 정우 : 나좋다는사람
2020. 5. 30. 21:58, 정우 : 한잔해야지 또
2020. 5. 30. 21:58, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 21:58, (알 수 없음) : 아
2020. 5. 30. 21:58, (알 수 없음) : 그래서그런게아니엇군
2020. 5. 30. 21:58, (알 수 없음) : 사진
2020. 5. 30. 21:59, (알 수 없음) : 컴퓨터 핥리고있었어
2020. 5. 30. 21:59, (알 수 없음) : 핥리고 있엇어;?
2020. 5. 30. 21:59, (알 수 없음) : 이게 대체 무슨말이야
2020. 5. 30. 21:59, 정우 : ?
2020. 5. 30. 21:59, 정우 : ?
2020. 5. 30. 21:59, 정우 : 좋아하는게아닌데
2020. 5. 30. 21:59, 정우 : 싸우자는거아님?
2020. 5. 30. 22:00, (알 수 없음) : 사진
2020. 5. 30. 22:00, (알 수 없음) : 미안
2020. 5. 30. 22:00, (알 수 없음) : 이걸보여줬어야했네
2020. 5. 30. 22:00, 정우 : 아
2020. 5. 30. 22:00, 정우 : ㅇㅋ
2020. 5. 30. 22:00, 정우 : 니 중요한거
2020. 5. 30. 22:00, 정우 : 빼먹네
2020. 5. 30. 22:00, 정우 : 오해하게만드누
2020. 5. 30. 22:00, (알 수 없음) : 그렇누
2020. 5. 30. 22:00, (알 수 없음) : 이게왜곡이누;
2020. 5. 30. 22:00, (알 수 없음) : 왜곡의창이라고
2020. 5. 30. 22:00, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:00, (알 수 없음) : 들어봤누?
2020. 5. 30. 22:00, (알 수 없음) : 내스크린샷이누
2020. 5. 30. 22:00, 정우 : 잘하누;;;;
2020. 5. 30. 22:00, 정우 : 앞뒤짤라먹누
2020. 5. 30. 22:01, 부그뷰 : 사진
2020. 5. 30. 22:01, 부그뷰 : 나으의 의지다
2020. 5. 30. 22:01, 원준오빠 : 진짜진짜 구라
2020. 5. 30. 22:01, 부그뷰 : 내기 ㄱ?
2020. 5. 30. 22:01, 정우 : 내일 술마실
2020. 5. 30. 22:01, 정우 : 경보형구함
2020. 5. 30. 22:01, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:01, 정우 : 점심
2020. 5. 30. 22:01, 정우 : ㄱㄱ
2020. 5. 30. 22:01, 부그뷰 : 낼 헬스할건데
2020. 5. 30. 22:01, 정우 : 점맥
2020. 5. 30. 22:01, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:01, 원준오빠 : 무리하지마
2020. 5. 30. 22:01, 정우 : 낮맥
2020. 5. 30. 22:01, 경민 : ㄱㄱㄱㄱㄱㄱ
2020. 5. 30. 22:02, 부그뷰 : 낮맥안마심
2020. 5. 30. 22:02, 부그뷰 : 금주함
2020. 5. 30. 22:02, 원준오빠 : 경보 아직
2020. 5. 30. 22:02, 부그뷰 : 처단한다
2020. 5. 30. 22:02, 원준오빠 : 금주 경험이 부족해서
2020. 5. 30. 22:02, 부그뷰 : 넥슬라이스 간다
2020. 5. 30. 22:02, 정우 : 내일이면 달력에서 다음주임
2020. 5. 30. 22:02, 원준오빠 : ㅎㅎ
2020. 5. 30. 22:02, 정우 : 금주끝남
2020. 5. 30. 22:04, (알 수 없음) : ㅎ;
2020. 5. 30. 22:04, (알 수 없음) : 술안먹는다고하고
2020. 5. 30. 22:04, (알 수 없음) : 안먹는사람
2020. 5. 30. 22:04, (알 수 없음) : 본적이없음
2020. 5. 30. 22:04, (알 수 없음) : 그래서
2020. 5. 30. 22:05, (알 수 없음) : 나는먹음
2020. 5. 30. 22:05, (알 수 없음) : ?
2020. 5. 30. 22:05, (알 수 없음) : 어떰
2020. 5. 30. 22:05, 정우 : 굿
2020. 5. 30. 22:05, (알 수 없음) : 2시간밖에안남았누
2020. 5. 30. 22:06, 정우 : 부럽누
2020. 5. 30. 22:06, 정우 : 아니그래서 내일진짜 낮맥
2020. 5. 30. 22:06, 정우 : 조질사람없나
2020. 5. 30. 22:06, 정우 : 그럼 얌전히 집가야하는데
2020. 5. 30. 22:06, 정우 : 쩝쩝
2020. 5. 30. 22:07, (알 수 없음) : mm
2020. 5. 30. 22:07, (알 수 없음) : 시발
2020. 5. 30. 22:07, (알 수 없음) : 빨리
2020. 5. 30. 22:07, (알 수 없음) : 대전왓[ㅁ
2020. 5. 30. 22:07, (알 수 없음) : 박력어떘누;;?
2020. 5. 30. 22:09, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:09, 정우 : 지리누
2020. 5. 30. 22:10, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:10, (알 수 없음) : 아 정신이또나가기시작하누!
2020. 5. 30. 22:11, 원준오빠 : 오타만 없었으면
2020. 5. 30. 22:11, 원준오빠 : 박력남쳤을텐데
2020. 5. 30. 22:12, 원준오빠 : 70점 드립니다
2020. 5. 30. 22:13, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:14, (알 수 없음) : 아
2020. 5. 30. 22:14, (알 수 없음) : 집중력바닥췸
2020. 5. 30. 22:16, 부그뷰 : 안대안대
2020. 5. 30. 22:16, 부그뷰 : 바닥치면 안대
2020. 5. 30. 22:16, 정우 : 바닥바닥
2020. 5. 30. 22:17, (알 수 없음) : 이모티콘 
2020. 5. 30. 22:17, (알 수 없음) : 정우야
2020. 5. 30. 22:17, (알 수 없음) : 오늘문풀은
2020. 5. 30. 22:17, (알 수 없음) : 합격선이니
2020. 5. 30. 22:17, (알 수 없음) : 안합격선이니
2020. 5. 30. 22:17, 정우 : 합격선이었지
2020. 5. 30. 22:17, 정우 : 그래서오늘공부안함
2020. 5. 30. 22:17, 정우 : ㅎ
2020. 5. 30. 22:17, 부그뷰 : 견선이냐
2020. 5. 30. 22:17, (알 수 없음) : 구웃
2020. 5. 30. 22:17, 부그뷰 : 격선이냐!
2020. 5. 30. 22:18, 정우 : 격선임
2020. 5. 30. 22:18, 부그뷰 : ㅇㅋㅇㅋ
2020. 5. 30. 22:18, 정우 : 제일최근꺼 풀었는데
2020. 5. 30. 22:18, (알 수 없음) : 적당히혀
2020. 5. 30. 22:18, 정우 : 여태까지중에 제일잘풀었다
2020. 5. 30. 22:18, (알 수 없음) : ~
2020. 5. 30. 22:18, 부그뷰 : 금주한다
2020. 5. 30. 22:18, 부그뷰 : 말리지마라
2020. 5. 30. 22:18, 정우 : 이러고 이제 내일 떨어지면
2020. 5. 30. 22:18, 정우 : 레전드
2020. 5. 30. 22:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:18, 정우 : 시발 내일 못본거같으면
2020. 5. 30. 22:18, 정우 : 술사들고 신림으로 직접 걸어들어간다
2020. 5. 30. 22:18, 부그뷰 : 안대안대
2020. 5. 30. 22:18, 정우 : 경보형 보는앞에서 술마심
2020. 5. 30. 22:18, (알 수 없음) : 좋와~~~~~~
2020. 5. 30. 22:18, 정우 : 뭐가좋아
2020. 5. 30. 22:18, 정우 : ㅅㅂ
2020. 5. 30. 22:19, 정우 : 시험못봤다는건데
2020. 5. 30. 22:19, (알 수 없음) : 술마시는거
2020. 5. 30. 22:19, 정우 : 새끼야
2020. 5. 30. 22:19, 원준오빠 : 경보도
2020. 5. 30. 22:19, 원준오빠 : 한 3년 지나면
2020. 5. 30. 22:19, 정우 : 시비걸기어떰
2020. 5. 30. 22:19, 원준오빠 : 깨우칠거야
2020. 5. 30. 22:19, (알 수 없음) : ㄱㅊ
2020. 5. 30. 22:19, (알 수 없음) : 경보근데
2020. 5. 30. 22:19, 원준오빠 : 우리가 금주에 성공을 할거라면
2020. 5. 30. 22:19, (알 수 없음) : 언제술꾼다됐누;
2020. 5. 30. 22:19, (알 수 없음) : ?
2020. 5. 30. 22:19, (알 수 없음) : 갑자기눈떠보니술꾼이었누?
2020. 5. 30. 22:19, 원준오빠 : 진작에 우린 다른 쪽으로라도 이미 성공을했을거란걸
2020. 5. 30. 22:19, (알 수 없음) : 군인마지막쯤됐을때즘에
2020. 5. 30. 22:19, (알 수 없음) : 술꾼
2020. 5. 30. 22:19, (알 수 없음) : 스알짝
2020. 5. 30. 22:20, (알 수 없음) : 됐던거같은데
2020. 5. 30. 22:20, (알 수 없음) : 맨날
2020. 5. 30. 22:20, (알 수 없음) : 막걸리올리고
2020. 5. 30. 22:20, (알 수 없음) : 맞나
2020. 5. 30. 22:20, 원준오빠 : 맞다
2020. 5. 30. 22:20, 원준오빠 : 그때다
2020. 5. 30. 22:20, 원준오빠 : 막걸리수련
2020. 5. 30. 22:20, (알 수 없음) : ㅅㅂ
2020. 5. 30. 22:20, (알 수 없음) : 그때
2020. 5. 30. 22:20, (알 수 없음) : 형도
2020. 5. 30. 22:20, (알 수 없음) : 트레이닝한다고
2020. 5. 30. 22:20, (알 수 없음) : 소주먹었잖아
2020. 5. 30. 22:20, (알 수 없음) : ㅅㅂ
2020. 5. 30. 22:20, (알 수 없음) : 생각낫다
2020. 5. 30. 22:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:20, (알 수 없음) : 나도먹고
2020. 5. 30. 22:20, (알 수 없음) : ㅅㅂ;
2020. 5. 30. 22:20, (알 수 없음) : ㅅㅂ
2020. 5. 30. 22:20, 원준오빠 : ㅎㅎ
2020. 5. 30. 22:20, (알 수 없음) : 완전 도라이들이죠?
2020. 5. 30. 22:20, (알 수 없음) : ㅎ
2020. 5. 30. 22:20, 원준오빠 : 금주보다
2020. 5. 30. 22:20, 원준오빠 : 트레이닝이 더
2020. 5. 30. 22:20, 원준오빠 : 성공확률
2020. 5. 30. 22:20, 원준오빠 : 높지않으까
2020. 5. 30. 22:20, (알 수 없음) : ㅇㅈ;
2020. 5. 30. 22:20, (알 수 없음) : 나
2020. 5. 30. 22:20, (알 수 없음) : 끝나면
2020. 5. 30. 22:20, (알 수 없음) : 당분간
2020. 5. 30. 22:21, (알 수 없음) : 집에서
2020. 5. 30. 22:21, 원준오빠 : 어떰
2020. 5. 30. 22:21, (알 수 없음) : 술트만함
2020. 5. 30. 22:21, (알 수 없음) : ㅅㅂ
2020. 5. 30. 22:21, 원준오빠 : ㅁㅊ
2020. 5. 30. 22:21, 원준오빠 : ㄱ
2020. 5. 30. 22:21, (알 수 없음) : 좆같음
2020. 5. 30. 22:21, 원준오빠 : 너 가면
2020. 5. 30. 22:21, 원준오빠 : 동미 내까 키움
2020. 5. 30. 22:21, (알 수 없음) : 술먹으면서 + 롤체만함
2020. 5. 30. 22:21, 원준오빠 : ㅇㅋ
2020. 5. 30. 22:21, 정우 : 아니
2020. 5. 30. 22:21, 정우 : 기출문제풀던거
2020. 5. 30. 22:21, 정우 : 좆같았던 이유를 알았음 오늘
2020. 5. 30. 22:21, (알 수 없음) : ㄱ
2020. 5. 30. 22:21, 정우 : 저자가 시험응시 후 100프로 복원한 문제래
2020. 5. 30. 22:21, 정우 : 씨발
2020. 5. 30. 22:21, 정우 : 어쩐지 개같은게
2020. 5. 30. 22:21, 정우 : 존나넘쳐나더라
2020. 5. 30. 22:21, 정우 : 개같은.........
2020. 5. 30. 22:22, (알 수 없음) : 아
2020. 5. 30. 22:23, (알 수 없음) : 머리속에
2020. 5. 30. 22:23, (알 수 없음) : 기계달고가서
2020. 5. 30. 22:23, (알 수 없음) : 그대로가져가고나오는구나
2020. 5. 30. 22:23, 정우 : ㅅㅂ진짜
2020. 5. 30. 22:23, 정우 : 어후
2020. 5. 30. 22:23, (알 수 없음) : 근데
2020. 5. 30. 22:23, (알 수 없음) : 토익도그러지않음?
2020. 5. 30. 22:23, (알 수 없음) : 센세들
2020. 5. 30. 22:23, (알 수 없음) : 다들머리속에기계달고
2020. 5. 30. 22:23, (알 수 없음) : 문제외우러가잖아
2020. 5. 30. 22:23, (알 수 없음) : 그건수가많고
2020. 5. 30. 22:23, (알 수 없음) : 이건수가없지
2020. 5. 30. 22:23, (알 수 없음) : 사진
2020. 5. 30. 22:23, (알 수 없음) : 세레모니나보셈
2020. 5. 30. 22:24, 정우 : 개같누.
2020. 5. 30. 22:24, (알 수 없음) : 이거뭔짤인줄앎?
2020. 5. 30. 22:24, 정우 : 개같누.........리얼
2020. 5. 30. 22:24, 정우 : 모름
2020. 5. 30. 22:24, 정우 : 뭔데
2020. 5. 30. 22:24, (알 수 없음) : 이거 프린팅으로 따라하는거
2020. 5. 30. 22:24, (알 수 없음) : 사진
2020. 5. 30. 22:24, (알 수 없음) : ㅎ;
2020. 5. 30. 22:24, (알 수 없음) : 들어감
2020. 5. 30. 22:25, 정우 : 아 저건알지
2020. 5. 30. 22:25, 정우 : 무슨상황인지 아냐고 하는줄
2020. 5. 30. 22:26, (알 수 없음) : 하스스톤
2020. 5. 30. 22:26, (알 수 없음) : 세레모니래
2020. 5. 30. 22:27, 정우 : ㅇㅎ
2020. 5. 30. 22:31, (알 수 없음) : 이정우
2020. 5. 30. 22:31, (알 수 없음) : 벽제중앎
2020. 5. 30. 22:31, 정우 : ㅇㅇ
2020. 5. 30. 22:31, 정우 : 우리 고등학교에
2020. 5. 30. 22:31, 정우 : 붙어있는중학교
2020. 5. 30. 22:31, 정우 : 같은재단
2020. 5. 30. 22:31, 정우 : 지금 이름 바꼈을걸
2020. 5. 30. 22:32, 정우 : 고양제일중인가로
2020. 5. 30. 22:32, 원준오빠 : 역시
2020. 5. 30. 22:32, 원준오빠 : 고양이가 제일이군
2020. 5. 30. 22:32, 정우 : 고양이 짱이지
2020. 5. 30. 22:32, 정우 : 고양시 돌아오셈
2020. 5. 30. 22:32, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:33, 원준오빠 : 으어
2020. 5. 30. 22:33, 원준오빠 : 미안
2020. 5. 30. 22:33, 원준오빠 : 한시간 이동
2020. 5. 30. 22:33, 원준오빠 : 못해
2020. 5. 30. 22:33, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:33, (알 수 없음) : 벽제중개쎄냐
2020. 5. 30. 22:33, 정우 : ㅆㅇㅈ
2020. 5. 30. 22:34, 정우 : 개쎄지
2020. 5. 30. 22:34, 정우 : 입학할때
2020. 5. 30. 22:34, 정우 : 걔네가 고양외고 삥뜯고다닌다는 소문도 있었는데
2020. 5. 30. 22:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:34, 정우 : 벽제중 존나쎔
2020. 5. 30. 22:34, (알 수 없음) : 아하
2020. 5. 30. 22:34, (알 수 없음) : 그래서 물어보래
2020. 5. 30. 22:34, (알 수 없음) : 벽제중한테
2020. 5. 30. 22:34, (알 수 없음) : 돈뺏겻냐고
2020. 5. 30. 22:34, 정우 : ㄴㄴ
2020. 5. 30. 22:34, (알 수 없음) : ㅅㅂ
2020. 5. 30. 22:34, (알 수 없음) : 개웃겨
2020. 5. 30. 22:34, 정우 : 우리학년애
2020. 5. 30. 22:34, 정우 : 쳐들어간애있을걸
2020. 5. 30. 22:35, 정우 : 중딩새끼들이 존나 창밖으로 도발해서
2020. 5. 30. 22:35, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:35, 정우 : 근데 왜물어보냐
2020. 5. 30. 22:35, 정우 : 석대님 벽제중 출신이심?
2020. 5. 30. 22:36, (알 수 없음) : 아니
2020. 5. 30. 22:36, (알 수 없음) : 일산사라서
2020. 5. 30. 22:36, (알 수 없음) : 그런얘길아나봐
2020. 5. 30. 22:36, (알 수 없음) : 고등학교어디나왔냐고
2020. 5. 30. 22:36, (알 수 없음) : 물어보길래
2020. 5. 30. 22:36, (알 수 없음) : 고양외고나왔다고전해줌
2020. 5. 30. 22:36, (알 수 없음) : 저동고
2020. 5. 30. 22:36, (알 수 없음) : 나오셨대
2020. 5. 30. 22:36, (알 수 없음) : ;
2020. 5. 30. 22:36, (알 수 없음) : 개티엠아이 전달왔다갔다중
2020. 5. 30. 22:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:37, 정우 : 저동고 들어봤지
2020. 5. 30. 22:37, 정우 : 수학내신 존나 어려운학교중에
2020. 5. 30. 22:37, 정우 : 하나였던거같은데
2020. 5. 30. 22:39, (알 수 없음) : 저동적이네 (저돌적이네란 언어유희)
2020. 5. 30. 22:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:41, 정우 : 웃어준다 한번
2020. 5. 30. 22:41, (알 수 없음) : ㄱㅆ
2020. 5. 30. 22:43, 정우 : ㅎ
2020. 5. 30. 22:43, 정우 : 아
2020. 5. 30. 22:43, 정우 : 나되게
2020. 5. 30. 22:43, 정우 : 모르는거많네
2020. 5. 30. 22:43, 정우 : ㅆㅂ
2020. 5. 30. 22:44, 정우 : 이거하면서 다음주에
2020. 5. 30. 22:44, 정우 : ADsP
2020. 5. 30. 22:44, 정우 : 같이준비하는애들 있던데
2020. 5. 30. 22:44, 정우 : 몸이 여러갠가?
2020. 5. 30. 22:44, 원준오빠 : 통계과 아님?ㅋㅋㅋㅋ
2020. 5. 30. 22:44, 원준오빠 : 나도 그거 9월에 칠라고
2020. 5. 30. 22:44, 정우 : 그런쪽애들 아닌데
2020. 5. 30. 22:45, 정우 : 흐으으으음
2020. 5. 30. 22:45, 정우 : 대단해
2020. 5. 30. 22:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:45, 원준오빠 : 아하
2020. 5. 30. 22:45, 원준오빠 : 그람
2020. 5. 30. 22:45, 원준오빠 : 그냥
2020. 5. 30. 22:45, 원준오빠 : 무리수 하는애들일수도
2020. 5. 30. 22:45, 원준오빠 : ㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:45, 정우 : 살짝 그럴삘
2020. 5. 30. 22:45, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:45, 원준오빠 : 너네도 시험비 지원래줌?
2020. 5. 30. 22:45, 정우 : ㄴㄴ.......
2020. 5. 30. 22:45, 정우 : 내 피같은 5만원.......
2020. 5. 30. 22:46, 원준오빠 : 아하
2020. 5. 30. 22:46, 원준오빠 : 우린 adsp는 지원해준다던게
2020. 5. 30. 22:47, 원준오빠 : 돈 굳은김에 아웃백가야지
2020. 5. 30. 22:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개꿀
2020. 5. 30. 22:47, 정우 : 나도이거 끝날때 취업한상태아니면
2020. 5. 30. 22:47, 정우 : 봐야겠다
2020. 5. 30. 22:48, 원준오빠 : 내는 무적권 봅니데이
2020. 5. 30. 22:48, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 30. 22:48, (알 수 없음) : 나그거책있는데
