Talk_2021.8.24 13:11-67.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 4월 22일 수요일
2020. 4. 22. 21:13, 이석준 : 2년계약...
2020. 4. 27. 18:20, 정우 : 나는
2020. 4. 27. 18:20, 정우 : 집가서 맥주각
2020. 4. 27. 18:20, 이석준 : 이런말 하는사람도 술먹는거냐
2020. 4. 27. 18:20, 정우 : ㅇㅇ
2020. 4. 27. 18:20, 정우 : 밑밥깐거임
2020. 4. 27. 18:20, 이석준 : ㅇㅎ
2020. 4. 27. 18:20, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:20, 정우 : 아근데진짜
2020. 4. 27. 18:21, 정우 : 지난주에 좀 마시고
2020. 4. 27. 18:21, 정우 : 또 휴일이 다가오는겅
2020. 4. 27. 18:21, 정우 : 알아서그런지
2020. 4. 27. 18:21, 정우 : 그냥좀;;;먹고싶은뎊
2020. 4. 27. 18:21, 정우 : ?
2020. 4. 27. 18:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:21, 정우 : 집근처에 친구있으면 최곤데
2020. 4. 27. 18:21, 정우 : 지역친구가없네
2020. 4. 27. 18:21, 정우 : 쩝
2020. 4. 27. 18:21, 정우 : ㅠ
2020. 4. 27. 18:21, 경민 : ㅇㅈ,,,
2020. 4. 27. 18:22, (알 수 없음) : 그래서
2020. 4. 27. 18:22, (알 수 없음) : 내가갈게
2020. 4. 27. 18:22, 정우 : ㅇㅋ
2020. 4. 27. 18:22, 정우 : 지금바로
2020. 4. 27. 18:22, (알 수 없음) : 토요일6시신촌
2020. 4. 27. 18:22, 정우 : 와라
2020. 4. 27. 18:22, 경민 : 아니오재훈
2020. 4. 27. 18:22, 이석준 : 나도 요새 없는거같은데
2020. 4. 27. 18:22, (알 수 없음) : ?
2020. 4. 27. 18:22, 정우 : 아니
2020. 4. 27. 18:22, 정우 : ㅡㅡ
2020. 4. 27. 18:22, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:22, 경민 : 개웃기넴
2020. 4. 27. 18:22, 정우 : 토요일
2020. 4. 27. 18:22, 정우 : 안된다고
2020. 4. 27. 18:22, 정우 : 시발아
2020. 4. 27. 18:22, 이석준 : 저거 일단 입터는거임
2020. 4. 27. 18:23, (알 수 없음) : 그래서
2020. 4. 27. 18:23, (알 수 없음) : 또쓸딱맞으면
2020. 4. 27. 18:23, (알 수 없음) : 바로가는거알쥐?
2020. 4. 27. 18:23, 정우 : rgrg
2020. 4. 27. 18:23, (알 수 없음) : 이모티콘 
2020. 4. 27. 18:23, 정우 : 지하철탔다
2020. 4. 27. 18:23, 정우 : 휴
2020. 4. 27. 18:24, 정우 : 오미친
2020. 4. 27. 18:24, (알 수 없음) : 고우
2020. 4. 27. 18:24, 정우 : 방금 지하철에서
2020. 4. 27. 18:24, 정우 : 얼굴만아는
2020. 4. 27. 18:24, 정우 : 사람봄
2020. 4. 27. 18:24, 이석준 : 연예인?
2020. 4. 27. 18:24, 정우 : 나보다 먼길가는사람
2020. 4. 27. 18:24, 정우 : ㄴㄴ
2020. 4. 27. 18:24, 정우 : 그
2020. 4. 27. 18:25, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:25, 정우 : 항상 지하철 똑같은시간에타면
2020. 4. 27. 18:25, 정우 : 좀 눈에 익숙한사람들이
2020. 4. 27. 18:25, 정우 : 있단말이야
2020. 4. 27. 18:25, 이석준 : 열람실갔는데 매일 있는 사람
2020. 4. 27. 18:25, 재환오빠 : 번호따자
2020. 4. 27. 18:25, 이석준 : 이런건가
2020. 4. 27. 18:25, 정우 : 근데;;;리얼 항상 구석에 앉아계시는
2020. 4. 27. 18:25, 정우 : 덩치큰 형과 아저씨중간
2020. 4. 27. 18:25, 정우 : 한분계시는데
2020. 4. 27. 18:25, 정우 : 그분 종점까지 가는걸 알거든
2020. 4. 27. 18:25, 정우 : 방금탔는데 요기있넹
2020. 4. 27. 18:25, 정우 : 퇴근하셨나봄
2020. 4. 27. 18:26, 이석준 : 종점투종점
2020. 4. 27. 18:26, 정우 : ㄹㅇ
2020. 4. 27. 18:26, 정우 : 그느낌임
2020. 4. 27. 18:26, 정우 : 아침에도 구석자리 앉아오려면
2020. 4. 27. 18:26, 이석준 : 그럼 지하철 2000원 나오나
2020. 4. 27. 18:26, 정우 : 종점이어야하는데
2020. 4. 27. 18:26, 재환오빠 : 삼호선 너무 길어
2020. 4. 27. 18:26, 정우 : 1850 나올듯
2020. 4. 27. 18:26, 정우 : 내가 1750원이니까
2020. 4. 27. 18:26, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:26, 정우 : 쌉길어요
2020. 4. 27. 18:26, 정우 : 3호선
2020. 4. 27. 18:27, 정우 : 나 매일매일
2020. 4. 27. 18:27, 정우 : 68정거장간다
2020. 4. 27. 18:27, 정우 : 씨바
2020. 4. 27. 18:27, 이석준 : 저녁 콩나물밥 + 콩불 + 찌개하나
2020. 4. 27. 18:27, 이석준 : 어떰
2020. 4. 27. 18:27, 정우 : 소주빼먹음
2020. 4. 27. 18:27, 이석준 : ;;
2020. 4. 27. 18:27, 정우 : ;;;;??
2020. 4. 27. 18:33, (알 수 없음) : ㅇㅋ
2020. 4. 27. 18:33, (알 수 없음) : 내가대신셋팅함
2020. 4. 27. 18:33, (알 수 없음) : 퇴근도장찍음
2020. 4. 27. 18:33, 이석준 : 또마시냐
2020. 4. 27. 18:36, (알 수 없음) : 원한다면
2020. 4. 27. 18:39, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:39, 정우 : ㅁㅊ
2020. 4. 27. 18:39, 정우 : 말하는거
2020. 4. 27. 18:39, 정우 : 개웃갸
2020. 4. 27. 18:39, 정우 : 스타같네 약간
2020. 4. 27. 18:39, 정우 : 원한다면 해주지
2020. 4. 27. 18:40, (알 수 없음) : ㅋㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ
2020. 4. 27. 18:40, (알 수 없음) : 이모티콘 
2020. 4. 27. 18:40, (알 수 없음) : 퇴근길은신나지
2020. 4. 27. 18:40, (알 수 없음) : 야호
2020. 4. 27. 18:42, 정우 : 놀자
2020. 4. 27. 18:42, 정우 : 놀아줘
2020. 4. 27. 18:42, 정우 : 오재훈ㅠ
2020. 4. 27. 18:42, 정우 : 걸어가면서
2020. 4. 27. 18:42, 정우 : 놀아줘
2020. 4. 27. 18:42, (알 수 없음) : ㅇㅋㅇㅋ
2020. 4. 27. 18:42, (알 수 없음) : 아
2020. 4. 27. 18:42, 정우 : 휴
2020. 4. 27. 18:42, 정우 : 다행
2020. 4. 27. 18:42, (알 수 없음) : 백에린콘서트언제하지
2020. 4. 27. 18:42, (알 수 없음) : 하
2020. 4. 27. 18:42, 정우 : 한 20분은
2020. 4. 27. 18:43, 정우 : 친구있다
2020. 4. 27. 18:43, 정우 : 다행이야
2020. 4. 27. 18:43, (알 수 없음) : ㅊㅋㅊㅋ
2020. 4. 27. 18:43, (알 수 없음) : 딥가서
2020. 4. 27. 18:43, 정우 : ㄱㅅㄱㅅ
2020. 4. 27. 18:43, (알 수 없음) : 누워서또해둠걱정 ㄴㄴ
2020. 4. 27. 18:43, 정우 : 집가서도
2020. 4. 27. 18:43, 정우 : ㅇㅇ
2020. 4. 27. 18:43, 정우 : ㄱㅅㄱㅅ
2020. 4. 27. 18:43, 정우 : 개이득
2020. 4. 27. 18:43, (알 수 없음) : ㅇㅋㅇㅋ
2020. 4. 27. 18:43, (알 수 없음) : ㅎ기상청개샛기들ㅇㄴ
2020. 4. 27. 18:43, (알 수 없음) : 결국 내일메일줄듯 ^^
2020. 4. 27. 18:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:43, 정우 : ㅅㅂ
2020. 4. 27. 18:43, (알 수 없음) : 수욜에주려나
2020. 4. 27. 18:43, 정우 : 일주일
2020. 4. 27. 18:43, (알 수 없음) : ?
2020. 4. 27. 18:43, 정우 : 걸리네
2020. 4. 27. 18:43, (알 수 없음) : ㅎㅎㅎ
2020. 4. 27. 18:43, 정우 : 수욜각
2020. 4. 27. 18:43, (알 수 없음) : 진짜미친놈글
2020. 4. 27. 18:43, 정우 : 어려운거
2020. 4. 27. 18:43, (알 수 없음) : 나도안보내진짜 ㅅㅂ
2020. 4. 27. 18:43, 정우 : 부탁했냐
2020. 4. 27. 18:44, (알 수 없음) : 아니
2020. 4. 27. 18:44, 재환오빠 : 오재 프로필음악
2020. 4. 27. 18:44, 재환오빠 : 아니거미
2020. 4. 27. 18:44, 정우 : 거미아니
2020. 4. 27. 18:44, 재환오빠 : ㄷㄷㄷㅈ
2020. 4. 27. 18:44, 재환오빠 : 해야될거같음
2020. 4. 27. 18:44, (알 수 없음) : ㄷㄷㄷㅈ
2020. 4. 27. 18:44, (알 수 없음) : 지금약간프사
2020. 4. 27. 18:44, (알 수 없음) : 김경민예전에
2020. 4. 27. 18:44, (알 수 없음) : 소울.
2020. 4. 27. 18:44, 정우 : ㄷㄷㄷㅈ
2020. 4. 27. 18:44, (알 수 없음) : 그느김인데
2020. 4. 27. 18:45, 정우 : ㅁㅊ
2020. 4. 27. 18:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:45, 재환오빠 : Seoul
2020. 4. 27. 18:45, (알 수 없음) : 신림
2020. 4. 27. 18:45, 이석준 : 그 사진 누가찍어준거였드라
2020. 4. 27. 18:45, (알 수 없음) : 부?
2020. 4. 27. 18:45, (알 수 없음) : 아
2020. 4. 27. 18:45, 정우 : 근데오재프사
2020. 4. 27. 18:45, (알 수 없음) : 김경민?
2020. 4. 27. 18:45, 정우 : 희한하게 잘나옴
2020. 4. 27. 18:45, (알 수 없음) : 부경보가찍어줘서
2020. 4. 27. 18:45, (알 수 없음) : 그런가봄
2020. 4. 27. 18:45, 정우 : 왜지
2020. 4. 27. 18:45, 정우 : 피부가
2020. 4. 27. 18:45, 정우 : 깨끗해보여서
2020. 4. 27. 18:45, 정우 : 그런가
2020. 4. 27. 18:45, (알 수 없음) : 문질러서
2020. 4. 27. 18:45, (알 수 없음) : ;
2020. 4. 27. 18:45, (알 수 없음) : ㅠ
2020. 4. 27. 18:45, 정우 : 진짜 저피부면
2020. 4. 27. 18:46, 정우 : ㄱㅊ한데
2020. 4. 27. 18:46, 정우 : 실물은
2020. 4. 27. 18:46, 정우 : ;;;;
2020. 4. 27. 18:46, 정우 : 그만함
2020. 4. 27. 18:46, (알 수 없음) : ㅠ
2020. 4. 27. 18:46, 정우 : ㅈㅅ
2020. 4. 27. 18:46, (알 수 없음) : ㄱㅊ
2020. 4. 27. 18:46, 정우 : 삐지지마셈
2020. 4. 27. 18:46, (알 수 없음) : ㅇ니친구-1
2020. 4. 27. 18:46, 재환오빠 : 이모티콘 
2020. 4. 27. 18:46, 정우 : ㅠ
2020. 4. 27. 18:46, (알 수 없음) : ㅠ
2020. 4. 27. 18:46, (알 수 없음) : 아니쟤
2020. 4. 27. 18:46, 정우 : 우리
2020. 4. 27. 18:46, (알 수 없음) : 약간좀귀엽네;?
2020. 4. 27. 18:46, 정우 : 이모티콘 
2020. 4. 27. 18:46, (알 수 없음) : ?;?
2020. 4. 27. 18:46, 재환오빠 : 이모티콘 
2020. 4. 27. 18:46, 재환오빠 : 이모티콘 
2020. 4. 27. 18:46, (알 수 없음) : ㅅㅂ
2020. 4. 27. 18:46, (알 수 없음) : 아저고존나
2020. 4. 27. 18:46, (알 수 없음) : 사고싶다
2020. 4. 27. 18:46, (알 수 없음) : 캡처해서써야지
2020. 4. 27. 18:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:47, 정우 : ㅁㅊ
2020. 4. 27. 18:47, 재환오빠 : 이모티콘 
2020. 4. 27. 18:47, 재환오빠 : 이모티콘 
2020. 4. 27. 18:47, (알 수 없음) : 사진
2020. 4. 27. 18:47, 정우 : 아니ㅠ
2020. 4. 27. 18:47, 정우 : 딱 대라 진짜
2020. 4. 27. 18:47, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:47, (알 수 없음) : 사진
2020. 4. 27. 18:47, 정우 : 아
2020. 4. 27. 18:47, 정우 : 난 배경이 까매갖고
2020. 4. 27. 18:48, 정우 : 하늘색으로 뜬다고
2020. 4. 27. 18:48, 정우 : 되게불쌍해보이네
2020. 4. 27. 18:48, (알 수 없음) : ㅠㅜㅠ
2020. 4. 27. 18:48, 정우 : 오 그래도
2020. 4. 27. 18:48, 정우 : 7시다되어감
2020. 4. 27. 18:48, 정우 : 아닌가
2020. 4. 27. 18:48, 정우 : 12분이나 남았나
2020. 4. 27. 18:49, 재환오빠 : 이모티콘 
2020. 4. 27. 18:49, (알 수 없음) : 집도척8분전
2020. 4. 27. 18:49, (알 수 없음) : 사진
2020. 4. 27. 18:49, 정우 : ㅠ
2020. 4. 27. 18:49, 정우 : 시발
2020. 4. 27. 18:49, 정우 : 니
2020. 4. 27. 18:49, 정우 : 존나빠르네
2020. 4. 27. 18:49, 정우 : ?
2020. 4. 27. 18:49, 정우 : 개같누
2020. 4. 27. 18:49, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:49, (알 수 없음) : ㅠ
2020. 4. 27. 18:49, (알 수 없음) : 소주마시면
2020. 4. 27. 18:49, (알 수 없음) : 니집도착전에
2020. 4. 27. 18:49, (알 수 없음) : 취하누
2020. 4. 27. 18:49, 정우 : ;;;;
2020. 4. 27. 18:49, 정우 : 병째로 꽂아넣누
2020. 4. 27. 18:49, (알 수 없음) : 마바로링게루아니겟누
2020. 4. 27. 18:49, 재환오빠 : 이모티콘 한잔해
2020. 4. 27. 18:50, 정우 : 오우
2020. 4. 27. 18:50, (알 수 없음) : 할가말가고민고민
2020. 4. 27. 18:50, 정우 : 나도근데
2020. 4. 27. 18:50, 정우 : 맥주하나 쌔릴까말까
2020. 4. 27. 18:50, 정우 : 고민중이긴함
2020. 4. 27. 18:50, (알 수 없음) : 나는누워서
2020. 4. 27. 18:50, 정우 : 오늘 간만에
2020. 4. 27. 18:50, 정우 : 집일찍거는거같아서
2020. 4. 27. 18:50, (알 수 없음) : 잠시쉬다가한8시쯤고민해봐야겟음
2020. 4. 27. 18:50, 정우 : 굿
2020. 4. 27. 18:50, 정우 : 시간설정
2020. 4. 27. 18:51, 정우 : 좋음
2020. 4. 27. 18:51, (알 수 없음) : 굿
2020. 4. 27. 18:51, 정우 : 나도 운동좀하고
2020. 4. 27. 18:52, 정우 : 뭐야 나 왜
2020. 4. 27. 18:52, 재환오빠 : 이모티콘 
2020. 4. 27. 18:52, 정우 : 말하다말았냐
2020. 4. 27. 18:52, 정우 : 존나어이없네
2020. 4. 27. 18:52, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 18:53, (알 수 없음) : ?
2020. 4. 27. 18:53, (알 수 없음) : 니왜말하다마냐
2020. 4. 27. 18:53, (알 수 없음) : 가서노래조짐
2020. 4. 27. 18:53, 정우 : 그러게
2020. 4. 27. 18:53, (알 수 없음) : 노래방못가는마음달래야지
2020. 4. 27. 18:53, 정우 : ㅠ
2020. 4. 27. 18:53, (알 수 없음) : ㅎㅎㅎㅎㅎ
2020. 4. 27. 18:53, 원준오빠 : 노래부유 ㅠㅠ
2020. 4. 27. 18:53, (알 수 없음) : 여기어디야
2020. 4. 27. 18:53, (알 수 없음) : 오우쉬
2020. 4. 27. 18:53, (알 수 없음) : 이상한블락까지갈번햇네
2020. 4. 27. 18:53, 정우 : 여기
2020. 4. 27. 18:53, 정우 : 압구정
2020. 4. 27. 18:54, 정우 : 오 그래도 벌써압구정
2020. 4. 27. 18:56, (알 수 없음) : 난
2020. 4. 27. 18:56, (알 수 없음) : 집
2020. 4. 27. 18:56, (알 수 없음) : 생각보다빨리왓네
2020. 4. 27. 18:56, (알 수 없음) : 빠른걸음으로왓나봄
2020. 4. 27. 18:56, 정우 : 쩝
2020. 4. 27. 18:56, 정우 : 개부럽네
2020. 4. 27. 18:56, 정우 : ㅠ
2020. 4. 27. 18:58, (알 수 없음) : 놀사하나
2020. 4. 27. 18:58, (알 수 없음) : 말하기가능?
2020. 4. 27. 19:00, 재환오빠 : ㄱㄴ
2020. 4. 27. 19:00, (알 수 없음) : 대전온지24시간
2020. 4. 27. 19:00, (알 수 없음) : 안됏다능요
2020. 4. 27. 19:00, 재환오빠 : 이모티콘 
2020. 4. 27. 19:00, (알 수 없음) : 이모티콘 
2020. 4. 27. 19:01, 재환오빠 : 24시간이 모자라 함 들어주셈
2020. 4. 27. 19:01, (알 수 없음) : 간만에
2020. 4. 27. 19:01, (알 수 없음) : 개명곡듣고와야겟네여
2020. 4. 27. 19:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:02, 정우 : 놀랍다 진짜
2020. 4. 27. 19:02, 정우 : 24시간....모자르지않네
2020. 4. 27. 19:02, 정우 : 많은걸할수있네
2020. 4. 27. 19:02, 정우 : ㅅㅂ
2020. 4. 27. 19:08, (알 수 없음) : 그래임마...
2020. 4. 27. 19:11, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:11, 정우 : 아 좀 배고픈데
2020. 4. 27. 19:11, 정우 : 그래도 많이왔다
2020. 4. 27. 19:11, 정우 : 7시40전에는
2020. 4. 27. 19:11, 정우 : 집들어갈수있을듯
2020. 4. 27. 19:11, (알 수 없음) : 좋자좋나
2020. 4. 27. 19:11, (알 수 없음) : 춤한바퀴춰라
2020. 4. 27. 19:11, (알 수 없음) : 9아
2020. 4. 27. 19:11, (알 수 없음) : 밧데리충전안돼뭐야이거
2020. 4. 27. 19:12, (알 수 없음) : 저번주에산건데
2020. 4. 27. 19:12, 이석준 : 이젠 충전기한테도 무시받네;;
2020. 4. 27. 19:12, (알 수 없음) : 그러게
2020. 4. 27. 19:12, (알 수 없음) : 샹
2020. 4. 27. 19:13, (알 수 없음) : 왜이렂지
2020. 4. 27. 19:13, (알 수 없음) : 휴
2020. 4. 27. 19:13, (알 수 없음) : 됏다
2020. 4. 27. 19:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:15, 정우 : 아니
2020. 4. 27. 19:15, 정우 : 방금
2020. 4. 27. 19:15, 정우 : 폰게임
2020. 4. 27. 19:15, 정우 : 강화 50프로짜리
2020. 4. 27. 19:15, 정우 : 7번연속터짐
2020. 4. 27. 19:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:15, 정우 : 존나
2020. 4. 27. 19:15, 정우 : 어메이징하네
2020. 4. 27. 19:17, 경민 : 그거구란데
2020. 4. 27. 19:17, 경민 : 몰랏음
2020. 4. 27. 19:17, 정우 : 이제확실히알았지
2020. 4. 27. 19:17, (알 수 없음) : 내가하면
2020. 4. 27. 19:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:17, 정우 : 하긴
2020. 4. 27. 19:17, (알 수 없음) : 실패99퍼임
2020. 4. 27. 19:17, 정우 : 저번에
2020. 4. 27. 19:17, 정우 : 99퍼도
2020. 4. 27. 19:17, 정우 : 터져봄
2020. 4. 27. 19:18, 정우 : ㅅㅂ그때진짜 존나어이없었는데
2020. 4. 27. 19:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:19, (알 수 없음) : 일퍼센트의
2020. 4. 27. 19:19, (알 수 없음) : 사나이네
2020. 4. 27. 19:19, 정우 : ㅇㅇ
2020. 4. 27. 19:19, 정우 : 아이 허리야
2020. 4. 27. 19:19, 정우 : 여기어디냐
2020. 4. 27. 19:20, 정우 : 녹번
2020. 4. 27. 19:20, 정우 : 거의다왔다 그래도
2020. 4. 27. 19:21, (알 수 없음) : ㅊㅋㅊㅋ
2020. 4. 27. 19:22, (알 수 없음) : 아
2020. 4. 27. 19:22, (알 수 없음) : 술마실가말가
2020. 4. 27. 19:22, (알 수 없음) : 하루지낫다고
2020. 4. 27. 19:22, (알 수 없음) : 또생각나네~
2020. 4. 27. 19:22, 정우 : ㄱㅅㄱㅅ
2020. 4. 27. 19:22, 정우 : 생각이나~
2020. 4. 27. 19:23, (알 수 없음) : 부활
2020. 4. 27. 19:24, 정우 : 오
2020. 4. 27. 19:24, 정우 : 누가 덥다그래서 에어컨튼다고
2020. 4. 27. 19:24, 정우 : 방송나왔는데
2020. 4. 27. 19:24, 정우 : 한방에 쌉추워지네
2020. 4. 27. 19:24, 정우 : 진짜 지하철 어케타고다니지ㅅㅂ
2020. 4. 27. 19:24, 정우 : 여름에
2020. 4. 27. 19:25, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:25, (알 수 없음) : 으....
2020. 4. 27. 19:25, (알 수 없음) : 여름지하철...으
2020. 4. 27. 19:25, 정우 : 흐
2020. 4. 27. 19:25, 정우 : 진짜
2020. 4. 27. 19:25, 정우 : 오늘아침에만해도
2020. 4. 27. 19:26, 정우 : 좀 서서 사람들 붙으니까
2020. 4. 27. 19:26, 정우 : 바로 땀나던데
2020. 4. 27. 19:28, 정우 : 민원잘넣는분
2020. 4. 27. 19:28, 정우 : 계신거같은데
2020. 4. 27. 19:28, 정우 : 오늘따라 민원이많네
2020. 4. 27. 19:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:33, (알 수 없음) : ㅠ
2020. 4. 27. 19:33, (알 수 없음) : 원래그거맨날
2020. 4. 27. 19:33, (알 수 없음) : 너어야함
2020. 4. 27. 19:33, (알 수 없음) : 에어컨
2020. 4. 27. 19:33, 정우 : 아니 에어컨하고
2020. 4. 27. 19:33, 정우 : 얼마안있어서
2020. 4. 27. 19:34, 정우 : 시끄러우니까 조용히해달라는 민원들어왔다고
2020. 4. 27. 19:34, 정우 : 또 나오길래
2020. 4. 27. 19:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 27. 19:36, (알 수 없음) : 누구야
2020. 4. 27. 19:36, (알 수 없음) : 누가시4ㅡ럽게햇어
2020. 4. 27. 19:36, 정우 : 몰라
2020. 4. 27. 19:36, 정우 : 하
2020. 4. 27. 19:36, 정우 : 이제내린다
2020. 4. 27. 19:37, 정우 : 소리질러
2020. 4. 27. 19:37, 정우 : ㅗㅓㅓㅓㅓㅓㅓㅓㅓㅓㅗㅗㅓㅓㅓㅓㅓㅏ
2020. 4. 27. 19:38, (알 수 없음) : 술마시자
2020. 4. 27. 19:38, 빠충 : 여러분
2020. 4. 27. 19:38, 빠충 : https://youtu.be/iDjQSdN_ig8
2020. 4. 27. 19:38, 빠충 : 오마이걸 컴백함
2020. 4. 27. 19:38, 빠충 : 사실 이번노래 별로 맘에 안 들지만 홍보하고 감
2020. 4. 27. 19:38, 정우 : ㅊㅋㅊㅋ
2020. 4. 27. 19:39, (알 수 없음) : 살짝설렛어난
2020. 4. 27. 19:39, (알 수 없음) : 돌핀어떰
2020. 4. 27. 19:39, (알 수 없음) : 청하도나왓는데
2020. 4. 27. 19:39, (알 수 없음) : 또 보깅
2020. 4. 27. 19:39, (알 수 없음) : 이런거한다고남자새끼들
2020. 4. 27. 19:39, (알 수 없음) : 립스틱이런거해서
2020. 4. 27. 19:39, (알 수 없음) : 뮤비는이제안볼듯
2020. 4. 27. 19:39, (알 수 없음) : ㅅㅂ
2020. 4. 27. 19:39, (알 수 없음) : 싫어
2020. 4. 27. 19:39, (알 수 없음) : ㅠ
2020. 4. 27. 19:40, (알 수 없음) : 최좆존나하기
2020. 4. 27. 19:40, 빠충 : 청하아직못봄
2020. 4. 27. 19:41, (알 수 없음) : 보고오삼
2020. 4. 27. 19:42, (알 수 없음) : 오마이걸돌핀이노래더조운듯
2020. 4. 27. 19:42, 빠충 : 약간
2020. 4. 27. 19:42, 빠충 : 청하 브아걸 느낌 나지 왜 이번에
2020. 4. 27. 19:42, (알 수 없음) : 보깅이라서
2020. 4. 27. 19:42, (알 수 없음) : 저번에브아걸도
2020. 4. 27. 19:42, (알 수 없음) : 원더우먼
2020. 4. 27. 19:42, 빠충 : 그치
2020. 4. 27. 19:42, (알 수 없음) : 컨셉저런스탈느낌
2020. 4. 27. 19:42, (알 수 없음) : ㅇㅇ
2020. 4. 27. 19:42, 빠충 : 보깅은 걔네도 했었는데
2020. 4. 27. 19:42, 빠충 : 에프엑스
2020. 4. 27. 19:43, (알 수 없음) : 노래는낫뱃인데
2020. 4. 27. 19:43, (알 수 없음) : 포월즈는
2020. 4. 27. 19:43, (알 수 없음) : 진짜개명곡
2020. 4. 27. 19:43, 빠충 : ㅋㅋㅋㅋㅋ
2020. 4. 27. 19:43, (알 수 없음) : 포월즈말하는거맞지
2020. 4. 27. 19:43, 빠충 : ㅇㅇㅇ
2020. 4. 27. 19:43, (알 수 없음) : 그건 진짜개존멋
2020. 4. 27. 19:43, 빠충 : 청하 곡은 좋은데 확실히 전이랑 다르게 힘 빼고 나온듯
2020. 4. 27. 19:44, 빠충 : 전에 건 확 귀에 들어오는 구간이랑 춤이 있었는데
2020. 4. 27. 19:44, (알 수 없음) : ㅇㅇㅇ
2020. 4. 27. 19:44, (알 수 없음) : 걍흘러가는거같아
2020. 4. 27. 19:44, (알 수 없음) : 뭔가근데듣다보면
2020. 4. 27. 19:44, (알 수 없음) : 쫗을거같은느낀이잇긴한데
2020. 4. 27. 19:44, (알 수 없음) : 한번에뽷은아닌듯
2020. 4. 27. 19:44, 빠충 : ㅇㅇㅇ
2020. 4. 27. 19:44, 빠충 : 그 뭐야
2020. 4. 27. 19:44, (알 수 없음) : 후렴에힘빼는거
2020. 4. 27. 19:44, 빠충 : 태민도 옛날에
2020. 4. 27. 19:44, (알 수 없음) : 요즘특인듯
2020. 4. 27. 19:44, 빠충 : 이런느낌이었는데
2020. 4. 27. 19:45, (알 수 없음) : 벌스가뭔가더훅느낌남
2020. 4. 27. 19:45, 빠충 : 보깅하면 이런 노래만 나와야 하냐
2020. 4. 27. 19:45, (알 수 없음) : ㅋㅋㅌㅌㅌㅌㅌㅋㅋ
2020. 4. 27. 19:45, 빠충 : 힘빼고
2020. 4. 27. 19:45, 빠충 : 이게 힙한거냐
2020. 4. 27. 19:45, 정우 : 집이다
2020. 4. 27. 19:45, 정우 : ㅊㅋㅊㅋ
2020. 4. 27. 19:45, 정우 : ㄱㅅㄱㅅ
2020. 4. 27. 19:45, 빠충 : 집한거냐
