Talk_2021.8.24 13:11-47.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 7월 13일 토요일
2019. 7. 13. 22:14, 정우 : 들어감
2019. 7. 15. 15:16, 부그뷰 : 저번에갔던와페가 저건데
2019. 7. 15. 15:16, 빠충 : 어
2019. 7. 15. 15:16, 정우 : 오재훈멍청이
2019. 7. 15. 15:16, 빠충 : 나
2019. 7. 15. 15:16, 빠충 : 8월 말에
2019. 7. 15. 15:16, 빠충 : 시험침
2019. 7. 15. 15:16, 빠충 : 공부조려야되네
2019. 7. 15. 15:16, 정우 : !
2019. 7. 15. 15:16, 정우 : ㅠ
2019. 7. 15. 15:16, 빠충 : 저번처럼
2019. 7. 15. 15:17, 경민 : ㅇㅇ저건듯
2019. 7. 15. 15:17, 빠충 : 양아치같이 숙식 못하겠다
2019. 7. 15. 15:17, 정우 : ㅠ
2019. 7. 15. 15:17, 정우 : 내가대신함
2019. 7. 15. 15:17, 빠충 : 대리만족
2019. 7. 15. 15:18, (알 수 없음) : zmgma
2019. 7. 15. 15:18, (알 수 없음) : zㅡ흠
2019. 7. 15. 15:18, (알 수 없음) : 저거에요
2019. 7. 15. 15:26, 원준오빠 : 와
2019. 7. 15. 15:26, 원준오빠 : 이제보니
2019. 7. 15. 15:26, 원준오빠 : 내가 어비스 1314 회색지대네
2019. 7. 15. 15:27, (알 수 없음) : ..!
2019. 7. 15. 15:27, 원준오빠 : 난 다 잘지냄ㅎ
2019. 7. 15. 15:27, 원준오빠 : 오재빼고
2019. 7. 15. 15:27, (알 수 없음) : ..!
2019. 7. 15. 15:27, 원준오빠 : ㅗㅗ
2019. 7. 15. 15:27, (알 수 없음) : 짜증나게시비좀
2019. 7. 15. 15:27, (알 수 없음) : 걸지마셈
2019. 7. 15. 15:27, 원준오빠 : ㅈㅅ!
2019. 7. 15. 15:27, (알 수 없음) : ㄱㅊㄱㅊ!
2019. 7. 15. 15:27, (알 수 없음) : 형인걸
2019. 7. 15. 15:27, 원준오빠 : 하지만 난 15기 불랙리스트니까 갠춘
2019. 7. 15. 15:27, (알 수 없음) : 다행ㅇ
2019. 7. 15. 15:27, (알 수 없음) : ㅇㅋ
2019. 7. 15. 15:27, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2019. 7. 15. 15:27, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:27, (알 수 없음) : ㅇㅋ,,
2019. 7. 15. 15:27, (알 수 없음) : 왜한길이있잖아
2019. 7. 15. 15:28, 경민 : 이게머
2019. 7. 15. 15:28, 경민 : 야
2019. 7. 15. 15:29, 원준오빠 : dmz
2019. 7. 15. 15:29, 원준오빠 : 비무장지대
2019. 7. 15. 15:29, 원준오빠 : 다 잘 지낸다고
2019. 7. 15. 15:29, 원준오빠 : ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:30, 원준오빠 : 아 근데
2019. 7. 15. 15:30, 경민 : 아하
2019. 7. 15. 15:31, 경민 : rkq
2019. 7. 15. 15:31, 경민 : 갑자기
2019. 7. 15. 15:31, 경민 : 비
2019. 7. 15. 15:31, 경민 : 개
2019. 7. 15. 15:31, 경민 : 조
2019. 7. 15. 15:31, 경민 : 짐
2019. 7. 15. 15:32, (알 수 없음) : 오신기항
2019. 7. 15. 15:34, 원준오빠 : 20일 평냉 빠꾸 개에반데
2019. 7. 15. 15:34, 부그뷰 : 멀빠꾸해
2019. 7. 15. 15:34, 부그뷰 : 걍 같이 먹어
2019. 7. 15. 15:34, (알 수 없음) : 아니
2019. 7. 15. 15:34, (알 수 없음) : 개오바
2019. 7. 15. 15:34, 빠충 : 그냥 가거
2019. 7. 15. 15:34, 부그뷰 : 재용이 그때 또가서 통수치고 안올수도있음
2019. 7. 15. 15:34, 빠충 : 뒤옆테이블에
2019. 7. 15. 15:34, 부그뷰 : ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:34, 빠충 : 앉아서 혼냉
2019. 7. 15. 15:34, (알 수 없음) : ㅁㅊ
2019. 7. 15. 15:34, (알 수 없음) : 부경보
2019. 7. 15. 15:34, (알 수 없음) : ㅅㅂ
2019. 7. 15. 15:35, 부그뷰 : 알티때 여러번그럼
2019. 7. 15. 15:35, 부그뷰 : ㅎㅎ
2019. 7. 15. 15:35, 정우 : 이모티콘 
2019. 7. 15. 15:35, 경민 : 구리귈
2019. 7. 15. 15:35, 정우 : 이모티콘 
2019. 7. 15. 15:36, 경민 : 존규ㅣ
2019. 7. 15. 15:36, 원준오빠 : ㄴㄴ
2019. 7. 15. 15:36, 원준오빠 : 도박할순없서
2019. 7. 15. 15:37, 원준오빠 : 너가 거르는애랑 굳이 친분쌓기도 귀찬
2019. 7. 15. 15:37, (알 수 없음) : 뫚마
2019. 7. 15. 15:37, (알 수 없음) : ㄹ
2019. 7. 15. 15:37, (알 수 없음) : 대
2019. 7. 15. 15:37, (알 수 없음) : 잔치
2019. 7. 15. 15:37, (알 수 없음) : 지금나랑유지하는것도
2019. 7. 15. 15:37, (알 수 없음) : 피곤해죽을텐데
2019. 7. 15. 15:37, 원준오빠 : ?
2019. 7. 15. 15:37, 원준오빠 : 내가할소린데
2019. 7. 15. 15:37, (알 수 없음) : 아니
2019. 7. 15. 15:37, (알 수 없음) : 왜
2019. 7. 15. 15:37, 원준오빠 : 주글래?
2019. 7. 15. 15:37, (알 수 없음) : 아니
2019. 7. 15. 15:37, (알 수 없음) : 형
2019. 7. 15. 15:37, (알 수 없음) : 사진
2019. 7. 15. 15:38, 정우 : 이모티콘 
2019. 7. 15. 15:38, 원준오빠 : 상큼하게 터져볼래?
2019. 7. 15. 15:38, (알 수 없음) : 주글래?
2019. 7. 15. 15:38, (알 수 없음) : !
2019. 7. 15. 15:38, (알 수 없음) : 퐝
2019. 7. 15. 15:38, 정우 : 이모티콘 
2019. 7. 15. 15:38, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:38, 원준오빠 : 아 하튼
2019. 7. 15. 15:38, 원준오빠 : 나는 한두명 더 오면
2019. 7. 15. 15:38, 원준오빠 : 정우가 오겠지 했는데
2019. 7. 15. 15:38, 원준오빠 : 재용이가 오네
2019. 7. 15. 15:38, 경민 : xzzzzzz
2019. 7. 15. 15:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:39, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:39, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:39, 경민 : 정우는
2019. 7. 15. 15:39, 경민 : 진작에
2019. 7. 15. 15:39, 경민 : 손ㅊ절쳣나봄
2019. 7. 15. 15:39, 정우 : 샵검색: #상상도 못한 정체
2019. 7. 15. 15:39, 원준오빠 : 상못정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:39, 원준오빠 : 일단 성필이한테
2019. 7. 15. 15:39, 원준오빠 : sos침
2019. 7. 15. 15:39, (알 수 없음) : 솟
2019. 7. 15. 15:39, 원준오빠 : 나 재용이 몰라 찡찡댐
2019. 7. 15. 15:39, (알 수 없음) : 그만좀찡찡대
2019. 7. 15. 15:39, (알 수 없음) : 진짜
2019. 7. 15. 15:39, (알 수 없음) : 나이가몇이야
2019. 7. 15. 15:39, (알 수 없음) : 형
2019. 7. 15. 15:40, 원준오빠 : 아니
2019. 7. 15. 15:40, 원준오빠 : 솔찍히
2019. 7. 15. 15:40, 원준오빠 : 35살까진
2019. 7. 15. 15:40, 원준오빠 : 봐주셈
2019. 7. 15. 15:40, (알 수 없음) : ㅇㅋㄷㅋ
2019. 7. 15. 15:40, 원준오빠 : 결혼하면 안찡찡댐
2019. 7. 15. 15:40, 정우 : 오재훈
2019. 7. 15. 15:40, 정우 : 진짜
2019. 7. 15. 15:40, (알 수 없음) : ?
2019. 7. 15. 15:40, 정우 : 이모티콘 
2019. 7. 15. 15:40, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:40, (알 수 없음) : ㅅㅂ;
2019. 7. 15. 15:40, (알 수 없음) : ㅠ
2019. 7. 15. 15:40, 원준오빠 : 하 시버
2019. 7. 15. 15:40, (알 수 없음) : 쟤이모티콘
2019. 7. 15. 15:40, 원준오빠 : 그러고보니
2019. 7. 15. 15:40, (알 수 없음) : 쓰고싶어서
2019. 7. 15. 15:40, (알 수 없음) : 그림까네
2019. 7. 15. 15:40, 정우 : 형한테 무슨말버릇이야
2019. 7. 15. 15:40, 원준오빠 : 방금까지
2019. 7. 15. 15:40, 정우 : ㅇㅇ
2019. 7. 15. 15:40, 원준오빠 : 전자 배우고왔는데
2019. 7. 15. 15:40, (알 수 없음) : ㄴㅋㅋㅋㅋㅅㅂ
2019. 7. 15. 15:40, 정우 : 이모티콘 
2019. 7. 15. 15:40, 원준오빠 : 터트리고싶다 쟤네
2019. 7. 15. 15:40, 정우 : 아이걸또
2019. 7. 15. 15:40, 정우 : 쓰게해주네
2019. 7. 15. 15:40, 정우 : ㄱㅅㄱㅅ
2019. 7. 15. 15:40, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:41, 원준오빠 : 역시 화학이
2019. 7. 15. 15:41, 정우 : 이모티콘 
2019. 7. 15. 15:41, 원준오빠 : 콰뜌릅 봐야지
2019. 7. 15. 15:41, (알 수 없음) : 이번주말은뭐하지
2019. 7. 15. 15:41, (알 수 없음) : 담주는서울들려야하는데
2019. 7. 15. 15:42, 원준오빠 : 토욜저녁 고?
2019. 7. 15. 15:42, (알 수 없음) : 이번주말?
2019. 7. 15. 15:42, 원준오빠 : ㅇㅇㅇ
2019. 7. 15. 15:42, (알 수 없음) : 재용이나옴?
2019. 7. 15. 15:42, 원준오빠 : 재용이한테 내자리 뺏겨서
2019. 7. 15. 15:42, (알 수 없음) : 아
2019. 7. 15. 15:42, 원준오빠 : 나 들뜬전자임
2019. 7. 15. 15:42, 원준오빠 : 공유결합좀해주셈
2019. 7. 15. 15:42, (알 수 없음) : 아
2019. 7. 15. 15:42, (알 수 없음) : 정말극혐이다
2019. 7. 15. 15:42, 원준오빠 : 극혐ㅍ
2019. 7. 15. 15:42, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:42, (알 수 없음) : 하지만생각해봄
2019. 7. 15. 15:42, (알 수 없음) : 공유결합에대해서
2019. 7. 15. 15:43, (알 수 없음) : 공유결합개쎈거알지
2019. 7. 15. 15:43, (알 수 없음) : 집못감
2019. 7. 15. 15:43, 원준오빠 : ㅇㅇㅇㅇ
2019. 7. 15. 15:43, 원준오빠 : 애용이 감
2019. 7. 15. 15:43, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2019. 7. 15. 15:43, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:44, (알 수 없음) : 아코드올려야하구나
2019. 7. 15. 15:44, (알 수 없음) : 우오옹ㄱ
2019. 7. 15. 15:47, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2019. 7. 15. 15:48, 부그뷰 : 전잨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 15:50, 원준오빠 : 그 그 오재가 올렸던 선생님 누구임??
2019. 7. 15. 15:50, 원준오빠 : 웃긴선생ㅁ
2019. 7. 15. 15:50, 정우 : 이기상
2019. 7. 15. 15:50, 원준오빠 : ㄱㅅㄱㅅ
2019. 7. 15. 15:52, 경민 : dodyd
2019. 7. 15. 15:52, 경민 : 애용
2019. 7. 15. 15:52, 경민 : ㄴ다ㅗ
2019. 7. 15. 15:52, 경민 : 나도애용
2019. 7. 15. 15:52, 경민 : 남주애용어덤
2019. 7. 15. 15:52, 부그뷰 : 형 근데 재용이
2019. 7. 15. 15:52, 부그뷰 : 만나면
2019. 7. 15. 15:52, 부그뷰 : 괜춘함
2019. 7. 15. 15:52, 부그뷰 : 안만나고있을때가 좀 그렇지
2019. 7. 15. 15:52, 부그뷰 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ
2019. 7. 15. 16:00, 부그뷰 : 근데 정우 이모티콘
2019. 7. 15. 16:00, 부그뷰 : 맘에드네
2019. 7. 15. 16:00, 정우 : 이모티콘 
2019. 7. 15. 16:01, 정우 : 이모티콘 
2019. 7. 15. 16:01, (알 수 없음) : 아니
2019. 7. 15. 16:01, (알 수 없음) : 원준이형은
2019. 7. 15. 16:01, (알 수 없음) : 걍모르는
2019. 7. 15. 16:01, (알 수 없음) : 사람이라
2019. 7. 15. 16:01, (알 수 없음) : 같이있기
2019. 7. 15. 16:01, (알 수 없음) : 불편하다
2019. 7. 15. 16:01, (알 수 없음) : 그거아님?
2019. 7. 15. 16:01, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:01, 부그뷰 : 저항ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㄱㅋㅋ
2019. 7. 15. 16:01, 부그뷰 : 그런건가
2019. 7. 15. 16:09, 원준오빠 : 어 뭐 그렇디 굳이 뭐 모르는애 껴서 만나ㅋㅋㅋㅋㅋ
2019. 7. 15. 16:09, 부그뷰 : 근데 재용이
2019. 7. 15. 16:10, 부그뷰 : 형이랑 광야같은기수인데
2019. 7. 15. 16:10, 부그뷰 : 모름?
2019. 7. 15. 16:10, 부그뷰 : 형 메인때 광야보컬이었음
2019. 7. 15. 16:10, 부그뷰 : 정우는 알걸
2019. 7. 15. 16:10, 경민 : zzzzz
2019. 7. 15. 16:11, 정우 : 나는알지
2019. 7. 15. 16:14, (알 수 없음) : 뭐,,,,
2019. 7. 15. 16:14, (알 수 없음) : 광야랑
2019. 7. 15. 16:14, (알 수 없음) : 친해봐야얼마나친하겟음
2019. 7. 15. 16:14, (알 수 없음) : 세광이형이
2019. 7. 15. 16:14, (알 수 없음) : 제일친할걸
2019. 7. 15. 16:14, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:14, (알 수 없음) : 껄껄껄
2019. 7. 15. 16:14, 정우 : 나 친함
2019. 7. 15. 16:14, (알 수 없음) : 닌안물
2019. 7. 15. 16:14, 정우 : 아니 친했음
2019. 7. 15. 16:14, 정우 : 아니
2019. 7. 15. 16:14, 정우 : ㅡㅡ
2019. 7. 15. 16:14, 경민 : 그럼너
2019. 7. 15. 16:14, (알 수 없음) : ㅈㅅ장난인거rg?
2019. 7. 15. 16:14, 경민 : 평냉머긍러ㅏ가셈
2019. 7. 15. 16:14, 정우 : 모름
2019. 7. 15. 16:14, 정우 : 십새끼야
2019. 7. 15. 16:14, (알 수 없음) : 왜모를까
씹썌긴가
2019. 7. 15. 16:14, 정우 : 대머리깎아라
2019. 7. 15. 16:14, 정우 : 군대가라
2019. 7. 15. 16:15, (알 수 없음) : 싫어
2019. 7. 15. 16:15, 정우 : 미필주제에ㅉㅉ
2019. 7. 15. 16:15, (알 수 없음) : ,,
2019. 7. 15. 16:15, (알 수 없음) : ㅠ
2019. 7. 15. 16:15, (알 수 없음) : 미필로살다가
2019. 7. 15. 16:15, (알 수 없음) : 죽으면
2019. 7. 15. 16:15, (알 수 없음) : 개이덕
2019. 7. 15. 16:15, (알 수 없음) : ~~~~군대평생안감
2019. 7. 15. 16:15, 정우 : !
2019. 7. 15. 16:15, 정우 : 그건개이득
2019. 7. 15. 16:15, 정우 : 근데 죽는게개손해
2019. 7. 15. 16:16, (알 수 없음) : dwdw
2019. 7. 15. 16:16, (알 수 없음) : ㅇㅈㅇㅈ
2019. 7. 15. 16:19, 원준오빠 : ㅇㅇ 왠지 민석 영빈 상섭맔고는 거의 모르는사이임
2019. 7. 15. 16:20, (알 수 없음) : 난민석이만
2019. 7. 15. 16:20, (알 수 없음) : 하이루
2019. 7. 15. 16:20, (알 수 없음) : 할듯
2019. 7. 15. 16:20, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아
2019. 7. 15. 16:20, (알 수 없음) : 뭔데배고프지
2019. 7. 15. 16:21, 정우 : 나머지애들 다 뒷풀이같은데 잘안와서그럼
2019. 7. 15. 16:21, 정우 : 광야때문임
2019. 7. 15. 16:21, 정우 : 하이튼광야때문임ㅇㅇ
2019. 7. 15. 16:21, 정우 : 아니근데 번개치는데
2019. 7. 15. 16:21, 정우 : 소리가무슨
2019. 7. 15. 16:21, 정우 : 박격포쏘는 소리가나네
2019. 7. 15. 16:21, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:21, (알 수 없음) : 전쟁 귀귀
2019. 7. 15. 16:21, 원준오빠 : 덤벼
2019. 7. 15. 16:22, 정우 : 이모티콘 
2019. 7. 15. 16:23, (알 수 없음) : 저건뭔데
2019. 7. 15. 16:23, (알 수 없음) : ,,?
2019. 7. 15. 16:23, 정우 : 방사능처럼 생기지않음....??
2019. 7. 15. 16:23, 정우 : 그냥들고와봄
2019. 7. 15. 16:23, 정우 : 아
2019. 7. 15. 16:23, 정우 : 찜찜한데 씻어야겠다
2019. 7. 15. 16:24, (알 수 없음) : 이제?
2019. 7. 15. 16:24, 정우 : ㅇㅇ
2019. 7. 15. 16:24, 정우 : 안씻을계획이었는데
2019. 7. 15. 16:24, (알 수 없음) : 진짜개성실해
2019. 7. 15. 16:24, 정우 : 수정함
2019. 7. 15. 16:24, 정우 : 개성실하지
2019. 7. 15. 16:24, (알 수 없음) : 귯
2019. 7. 15. 16:24, (알 수 없음) : 아잠옴
2019. 7. 15. 16:24, 정우 : 너도씻으셈
2019. 7. 15. 16:24, (알 수 없음) : 10시에
2019. 7. 15. 16:24, (알 수 없음) : 학교나왔움
2019. 7. 15. 16:24, (알 수 없음) : ,,
2019. 7. 15. 16:24, (알 수 없음) : 씻고왔움,,
2019. 7. 15. 16:24, 정우 : ㄱㅊ
2019. 7. 15. 16:24, 정우 : 또씻으셈
2019. 7. 15. 16:25, (알 수 없음) : ㅇㅋㅇㅋ밤에또씼움
2019. 7. 15. 16:34, 경민 : 오늘
2019. 7. 15. 16:34, 경민 : 일많아서
2019. 7. 15. 16:34, 경민 : 시간잘감
2019. 7. 15. 16:34, 경민 : 어떰
2019. 7. 15. 16:35, 원준오빠 : 워 쏟아진다 비
2019. 7. 15. 16:36, 원준오빠 : 사진
2019. 7. 15. 16:36, 원준오빠 : ㅊㅋㅊㅋ
2019. 7. 15. 16:36, (알 수 없음) : ㅇㅁㅇㅁㅊㅋㅊㅋ
2019. 7. 15. 16:36, (알 수 없음) : 아
2019. 7. 15. 16:36, (알 수 없음) : 또밥머고싶다
2019. 7. 15. 16:38, 경민 : 워
2019. 7. 15. 16:48, 원준오빠 : 여기도박격포터짐
2019. 7. 15. 16:52, 이석준 : 아
2019. 7. 15. 16:52, 이석준 : 비
2019. 7. 15. 16:52, 이석준 : 왤케 많이와
2019. 7. 15. 16:54, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:54, (알 수 없음) : 아니진심어제새벽에여기잇던거올라간듯
2019. 7. 15. 16:56, 경민 : 개충격
2019. 7. 15. 16:56, 경민 : 받음
2019. 7. 15. 16:56, 경민 : 2년동안
2019. 7. 15. 16:56, 경민 : 면세점
2019. 7. 15. 16:56, 경민 : 거의100마넌
2019. 7. 15. 16:56, 경민 : 써벌임,,,;
2019. 7. 15. 16:56, 경민 : 엥,,,
2019. 7. 15. 16:56, 원준오빠 : 워후
2019. 7. 15. 16:56, 경민 : 오바다
2019. 7. 15. 16:57, 부그뷰 : 잘쓰네
2019. 7. 15. 16:57, (알 수 없음) : 톼우
2019. 7. 15. 16:57, (알 수 없음) : 와우
2019. 7. 15. 16:57, 경민 : ㅎ
2019. 7. 15. 16:57, 경민 : ㅗㅠ
2019. 7. 15. 16:57, 부그뷰 : 한 플렉스하네 경민
2019. 7. 15. 16:57, 부그뷰 : 아니 여기카페
2019. 7. 15. 16:57, 부그뷰 : 음악
2019. 7. 15. 16:57, 경민 : 쨥쨔ㅃ
2019. 7. 15. 16:57, 경민 : 배고프다
2019. 7. 15. 16:57, 부그뷰 : 존나 내취향임
2019. 7. 15. 16:57, 원준오빠 : 째지?
2019. 7. 15. 16:57, 부그뷰 : 지금
2019. 7. 15. 16:58, 원준오빠 : 와 옆옆옆자리에 앉은 남자 입냄새 오지네
2019. 7. 15. 16:58, 원준오빠 : 나한테까지 옴
2019. 7. 15. 16:58, (알 수 없음) : ㅋㅋㅋㅋㅅㅂ아니
2019. 7. 15. 16:58, (알 수 없음) : 거깃는데왜거까지감
2019. 7. 15. 16:58, 원준오빠 : 같이있는여자 비염인가
2019. 7. 15. 16:58, 원준오빠 : 중증비염이 분명해
2019. 7. 15. 16:58, 부그뷰 : 사진
2019. 7. 15. 16:58, 경민 : zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:58, 경민 : 범인이확실?
2019. 7. 15. 16:58, 부그뷰 : 이런거나옴
2019. 7. 15. 16:58, 원준오빠 : 오 스윗라입 개굿
2019. 7. 15. 16:58, 원준오빠 : 개 확실
2019. 7. 15. 16:58, 원준오빠 : 나인가 싶어서 이도 닦고 옴
2019. 7. 15. 16:58, 부그뷰 : 형가서 리스테린 드리고와
2019. 7. 15. 16:58, 부그뷰 : 쎈걸루
2019. 7. 15. 16:58, 원준오빠 : 그럴까
2019. 7. 15. 16:58, 원준오빠 : 나 갖고 다니는데 ㄹㅇ
2019. 7. 15. 16:58, 부그뷰 : 매너있게
2019. 7. 15. 16:59, 부그뷰 : 나듀
2019. 7. 15. 16:59, (알 수 없음) : 샵검색: #불화수소 만드는 주가 근황
2019. 7. 15. 16:59, (알 수 없음) : ㄹㅂ
2019. 7. 15. 16:59, (알 수 없음) : 개웃기다
2019. 7. 15. 16:59, (알 수 없음) : 근데
2019. 7. 15. 16:59, 원준오빠 : ㅁㅊ
2019. 7. 15. 16:59, 원준오빠 : 요즘 계속 배운거
2019. 7. 15. 16:59, 원준오빠 : HF
2019. 7. 15. 16:59, 경민 : ㅁㅊ
2019. 7. 15. 16:59, 경민 : 떡상ㅇ중ㅇㅣ네
2019. 7. 15. 16:59, 경민 : 내일
2019. 7. 15. 16:59, 경민 : 들어가도
2019. 7. 15. 16:59, 경민 : 가능?
2019. 7. 15. 16:59, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 16:59, 부그뷰 : 주식안한다몈ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 17:00, (알 수 없음) : ㅅㅂㅋㅌㅌㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋ
2019. 7. 15. 17:00, 경민 : 꿀팁깜사
2019. 7. 15. 17:00, 원준오빠 : 저거 근데 순도 높히는 기술이 개 어렵다는데
2019. 7. 15. 17:00, (알 수 없음) : 이진존나웃겨기발
2019. 7. 15. 17:00, 경민 : 떡상간다
2019. 7. 15. 17:00, 원준오빠 : 순도가 높아야쓸수있데
2019. 7. 15. 17:00, (알 수 없음) : 사진
2019. 7. 15. 17:00, (알 수 없음) : 첫방햇는데 막방한거처럼 인스타올렷대
2019. 7. 15. 17:00, (알 수 없음) : ㅅㅂ
2019. 7. 15. 17:00, 원준오빠 : 그래서 일본게 좋은더고
2019. 7. 15. 17:00, (알 수 없음) : 얘성격존나
2019. 7. 15. 17:00, (알 수 없음) : 개급하네 ㅅ뷰
2019. 7. 15. 17:00, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 17:00, 원준오빠 : 이진 개웃겨
2019. 7. 15. 17:00, 원준오빠 : 그냥 웃기네
2019. 7. 15. 17:00, (알 수 없음) : ㄹㅇ성격답답한거
2019. 7. 15. 17:00, (알 수 없음) : 못참나봨ㅋㅋㅋㅋㅋㅋ
2019. 7. 15. 17:02, 경민 : ㅋㅋㅋㅋ
2019. 7. 15. 17:02, 경민 : 오늘
2019. 7. 15. 17:02, 경민 : 집가는길에
2019. 7. 15. 17:02, 경민 : 볼까,,,
2019. 7. 15. 17:03, 경민 : 어ㅈㅔ 첫방임?
2019. 7. 15. 17:03, (알 수 없음) : ㅇㅇㅇ
2019. 7. 15. 17:03, 경민 : 매주이료일?
2019. 7. 15. 17:05, (알 수 없음) : 매주일요일
2019. 7. 15. 17:05, (알 수 없음) : 밤9시입니다고갱님
2019. 7. 15. 17:05, 경민 : ㅇㅋㅇㅋ
2019. 7. 15. 17:05, 경민 : ㄱㅅㄱㅅ
2019. 7. 15. 17:05, (알 수 없음) : 그리고담주 금요일8시는
2019. 7. 15. 17:05, 경민 : ㅇㅇ
2019. 7. 15. 17:05, (알 수 없음) : 프로듀스마지막생방송이
2019. 7. 15. 17:06, (알 수 없음) : 진행됩니다고갱님
2019. 7. 15. 17:06, 경민 : ㅋㅋㅋㅋㅋ
2019. 7. 15. 17:06, 경민 : 이번주아니고다음주?
2019. 7. 15. 17:06, (알 수 없음) : 소중한한표부탁드리구요
2019. 7. 15. 17:06, (알 수 없음) : ㅇㅇ
2019. 7. 15. 17:06, (알 수 없음) : 아이번주네
2019. 7. 15. 17:06, 경민 : 아하
2019. 7. 15. 17:06, (알 수 없음) : 미친
2019. 7. 15. 17:06, 경민 : 나
2019. 7. 15. 17:06, 경민 : 1화밖에안봐서
2019. 7. 15. 17:06, 경민 : 애들잘모름
2019. 7. 15. 17:06, 경민 : 별로
2019. 7. 15. 17:06, (알 수 없음) : 걍김요한찍으셈
2019. 7. 15. 17:06, 경민 : 땡기는애가업든데
2019. 7. 15. 17:06, (알 수 없음) : 하이튼
2019. 7. 15. 17:06, 경민 : 김요한
2019. 7. 15. 17:06, 경민 : 알지
2019. 7. 15. 17:06, (알 수 없음) : 그렇구요
2019. 7. 15. 17:06, 경민 : 태권소년
2019. 7. 15. 17:06, 경민 : ㅇ
2019. 7. 15. 17:06, (알 수 없음) : 그런데
2019. 7. 15. 17:06, 경민 : ㅇ
2019. 7. 15. 17:06, (알 수 없음) : 중요한건
2019. 7. 15. 17:06, 경민 : ㅇㅇ
2019. 7. 15. 17:06, (알 수 없음) : 비긴어게인도 9시에 시작합니다
