Talk_2021.8.24 13:11-68.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 6일 수요일
2020. 5. 6. 08:43, (알 수 없음) : ㅊㅋㅊㅋㅊ
2020. 5. 8. 10:17, (알 수 없음) : 10/25
2020. 5. 8. 10:17, (알 수 없음) : 울학교는 25일
2020. 5. 8. 10:17, 경민 : ㅇㅇ그니까1/2의확률로
2020. 5. 8. 10:18, 경민 : 근데둘다자고있는듯
2020. 5. 8. 10:18, 정우 : 우리도
2020. 5. 8. 10:18, 정우 : 오늘줬으면좋겠다
2020. 5. 8. 10:18, (알 수 없음) : 아
2020. 5. 8. 10:18, (알 수 없음) : 뭐지
2020. 5. 8. 10:18, (알 수 없음) : 아
2020. 5. 8. 10:18, (알 수 없음) : 아아아아아ㅏ앙
2020. 5. 8. 10:18, (알 수 없음) : 뭐지
2020. 5. 8. 10:18, (알 수 없음) : 맞나
2020. 5. 8. 10:20, (알 수 없음) : 아
2020. 5. 8. 10:20, (알 수 없음) : 10분잇다회의라니!
2020. 5. 8. 10:20, (알 수 없음) : 너무졸린데
2020. 5. 8. 10:21, (알 수 없음) : 아이폰들고다니느라
2020. 5. 8. 10:21, (알 수 없음) : 지갑이랑이어폰
2020. 5. 8. 10:21, (알 수 없음) : 아 여름이라
2020. 5. 8. 10:21, (알 수 없음) : 주머니없어서
2020. 5. 8. 10:21, (알 수 없음) : 다웁다웁하다
2020. 5. 8. 10:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 10:21, 정우 : 딸기주스
2020. 5. 8. 10:21, 정우 : 먹는다
2020. 5. 8. 10:21, (알 수 없음) : 개뀰딲
2020. 5. 8. 10:22, 정우 : 음
2020. 5. 8. 10:22, 정우 : 개꿀
2020. 5. 8. 10:22, (알 수 없음) : 니지구과학아나
2020. 5. 8. 10:22, 정우 : 모르지
2020. 5. 8. 10:22, 정우 : 임마
2020. 5. 8. 10:22, (알 수 없음) : 사진
2020. 5. 8. 10:22, 정우 : 해는 동쪽에서 뜨는건 앎
2020. 5. 8. 10:22, (알 수 없음) : 이게먼말이야;
2020. 5. 8. 10:22, (알 수 없음) : 저 도가뭘까
2020. 5. 8. 10:23, (알 수 없음) : ㅅㅂ
2020. 5. 8. 10:23, 정우 : 위도
2020. 5. 8. 10:23, 정우 : 경도
2020. 5. 8. 10:23, 정우 : ?
2020. 5. 8. 10:23, 정우 : 그런거아닐까
2020. 5. 8. 10:23, 정우 : 원래 위도경도
2020. 5. 8. 10:23, 정우 : 도 분 초
2020. 5. 8. 10:23, 정우 : 써서 나타내지않나
2020. 5. 8. 10:24, (알 수 없음) : 몰라?
2020. 5. 8. 10:24, (알 수 없음) : 위도경도는
2020. 5. 8. 10:24, (알 수 없음) : 맞는거같은데
2020. 5. 8. 10:24, (알 수 없음) : 정확하게뭔말인지를모르겟음;;;;
2020. 5. 8. 10:24, (알 수 없음) : 5.625도 ????
2020. 5. 8. 10:24, (알 수 없음) : 경도가저렇단건가
2020. 5. 8. 10:24, (알 수 없음) : 개쌉
2020. 5. 8. 10:24, (알 수 없음) : 모르겟주
2020. 5. 8. 10:25, 정우 : 맞네
2020. 5. 8. 10:25, 정우 : 야
2020. 5. 8. 10:25, 정우 : latitude
2020. 5. 8. 10:25, 정우 : 가
2020. 5. 8. 10:25, 정우 : 위도래
2020. 5. 8. 10:25, 정우 : longtitude는 경도고
2020. 5. 8. 10:26, 정우 : 엥근데 뭔소린지는 나도모르겠네
2020. 5. 8. 10:26, 정우 : ㅎ;;;;;;;;;;
2020. 5. 8. 10:26, 정우 : 술안깼나봄
2020. 5. 8. 10:26, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 10:26, (알 수 없음) : 단어자체는
2020. 5. 8. 10:26, (알 수 없음) : 아는데
2020. 5. 8. 10:26, (알 수 없음) : 저 1.415%@
2020. 5. 8. 10:26, (알 수 없음) : 이딴게
2020. 5. 8. 10:26, (알 수 없음) : 뭔지모르겟음;;;;;;
2020. 5. 8. 10:26, (알 수 없음) : 도면 두개다 있어야하는거아니아?
2020. 5. 8. 10:26, (알 수 없음) : ㅠ;;;?;
2020. 5. 8. 10:27, 정우 : 그러게;;;;
2020. 5. 8. 10:27, (알 수 없음) : ㅋㅋㅋㅋㅋㅌㅌ튵
2020. 5. 8. 10:29, 정우 : 그냥
2020. 5. 8. 10:29, 정우 : 위도가 그렇다는 뜻인듯
2020. 5. 8. 10:30, 정우 : 몰라ㅅㅂ지구과학
2020. 5. 8. 10:31, Sekwang Ludan : 아씨 오늘 금요일 캐쥬얼 데이네 또 혼자 정장입고 옴 ㄷㄷㄷ
2020. 5. 8. 10:31, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 10:31, 정우 : 형
2020. 5. 8. 10:31, 정우 : 친구없는티내지마
2020. 5. 8. 10:31, 정우 : ㅠ
2020. 5. 8. 10:31, Sekwang Ludan : ㅠㅠㅠ 슬프다
2020. 5. 8. 10:32, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 10:33, 정우 : 하
2020. 5. 8. 10:33, 정우 : 딸기존맛
2020. 5. 8. 10:42, 부그뷰 : 쏘쌛
2020. 5. 8. 11:03, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋ 고객사 주소가 5길 19 페럼타워
2020. 5. 8. 11:03, Sekwang Ludan : 나만 다른거 연상되는건가??
2020. 5. 8. 11:03, Sekwang Ludan : 19 페럼이라...
2020. 5. 8. 11:06, 부그뷰 : 우한페럼?
2020. 5. 8. 11:06, 경민 : 이거을지로에있는거 아님
2020. 5. 8. 11:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:07, 정우 : 폐렴타워
2020. 5. 8. 11:16, (알 수 없음) : ㅁㅊ
2020. 5. 8. 11:16, 이석준 : 티맥스
2020. 5. 8. 11:16, 이석준 : 조졌네
2020. 5. 8. 11:17, (알 수 없음) : 게이
2020. 5. 8. 11:17, (알 수 없음) : 티맥스게이 ㅎㅇ
2020. 5. 8. 11:17, 이석준 : https://www.sedaily.com/NewsView/1Z2O6OTWW7
2020. 5. 8. 11:18, 정우 : 아
2020. 5. 8. 11:18, 정우 : 극혐
2020. 5. 8. 11:18, 정우 : 시발
2020. 5. 8. 11:18, 정우 : 늘지마
2020. 5. 8. 11:18, 정우 : 마스크
2020. 5. 8. 11:18, 정우 : 시발진짜
2020. 5. 8. 11:19, 이석준 : 클럽 ㅈ같은 쉑들
2020. 5. 8. 11:19, 정우 : ㅅㅂ진짜
2020. 5. 8. 11:19, 이석준 : 클럽이 문제야
2020. 5. 8. 11:19, 정우 : 사거하라니까
2020. 5. 8. 11:19, 정우 : 가서
2020. 5. 8. 11:19, 정우 : 물고빨고
2020. 5. 8. 11:19, 정우 : 시발
2020. 5. 8. 11:19, (알 수 없음) : ㅁㅊ
2020. 5. 8. 11:19, (알 수 없음) : 열다섯
2020. 5. 8. 11:19, (알 수 없음) : 도랏네
2020. 5. 8. 11:19, 정우 : 하...........
2020. 5. 8. 11:19, 정우 : 진짜
2020. 5. 8. 11:19, 정우 : 재유행하면
2020. 5. 8. 11:19, 정우 : 저샛기때문
2020. 5. 8. 11:19, 정우 : ㅅㅂ..........
2020. 5. 8. 11:19, (알 수 없음) : 미텃다
2020. 5. 8. 11:19, 정우 : 아너무싫다 진짜
2020. 5. 8. 11:19, 정우 : 하
2020. 5. 8. 11:20, (알 수 없음) : 미쳣네
2020. 5. 8. 11:20, (알 수 없음) : 아진짜꽃까루시발
2020. 5. 8. 11:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:21, 이석준 : 과아ㅏㅏㅏ제
2020. 5. 8. 11:21, 정우 : 흥민이형
2020. 5. 8. 11:21, 정우 : 퇴소했네
2020. 5. 8. 11:21, (알 수 없음) : 아니나아이천궁음한거잇음
2020. 5. 8. 11:21, (알 수 없음) : 왜칼린더에투가해놧는게
2020. 5. 8. 11:21, (알 수 없음) : 안뜨냐;;?
2020. 5. 8. 11:21, 정우 : 어후 오타 시발진짜
2020. 5. 8. 11:21, (알 수 없음) : ㅠ
2020. 5. 8. 11:21, 정우 : 뭐가안떠
2020. 5. 8. 11:21, 정우 : 어디에안떠
2020. 5. 8. 11:22, (알 수 없음) : 오뜬다
2020. 5. 8. 11:22, (알 수 없음) : 아니나귱금한거
2020. 5. 8. 11:22, (알 수 없음) : 아이폰한페이지자체를
2020. 5. 8. 11:22, (알 수 없음) : 캘린더로쓰는거못함?
2020. 5. 8. 11:23, 재환오빠 : ㅇㅇㅋ
2020. 5. 8. 11:23, 재환오빠 : 위젯같은거 없음
2020. 5. 8. 11:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:24, (알 수 없음) : 시발
2020. 5. 8. 11:24, (알 수 없음) : 아이거개구리네
2020. 5. 8. 11:24, (알 수 없음) : ㅠ
2020. 5. 8. 11:24, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:24, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:24, 정우 : ㅅㅂ
2020. 5. 8. 11:24, 정우 : 그거하나로
2020. 5. 8. 11:24, 정우 : 바로
2020. 5. 8. 11:24, 정우 : 구려지네
2020. 5. 8. 11:25, (알 수 없음) : ㅠ구리지
2020. 5. 8. 11:25, 재환오빠 : 안이뻐
2020. 5. 8. 11:25, 재환오빠 : 안이쁜건 안팔아
2020. 5. 8. 11:25, (알 수 없음) : 김영재랑뭐멍지
2020. 5. 8. 11:25, (알 수 없음) : 안이뻐
2020. 5. 8. 11:26, 정우 : 순대국
2020. 5. 8. 11:26, (알 수 없음) : 콜물나
2020. 5. 8. 11:26, 정우 : 30분만있으면
2020. 5. 8. 11:26, 정우 : 순대국
2020. 5. 8. 11:26, 정우 : 먹는다
2020. 5. 8. 11:26, 정우 : ㅅㅂ
2020. 5. 8. 11:26, (알 수 없음) : 사진
2020. 5. 8. 11:26, 이석준 : 순대국말고
2020. 5. 8. 11:26, 이석준 : 해장국먹어주셈
2020. 5. 8. 11:26, (알 수 없음) : 동미오늘도일청소함
2020. 5. 8. 11:26, 정우 : ㄴㄴ
2020. 5. 8. 11:26, 정우 : 순대국
2020. 5. 8. 11:26, (알 수 없음) : 네시에 또일청소할예정
2020. 5. 8. 11:26, 정우 : 해장국없음
2020. 5. 8. 11:26, 정우 : ㅅㅂ
2020. 5. 8. 11:27, 이석준 : ㄲㅂ
2020. 5. 8. 11:27, 정우 : 빨빨거리고
2020. 5. 8. 11:27, 정우 : 잘돌아다니네
2020. 5. 8. 11:27, 정우 : 오재훈오늘
2020. 5. 8. 11:27, 정우 : 동민이형온다고
2020. 5. 8. 11:27, 정우 : 하지않음?
2020. 5. 8. 11:27, (알 수 없음) : 옴
2020. 5. 8. 11:27, (알 수 없음) : 어제말햇음 일당준다고
2020. 5. 8. 11:27, 정우 : 동민이랑 동민이형이랑
2020. 5. 8. 11:27, 정우 : 같이있겠네
2020. 5. 8. 11:27, (알 수 없음) : ㅇㅇ
2020. 5. 8. 11:27, (알 수 없음) : 갸뀰
2020. 5. 8. 11:28, 정우 : 개꿀
2020. 5. 8. 11:28, (알 수 없음) : 아이거매일매일청소를해준다니
2020. 5. 8. 11:28, 이석준 : 부럽다
2020. 5. 8. 11:28, (알 수 없음) : 이보다꿀이아닐수가업쟈나ㅠ
2020. 5. 8. 11:28, 이석준 : 난 청소기
2020. 5. 8. 11:28, 이석준 : 돌려야하는데
2020. 5. 8. 11:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:28, (알 수 없음) : 니도사셈
2020. 5. 8. 11:28, 정우 : 얼마임
2020. 5. 8. 11:28, (알 수 없음) : 32
2020. 5. 8. 11:28, 정우 : 흠
2020. 5. 8. 11:28, 이석준 : ㅁㅊ
2020. 5. 8. 11:28, (알 수 없음) : 삶의질폭든
2020. 5. 8. 11:28, 정우 : 좀비싸네
2020. 5. 8. 11:28, (알 수 없음) : 폭등
2020. 5. 8. 11:28, 이석준 : 3.2면
2020. 5. 8. 11:28, 이석준 : 고민해봤다
2020. 5. 8. 11:28, 정우 : 3.2는
2020. 5. 8. 11:28, 정우 : 양심없지
2020. 5. 8. 11:28, (알 수 없음) : 삼성꺼70
2020. 5. 8. 11:28, 정우 : ㄹㅇ
2020. 5. 8. 11:29, 이석준 : 근데 3.2여도 고민했을듯
2020. 5. 8. 11:29, (알 수 없음) : 걍청소기도
2020. 5. 8. 11:29, (알 수 없음) : 그건넘겟다
2020. 5. 8. 11:29, 이석준 : 점심은 뭐먹지
2020. 5. 8. 11:29, (알 수 없음) : 나도추천
2020. 5. 8. 11:29, 이석준 : 점심은 뭘먹을까~~
2020. 5. 8. 11:29, 이석준 : 된찌
2020. 5. 8. 11:29, (알 수 없음) : 김영재나의다섯번째
2020. 5. 8. 11:29, 이석준 : 각
2020. 5. 8. 11:29, 경민 : 나는
2020. 5. 8. 11:29, 경민 : 베이컨에
2020. 5. 8. 11:29, 경민 : 계란ㅇ후라이
2020. 5. 8. 11:29, 경민 : 해먹음
2020. 5. 8. 11:29, 경민 : 어떰
2020. 5. 8. 11:29, 정우 : 굿
2020. 5. 8. 11:29, 정우 : 아니
2020. 5. 8. 11:29, 정우 : 점심다들
2020. 5. 8. 11:29, 정우 : 순대국먹어줘
2020. 5. 8. 11:29, 이석준 : 거기에 모닝빵만 추가하면
2020. 5. 8. 11:29, 정우 : 어떰
2020. 5. 8. 11:29, 이석준 : 내가 아침에 먹은거
2020. 5. 8. 11:29, (알 수 없음) : 귯
2020. 5. 8. 11:29, 정우 : 순대국
2020. 5. 8. 11:29, 이석준 : 치즈 베이컨 계란 모닝빵
2020. 5. 8. 11:29, 정우 : 순대굿
2020. 5. 8. 11:30, 이석준 : 아침
2020. 5. 8. 11:30, (알 수 없음) : 나흰엇이라
2020. 5. 8. 11:30, (알 수 없음) : 국물안돼
2020. 5. 8. 11:30, 정우 : 걍
2020. 5. 8. 11:30, 정우 : 쳐먹어
2020. 5. 8. 11:30, 정우 : 시발아
2020. 5. 8. 11:30, 정우 : 인성어떰
2020. 5. 8. 11:30, 이석준 : 큰맘할매순대국시키면
2020. 5. 8. 11:30, 정우 : 멋있음?
2020. 5. 8. 11:30, 이석준 : 가서먹는거보다
2020. 5. 8. 11:30, 이석준 : 쌈
2020. 5. 8. 11:30, (알 수 없음) : 아니
2020. 5. 8. 11:30, (알 수 없음) : 진마
2020. 5. 8. 11:30, (알 수 없음) : 개시발
2020. 5. 8. 11:30, (알 수 없음) : 어린놈의새끼가
2020. 5. 8. 11:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:30, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:30, (알 수 없음) : 얻다대고
2020. 5. 8. 11:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:30, (알 수 없음) : 휴
2020. 5. 8. 11:30, (알 수 없음) : 세상이어케될런지
2020. 5. 8. 11:30, 정우 : ㅎㅎ
2020. 5. 8. 11:30, (알 수 없음) : 위아래가업어지는세상이네
2020. 5. 8. 11:30, 정우 : 여기서도
2020. 5. 8. 11:30, 정우 : 남자거읨
2020. 5. 8. 11:30, 정우 : 거의
2020. 5. 8. 11:30, 정우 : 막내수준이라
2020. 5. 8. 11:30, 정우 : 개앵김 요즘
2020. 5. 8. 11:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:30, (알 수 없음) : 형들한테
2020. 5. 8. 11:30, (알 수 없음) : 니인성보여주셈
2020. 5. 8. 11:30, 정우 : ㅇㅋ
2020. 5. 8. 11:31, (알 수 없음) : 그럼다들
2020. 5. 8. 11:31, 정우 : 다음번술자리에
2020. 5. 8. 11:31, 정우 : 한번보여줌
2020. 5. 8. 11:31, (알 수 없음) : 더좋아함
2020. 5. 8. 11:31, (알 수 없음) : 좊음
2020. 5. 8. 11:31, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:31, 이석준 : 이이잉 어제 생일이었는데 선물 안가져온사람들 다 아는척하지마셈 ㄱㄱ
2020. 5. 8. 11:31, 정우 : 아니근데
2020. 5. 8. 11:31, 정우 : 어제
2020. 5. 8. 11:31, (알 수 없음) : 이이잉 뭐냐 ㅅㅂ
2020. 5. 8. 11:31, 정우 : 정말 인쓰가
2020. 5. 8. 11:31, 정우 : 나와버려서
2020. 5. 8. 11:31, 정우 : 이기기힘들듯
2020. 5. 8. 11:31, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:31, (알 수 없음) : 누구
2020. 5. 8. 11:31, (알 수 없음) : 얘기들어보자
2020. 5. 8. 11:31, 이석준 : 앵긴다길래
2020. 5. 8. 11:31, (알 수 없음) : 아하
2020. 5. 8. 11:31, (알 수 없음) : 돈가스파스타
2020. 5. 8. 11:31, (알 수 없음) : 먹을가
2020. 5. 8. 11:32, (알 수 없음) : 이모티콘 
2020. 5. 8. 11:32, (알 수 없음) : 이모티콘 
2020. 5. 8. 11:32, 정우 : ㄱ
2020. 5. 8. 11:32, 정우 : 아니
2020. 5. 8. 11:32, 정우 : 어제 테이블에
2020. 5. 8. 11:32, 정우 : 생맥 큰거
2020. 5. 8. 11:32, 정우 : 2통있었단말이야
2020. 5. 8. 11:32, (알 수 없음) : ㅇㅇㅇ
2020. 5. 8. 11:32, 정우 : 하나는 리얼걍맥주 하나는 소주한병탄거
2020. 5. 8. 11:32, 정우 : 근데
2020. 5. 8. 11:32, 정우 : 뭐 교수님이나 직원분들오셔서 술마시면
2020. 5. 8. 11:32, 정우 : 소맥으로 따라주고
2020. 5. 8. 11:32, 정우 : 소맥드실래요?하면서 소주 더타주자고
2020. 5. 8. 11:33, 정우 : ㅅㅂ
2020. 5. 8. 11:33, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:33, (알 수 없음) : 아니
2020. 5. 8. 11:33, 정우 : 쓰레기짓함
2020. 5. 8. 11:33, (알 수 없음) : 똑똑이셔
2020. 5. 8. 11:33, 정우 : 니도
2020. 5. 8. 11:33, (알 수 없음) : 그게왜쓰렝얍
2020. 5. 8. 11:33, 정우 : 쓰레기야
2020. 5. 8. 11:33, (알 수 없음) : ㅠ
2020. 5. 8. 11:33, (알 수 없음) : 똥똑이시네
2020. 5. 8. 11:33, 정우 : ㅉㅉ
2020. 5. 8. 11:33, (알 수 없음) : 똑똑
2020. 5. 8. 11:33, (알 수 없음) : 아어제이정우생일날
2020. 5. 8. 11:33, (알 수 없음) : 이정우늦을따
2020. 5. 8. 11:33, (알 수 없음) : 그렇게햇어야하킄데
2020. 5. 8. 11:33, 정우 : ㅎㅎㅎㅎㅎㅎㅎㅎㅎ
2020. 5. 8. 11:34, (알 수 없음) : 비상
2020. 5. 8. 11:34, (알 수 없음) : 엄마면허증갱신하러갓대
2020. 5. 8. 11:35, (알 수 없음) : 아빠차엄마가훔쳐가나봄
2020. 5. 8. 11:35, 경민 : 왜비상임
2020. 5. 8. 11:35, 경민 : 🤷‍♀️
2020. 5. 8. 11:36, (알 수 없음) : 내가
2020. 5. 8. 11:36, (알 수 없음) : 받아와야하는데엄마가가져가서
2020. 5. 8. 11:36, (알 수 없음) : ㅡㅡ
2020. 5. 8. 11:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:36, (알 수 없음) : ;인성
2020. 5. 8. 11:36, 정우 : 임마
2020. 5. 8. 11:36, 정우 : 빨리가서
2020. 5. 8. 11:36, (알 수 없음) : 인성질
2020. 5. 8. 11:36, 정우 : 훔쳐와라
2020. 5. 8. 11:36, (알 수 없음) : 아니ㅠ
2020. 5. 8. 11:36, (알 수 없음) : 육월중쑨까니너무쌉바빠
2020. 5. 8. 11:36, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2020. 5. 8. 11:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 5. 8. 11:36, 정우 : 그럼
2020. 5. 8. 11:36, (알 수 없음) : 후우
2020. 5. 8. 11:36, 정우 : 리얼인성짓
2020. 5. 8. 11:36, 정우 : ㄱ
2020. 5. 8. 11:36, (알 수 없음) : 어케
2020. 5. 8. 11:36, 정우 : 부모님한테 차가지고 대전온다음에
2020. 5. 8. 11:36, 정우 : 차놓고 내려가시라고 하셈
2020. 5. 8. 11:36, 정우 : 어떰
2020. 5. 8. 11:36, (알 수 없음) : ㅁㅊ
2020. 5. 8. 11:37, 정우 : ㅎㅎ;;;;
2020. 5. 8. 11:37, (알 수 없음) : 아
2020. 5. 8. 11:37, (알 수 없음) : 이
2020. 5. 8. 11:37, (알 수 없음) : 런
2020. 5. 8. 11:37, (알 수 없음) : 김엉재늦네
2020. 5. 8. 11:37, 이석준 : 즐
2020. 5. 8. 11:37, 정우 : 즐
2020. 5. 8. 11:38, 정우 : 어진짜
2020. 5. 8. 11:38, 정우 : 힘드네
2020. 5. 8. 11:38, 정우 : ㅅㅂ
2020. 5. 8. 11:38, 정우 : 제정신이 아닌데
2020. 5. 8. 11:38, (알 수 없음) : 즐
2020. 5. 8. 11:38, (알 수 없음) : 아콧물개쌉나와
2020. 5. 8. 11:39, 정우 : 흘려
2020. 5. 8. 11:55, (알 수 없음) : 사진
2020. 5. 8. 11:56, 원준오빠 : ㅎㅇ;
2020. 5. 8. 12:13, 정우 : ㅎㅇㅎㅇ
2020. 5. 8. 12:17, 원준오빠 : [타임커머스 티몬] [무료배송데이] 티몬블랙딜 계절밥상
1만원 할인권 95% 할인  500원
2020. 5. 8. 12:17, 원준오빠 : 개꿀딱?
2020. 5. 8. 12:18, 정우 : 개꿀
2020. 5. 8. 12:20, (알 수 없음) : 개귤닥
2020. 5. 8. 12:58, 부그뷰 : 개졸려
2020. 5. 8. 12:59, (알 수 없음) : 나도커피쌔리는중
2020. 5. 8. 13:02, 원준오빠 : 나도 커피사러가는중
2020. 5. 8. 13:02, 원준오빠 : 사진
2020. 5. 8. 13:02, 원준오빠 : 야홋
2020. 5. 8. 13:04, (알 수 없음) : 오늘은
2020. 5. 8. 13:04, (알 수 없음) : 무슨날인줄앎?
2020. 5. 8. 13:04, (알 수 없음) : f(x) 데이
2020. 5. 8. 13:04, (알 수 없음) : 좔한다,,
2020. 5. 8. 13:08, 원준오빠 : 왜 에펙스 데이죠?
2020. 5. 8. 13:08, 원준오빠 : 데뷔날임?
2020. 5. 8. 13:11, (알 수 없음) : 그냥내기분이
2020. 5. 8. 13:11, (알 수 없음) : 에펙스노래를듣고싶다할ㄲ
2020. 5. 8. 13:11, (알 수 없음) : 에프엑스 아이 개썅명곡
2020. 5. 8. 13:12, 이석준 : 오재 즐
2020. 5. 8. 13:12, (알 수 없음) : 오늘
2020. 5. 8. 13:12, (알 수 없음) : 올라갈까
2020. 5. 8. 13:12, 이석준 : ㄳㄳ
2020. 5. 8. 13:12, 이석준 : 아니?
2020. 5. 8. 13:12, (알 수 없음) : 내일올라가야겠따
2020. 5. 8. 13:12, (알 수 없음) : 정동민이랑
2020. 5. 8. 13:12, 이석준 : 뭐라고?
2020. 5. 8. 13:12, 이석준 : 미쳤습니까 휴먼?
2020. 5. 8. 13:12, (알 수 없음) : 놀자
2020. 5. 8. 13:12, 이석준 : 일단 과제 오늘이면 이번주 끝이긴함
2020. 5. 8. 13:12, 이석준 : 오늘 보겜하러
2020. 5. 8. 13:12, 이석준 : 갈까말까
2020. 5. 8. 13:12, 이석준 : 고민중
2020. 5. 8. 13:12, (알 수 없음) : 가셈
2020. 5. 8. 13:13, (알 수 없음) : 뭘고민함
2020. 5. 8. 13:14, 이석준 : 그럴까
2020. 5. 8. 13:14, (알 수 없음) : ㅇㅇ
2020. 5. 8. 13:14, (알 수 없음) : 가서
2020. 5. 8. 13:14, 이석준 : 꺵판 ㄴ
2020. 5. 8. 13:14, (알 수 없음) : ?
2020. 5. 8. 13:14, (알 수 없음) : 무슨소리
2020. 5. 8. 13:14, (알 수 없음) : 1등하셈
2020. 5. 8. 13:14, 이석준 : 깽판치라고
2020. 5. 8. 13:14, 이석준 : 할거같아서
2020. 5. 8. 13:14, 이석준 : 선수쳤는데
2020. 5. 8. 13:14, 이석준 : ㄲㅂ
2020. 5. 8. 13:14, (알 수 없음) : 깽판을
2020. 5. 8. 13:14, (알 수 없음) : 뭐 시도때도없이
2020. 5. 8. 13:14, (알 수 없음) : 치는줄아네
2020. 5. 8. 13:14, (알 수 없음) : 정답입니다
2020. 5. 8. 13:14, 이석준 : 그치
2020. 5. 8. 13:14, (알 수 없음) : 이모티콘 
2020. 5. 8. 13:14, 이석준 : 예상은 빗나가지않아
2020. 5. 8. 13:14, (알 수 없음) : 이모티콘 
2020. 5. 8. 13:14, (알 수 없음) : 이모티콘 
2020. 5. 8. 13:14, 이석준 : 가지가지 나뭇가지하네 이거
2020. 5. 8. 13:15, (알 수 없음) : ?
2020. 5. 8. 13:15, (알 수 없음) : 그건무슨드립
2020. 5. 8. 13:15, (알 수 없음) : 진짜
2020. 5. 8. 13:15, (알 수 없음) : 모가지 부러버릴라
2020. 5. 8. 13:15, 이석준 : 페이커가 하는드립인데
2020. 5. 8. 13:15, 이석준 : ㅜ
2020. 5. 8. 13:15, (알 수 없음) : 겜하는애들
2020. 5. 8. 13:15, (알 수 없음) : 걸러야겟네
2020. 5. 8. 13:16, 재환오빠 : 보자보자
2020. 5. 8. 13:16, 재환오빠 : 보자기
2020. 5. 8. 13:16, 이석준 : 짤이없네
2020. 5. 8. 13:16, (알 수 없음) : 자기자기 잠자기
2020. 5. 8. 13:17, 이석준 : 가능가능 불가능
2020. 5. 8. 13:17, (알 수 없음) : ㅡㅡ
2020. 5. 8. 13:18, (알 수 없음) : 갑자기크리스탈
2020. 5. 8. 13:18, (알 수 없음) : 노래하는거보고싶네
