Talk_2021.8.24 13:11-81.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 3월 21일 일요일
2021. 3. 21. 19:27, abyss오재 : 미텻음어제꺼보고잇음?
2021. 3. 25. 19:00, 경민 : 근데배떡얘기나오ㅓ는순간
2021. 3. 25. 19:00, abyss오재 : 뭐가고민돼
2021. 3. 25. 19:00, 경민 : 가야지 ㅅㅂ;;
2021. 3. 25. 19:00, 경민 : 하면서
2021. 3. 25. 19:00, abyss오재 : 아
2021. 3. 25. 19:00, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 3. 25. 19:00, 경민 : 우리동네는
2021. 3. 25. 19:00, 경민 : 배떡이
2021. 3. 25. 19:00, 경민 : 없어ㅠ
2021. 3. 25. 19:00, 경민 : 짜증나게ㅠ
2021. 3. 25. 19:00, 경민 : 존나촌동네ㅠ
2021. 3. 25. 19:00, 경민 : 먹고싶어도못먹어
2021. 3. 25. 19:00, 경민 : 맨날
2021. 3. 25. 19:00, 경민 : 친구집가서시켜먹음뱉떢
2021. 3. 25. 19:01, 부그뷰 : 오산은 있음
2021. 3. 25. 19:01, 경민 : 오산 좀치누
2021. 3. 25. 19:04, abyss오재 : 우리집은있나
2021. 3. 25. 19:04, abyss오재 : 이미질문와서 삼사일이내에답달아야하누
2021. 3. 25. 19:05, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:08, 원준오빠 : 호엥구
2021. 3. 25. 19:08, 원준오빠 : 복식호흡으로 머리를 맑게해서 답변 잘하라누
2021. 3. 25. 19:08, abyss오재 : 아그러게
2021. 3. 25. 19:08, abyss오재 : 부산도왔따갔다해야하는데
2021. 3. 25. 19:09, abyss오재 : 홀리노트북들고가야겠네..
2021. 3. 25. 19:09, abyss오재 : 귀찮아..
2021. 3. 25. 19:09, abyss오재 : 내일마무리를해야하나
2021. 3. 25. 19:11, 정우 : ㅠ
2021. 3. 25. 19:11, 정우 : 일이많누
2021. 3. 25. 19:21, abyss오재 : 그러게갑자기
2021. 3. 25. 19:21, abyss오재 : 그렇누?;
2021. 3. 25. 19:21, 정우 : 힘내고ㅠ
2021. 3. 25. 19:21, 정우 : 축구봐야지
2021. 3. 25. 19:31, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:31, 원준오빠 : 축구개재밋네
2021. 3. 25. 19:31, abyss오재 : 우쉬
2021. 3. 25. 19:31, abyss오재 : 난이제간다
2021. 3. 25. 19:31, 원준오빠 : 축구 꼭보셈
2021. 3. 25. 19:31, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:31, 정우 : 얼른가라
2021. 3. 25. 19:31, 원준오빠 : 개웃길각
2021. 3. 25. 19:31, 원준오빠 : 언능가고
2021. 3. 25. 19:32, abyss오재 : ㅠㅠ므ㅓ지
2021. 3. 25. 19:32, abyss오재 : 오키오키
2021. 3. 25. 19:32, 경민 : 니근데
2021. 3. 25. 19:32, 경민 : 놀수잇음오재훈?
2021. 3. 25. 19:32, 경민 : 논문때문에?
2021. 3. 25. 19:33, abyss오재 : ㅇㅇ
2021. 3. 25. 19:34, abyss오재 : 별내용없음
2021. 3. 25. 19:34, abyss오재 : 같이씀애랑어차피낼얘기해야해거
2021. 3. 25. 19:34, abyss오재 : 오늘은안함
2021. 3. 25. 19:34, abyss오재 : 다음주월화정도까지라추웅분
2021. 3. 25. 19:35, 원준오빠 : 오호
2021. 3. 25. 19:36, 경민 : 머리다ㅓㄹ말리고걍간다...
2021. 3. 25. 19:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:37, abyss오재 : ㅇㅋㅇㅌ
2021. 3. 25. 19:37, 정우 : 아니 우리나라
2021. 3. 25. 19:37, 정우 : 너무못하는데
2021. 3. 25. 19:37, abyss오재 : 나도도시락먹고
2021. 3. 25. 19:37, abyss오재 : 집좀치우면서
2021. 3. 25. 19:37, abyss오재 : 봐야지
2021. 3. 25. 19:37, abyss오재 : 김밥먹을까?
2021. 3. 25. 19:38, 정우 : ㄱ
2021. 3. 25. 19:38, 원준오빠 : ㄱ
2021. 3. 25. 19:38, 원준오빠 : 비싼김밥 ㄱ
2021. 3. 25. 19:38, 원준오빠 : 와 축구
2021. 3. 25. 19:38, 원준오빠 : 진짜 개쩜
2021. 3. 25. 19:38, 원준오빠 : 아까 상대 공격수에 막혀서 수비존에서 삼각 개돌림
2021. 3. 25. 19:38, abyss오재 : 김밥두줄조짐
2021. 3. 25. 19:39, abyss오재 : 이모티콘 
2021. 3. 25. 19:39, 원준오빠 : 굿
2021. 3. 25. 19:39, 원준오빠 : 라면도
2021. 3. 25. 19:40, abyss오재 : 아그럼라면한줄에
2021. 3. 25. 19:40, abyss오재 : 라면먹을까
2021. 3. 25. 19:40, abyss오재 : 호으ㅡㅇ
2021. 3. 25. 19:41, abyss오재 : ㅏㅡ김밥집닫앗네
2021. 3. 25. 19:41, abyss오재 : 어이업네
2021. 3. 25. 19:41, 원준오빠 : 오
2021. 3. 25. 19:41, 원준오빠 : 골먹음
2021. 3. 25. 19:41, 경민 : ㅅㅂ
2021. 3. 25. 19:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:41, 정우 : 존나못해 진짜
2021. 3. 25. 19:41, 정우 : ㅅㅂ
2021. 3. 25. 19:41, 원준오빠 : 나 11명이 뛰는거같음
2021. 3. 25. 19:42, 경민 : 가져갈게머가잇지?
2021. 3. 25. 19:42, 경민 : 짐싸는중;
2021. 3. 25. 19:42, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:42, 원준오빠 : 김밥
2021. 3. 25. 19:42, abyss오재 : 골먹엇대
2021. 3. 25. 19:42, abyss오재 : ㅠ김밥
2021. 3. 25. 19:42, abyss오재 : 니뭐가쟈와야하냐?
2021. 3. 25. 19:42, 정우 : 일할수있는것들만
2021. 3. 25. 19:42, 정우 : 있음되지않을까
2021. 3. 25. 19:42, 정우 : 와진짜
2021. 3. 25. 19:42, abyss오재 : 그러게
2021. 3. 25. 19:42, 정우 : 다시보니꺼 더못해
2021. 3. 25. 19:42, 정우 : 한
2021. 3. 25. 19:42, 정우 : 5대0
2021. 3. 25. 19:42, 정우 : 나올거같은분위기네
2021. 3. 25. 19:43, abyss오재 : 아 ㅁㅌ멍군집이
2021. 3. 25. 19:43, 경민 : ㅇㅋㅇㅋ
2021. 3. 25. 19:43, abyss오재 : 여기잇엇군
2021. 3. 25. 19:43, 경민 : 그러게 생각이안나서 생각하고있엇는데 아무리생각해도 가져갈게없어
2021. 3. 25. 19:43, abyss오재 : 충전기
2021. 3. 25. 19:43, 경민 : 아이패두맥북만들고가야ㅏㅑ쥐
2021. 3. 25. 19:43, 경민 : 충전깈챙김
2021. 3. 25. 19:43, abyss오재 : ㅇㅋㅇㅋ
2021. 3. 25. 19:43, 경민 : 이제더업지
2021. 3. 25. 19:43, 경민 : 스킨로션..훔쳐쓰고..
2021. 3. 25. 19:43, 경민 : ㅜ머..
2021. 3. 25. 19:43, abyss오재 : 그렇다
2021. 3. 25. 19:43, 경민 : 칫솔챙겻고
2021. 3. 25. 19:43, 경민 : 치약훔치고
2021. 3. 25. 19:43, abyss오재 : 그렇지
2021. 3. 25. 19:43, abyss오재 : 칫솔
2021. 3. 25. 19:43, abyss오재 : 잇지않나니
2021. 3. 25. 19:43, abyss오재 : 여기에
2021. 3. 25. 19:43, 경민 : 양말!
2021. 3. 25. 19:44, 경민 : 아잇나
2021. 3. 25. 19:44, 경민 : ?
2021. 3. 25. 19:44, abyss오재 : 빨간거..?
2021. 3. 25. 19:44, 경민 : 안버림?
2021. 3. 25. 19:44, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅇㅋ
2021. 3. 25. 19:44, abyss오재 : ㅇㅇ
2021. 3. 25. 19:44, 경민 : ㄳㄳ
2021. 3. 25. 19:44, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:44, 경민 : 거의뭐단골이노
2021. 3. 25. 19:44, abyss오재 : 집에칫솔
2021. 3. 25. 19:44, abyss오재 : 7갠가지금
2021. 3. 25. 19:44, abyss오재 : ..;
2021. 3. 25. 19:44, abyss오재 : 지렷다리수준임
2021. 3. 25. 19:44, 경민 : ㄳㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:44, abyss오재 : 개시바 라고하는거냐
2021. 3. 25. 19:44, 경민 : ㄴㄴ
2021. 3. 25. 19:44, 경민 : 오재훈
2021. 3. 25. 19:44, 경민 : 그
2021. 3. 25. 19:44, 경민 : 책
2021. 3. 25. 19:44, 경민 : 빌려줄까?
2021. 3. 25. 19:44, abyss오재 : 그래
2021. 3. 25. 19:44, abyss오재 : 뭔지모르지만
2021. 3. 25. 19:44, abyss오재 : 일단받아둬야지
2021. 3. 25. 19:44, 경민 : ㅅㅂ
2021. 3. 25. 19:45, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:45, 경민 : 아니;;;;
2021. 3. 25. 19:45, 경민 : ㅠ
2021. 3. 25. 19:45, 경민 : 나근데
2021. 3. 25. 19:45, 경민 : 버스
2021. 3. 25. 19:45, 경민 : 놓칠각인데;
2021. 3. 25. 19:45, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:45, abyss오재 : 집그만챙기고나오셈;
2021. 3. 25. 19:45, abyss오재 : 술사놔야하나?
2021. 3. 25. 19:45, abyss오재 : 술딱 소주네병
2021. 3. 25. 19:45, abyss오재 : 어떰
2021. 3. 25. 19:45, 정우 : 굿
2021. 3. 25. 19:45, 정우 : 좋네
2021. 3. 25. 19:45, abyss오재 : 에다가
2021. 3. 25. 19:45, abyss오재 : 피처두개
2021. 3. 25. 19:45, abyss오재 : 소맥가자
2021. 3. 25. 19:45, abyss오재 : 이모티콘 
2021. 3. 25. 19:46, 정우 : 아니ㅅㅂ
2021. 3. 25. 19:46, abyss오재 : 왜
2021. 3. 25. 19:46, 정우 : 중거리슛을 많이할필요가있대
2021. 3. 25. 19:46, 정우 : 근처도못가고있는데 무슨
2021. 3. 25. 19:46, abyss오재 : 뻥축
2021. 3. 25. 19:46, 정우 : 개소리
2021. 3. 25. 19:46, 정우 : 오 또먹힐뻔
2021. 3. 25. 19:47, 원준오빠 : 와 찐짜
2021. 3. 25. 19:47, 원준오빠 : 너무 완벽하게 못해
2021. 3. 25. 19:47, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:47, 정우 : 와 진짜 욕나오게못한다
2021. 3. 25. 19:47, 정우 : ㄹㅇ
2021. 3. 25. 19:47, abyss오재 : ㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ
2021. 3. 25. 19:48, abyss오재 : ㅅㅈ긍금해ㅠ
2021. 3. 25. 19:48, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃겨진짜
2021. 3. 25. 19:48, 정우 : 진짜
2021. 3. 25. 19:48, 정우 : 잘하는거
2021. 3. 25. 19:48, 정우 : 1도앖음
2021. 3. 25. 19:48, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:48, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:48, abyss오재 : 아너무웃기네
2021. 3. 25. 19:48, 경민 : ㅇㅋ
2021. 3. 25. 19:48, 원준오빠 : 뒤로 좀 그만보내
2021. 3. 25. 19:48, 원준오빠 : ㅠ
2021. 3. 25. 19:48, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:48, 정우 : 아니전나
2021. 3. 25. 19:48, 정우 : 말도안되는
2021. 3. 25. 19:49, 정우 : 패스를
2021. 3. 25. 19:49, 정우 : ㅅㅂ
2021. 3. 25. 19:49, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:49, 정우 : 그게되겠냐?
2021. 3. 25. 19:49, 정우 : 어오 시발진짜
2021. 3. 25. 19:50, 원준오빠 : 진짜
2021. 3. 25. 19:50, 원준오빠 : 개답갑
2021. 3. 25. 19:50, 경민 : 버스탐
2021. 3. 25. 19:51, 경민 : 9시에딱도찯
2021. 3. 25. 19:51, 경민 : 항듯?
2021. 3. 25. 19:51, abyss오재 : ㅇㅋ굿
2021. 3. 25. 19:51, abyss오재 : 밥먹고청소각
2021. 3. 25. 19:51, 경민 : 벌써힘들어근데
2021. 3. 25. 19:51, 경민 : 휴
2021. 3. 25. 19:51, 경민 : 왜벌써굴마시냐
2021. 3. 25. 19:51, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:52, 경민 : 멈저시작햇다가 우성이얼굴기억안나는거아님?
2021. 3. 25. 19:52, 정우 : 야
2021. 3. 25. 19:52, 정우 : 씨발
2021. 3. 25. 19:52, 정우 : 축구접어
2021. 3. 25. 19:52, 정우 : 좆병신들아
2021. 3. 25. 19:52, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:52, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:52, 정우 : 장난하냐
2021. 3. 25. 19:52, 정우 : ㅅㅂ선수들인가 저게?
2021. 3. 25. 19:52, 정우 : 존나쳐멀뚱멀뚱
2021. 3. 25. 19:55, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:55, abyss오재 : 벌써이대영이네
2021. 3. 25. 19:55, abyss오재 : ㅅㅂ
2021. 3. 25. 19:55, 정우 : 존나
2021. 3. 25. 19:55, 정우 : 축구도못하는게
2021. 3. 25. 19:55, 경민 : 오재훈
2021. 3. 25. 19:55, 정우 : 성질만 존나더럽네
2021. 3. 25. 19:55, 경민 : 유퀴즈방탄편봄?
2021. 3. 25. 19:56, 정우 : 아니
2021. 3. 25. 19:57, 정우 : 왜경고안줘
2021. 3. 25. 19:57, abyss오재 : 그것도
2021. 3. 25. 19:57, abyss오재 : 봐야하눈데ㅠ
2021. 3. 25. 19:57, 경민 : 좀딱ㄱㄱ
2021. 3. 25. 19:57, abyss오재 : 니오면뽈까?
2021. 3. 25. 19:57, abyss오재 : ㅇㅋㅇㅋ
2021. 3. 25. 19:57, 원준오빠 : 봐야하는디
2021. 3. 25. 19:58, 원준오빠 : 주장 뭐한거지?
2021. 3. 25. 19:58, 원준오빠 : 호위해주는데 골대까지
2021. 3. 25. 19:59, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:59, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 19:59, 원준오빠 : 코미디?
2021. 3. 25. 20:00, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:00, 정우 : 와
2021. 3. 25. 20:00, 정우 : 일본ㅇ
2021. 3. 25. 20:00, 정우 : 존나봐주네
2021. 3. 25. 20:00, 원준오빠 : 근데 우리는 오ㅑ
2021. 3. 25. 20:00, 원준오빠 : 태극기랑 일장기 다 달고있냐
2021. 3. 25. 20:01, 정우 : 항상 상대편국기도 같이달던데
2021. 3. 25. 20:02, 원준오빠 : 일본놈들은 왜 안달아 ㅡㅡ
2021. 3. 25. 20:02, 원준오빠 : 건방진
2021. 3. 25. 20:02, 정우 : 아니
2021. 3. 25. 20:02, abyss오재 : 엥개싫어
2021. 3. 25. 20:02, 정우 : 뭐지?
2021. 3. 25. 20:02, 정우 : 저패스의 의도가
2021. 3. 25. 20:02, 정우 : 대체뭐지?
2021. 3. 25. 20:02, 원준오빠 : 공을 차고싶었다
2021. 3. 25. 20:02, abyss오재 : 다른나라는달아도
2021. 3. 25. 20:02, 정우 : 다들존나
2021. 3. 25. 20:02, abyss오재 : 일본응떼야쥬
2021. 3. 25. 20:03, 정우 : 지가 영웅되고싶은
2021. 3. 25. 20:03, 정우 : 패스하는거같은데
2021. 3. 25. 20:03, abyss오재 : 삼김폭식해버렷다
2021. 3. 25. 20:03, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅈ
2021. 3. 25. 20:03, 원준오빠 : 슛 머야
2021. 3. 25. 20:03, abyss오재 : 대포
2021. 3. 25. 20:03, abyss오재 : 쏘는데
2021. 3. 25. 20:03, 정우 : 아 웃기더힘들다 이제
2021. 3. 25. 20:03, abyss오재 : ;?
2021. 3. 25. 20:03, 정우 : 슛
2021. 3. 25. 20:03, 원준오빠 : 푸하하
2021. 3. 25. 20:03, 정우 : 억지로 하나했네
2021. 3. 25. 20:04, 정우 : 아니 일본은 12명이뛰나?
2021. 3. 25. 20:04, 정우 : 수비도 우리보다많고
2021. 3. 25. 20:04, 정우 : 공격더 우리보다많고
2021. 3. 25. 20:04, abyss오재 : 갑자기계란먹고싶은데
2021. 3. 25. 20:04, abyss오재 : 계란먹어도되냐누;;?
2021. 3. 25. 20:05, abyss오재 : 후라이먹어야지
2021. 3. 25. 20:05, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:06, 정우 : 고우
2021. 3. 25. 20:12, abyss오재 : 끝남전반
2021. 3. 25. 20:12, abyss오재 : 뭐임
2021. 3. 25. 20:16, abyss오재 : 계란뭔데존나맛잇네
2021. 3. 25. 20:16, abyss오재 : 어개배불러
2021. 3. 25. 20:16, abyss오재 : 허겁지겁먹엇네;;;
2021. 3. 25. 20:19, 정우 : 개쌉탈탈털림
2021. 3. 25. 20:19, 정우 : 야진짜 전반 주요장면 딱3개보여주는데
2021. 3. 25. 20:19, 정우 : 거기에 우리나라 슈팅하나한거를 넣엌ㅅ네
2021. 3. 25. 20:19, 정우 : 양심있냐?
2021. 3. 25. 20:19, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:21, 경민 : 오댜훈
2021. 3. 25. 20:21, 경민 : 나이제종3임
2021. 3. 25. 20:21, 경민 : 근데나느진짜
2021. 3. 25. 20:21, 경민 : 셀러브리티가젤조아ㅠ
2021. 3. 25. 20:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:23, 정우 : 나는 블루밍
2021. 3. 25. 20:24, 경민 : 아니이번거즁에
2021. 3. 25. 20:24, 경민 : ㅋㅋㅋㅋㅋ
2021. 3. 25. 20:24, 경민 : 블루밍도좋지 ㅇㅈㅇㅈ
2021. 3. 25. 20:25, 정우 : ㅇㅎㅇㅎ
2021. 3. 25. 20:25, 정우 : 이번꺼는아직
2021. 3. 25. 20:25, 정우 : 다안달려봄
2021. 3. 25. 20:25, 정우 : 하 또
2021. 3. 25. 20:26, 정우 : 암걸리는 후반전 한번
2021. 3. 25. 20:26, 정우 : 봐볼까
2021. 3. 25. 20:27, 정우 : 아니 이강인은 왜빼고
2021. 3. 25. 20:27, 정우 : 골키퍼는 왜바꿔
2021. 3. 25. 20:28, abyss오재 : 아이유노래
2021. 3. 25. 20:28, abyss오재 : ㅇㅋㅇㅋ
2021. 3. 25. 20:28, abyss오재 : 아니아이유노래
2021. 3. 25. 20:28, abyss오재 : 뮵랑보니가
2021. 3. 25. 20:28, abyss오재 : 대좋네
2021. 3. 25. 20:28, 경민 : 으
2021. 3. 25. 20:28, abyss오재 : 아
2021. 3. 25. 20:28, abyss오재 : 청소기돌려야하는데
2021. 3. 25. 20:28, abyss오재 : 쌉귀찮누 ;;
2021. 3. 25. 20:28, abyss오재 : 이모티콘 
2021. 3. 25. 20:29, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ1호선냄새ㅠ
2021. 3. 25. 20:29, abyss오재 : Rgrg
2021. 3. 25. 20:29, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:29, 경민 : 12분후 회기역
2021. 3. 25. 20:29, 경민 : ㅅㅂ진짜회기단골이야
2021. 3. 25. 20:30, 경민 : 내가왜가고잇지
2021. 3. 25. 20:30, 경민 : 노닺이ㅣ다
2021. 3. 25. 20:30, abyss오재 : 아니 ㅅㅂ
2021. 3. 25. 20:31, abyss오재 : 샵검색 : #이이경 칼퇴근
2021. 3. 25. 20:31, abyss오재 : 이거뭔데노래
2021. 3. 25. 20:31, abyss오재 : 니
2021. 3. 25. 20:31, abyss오재 : 와야지
2021. 3. 25. 20:31, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:31, abyss오재 : 이섯준은아직과외중인가
2021. 3. 25. 20:31, 정우 : ㅎ
2021. 3. 25. 20:31, 정우 : 회기
2021. 3. 25. 20:31, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:31, 정우 : 작작가야해ㅠ
2021. 3. 25. 20:31, 원준오빠 : 해설 누구야?
2021. 3. 25. 20:33, 정우 : 샵검색 : #한일전 해설
2021. 3. 25. 20:33, 정우 : 와아까 안먹힌ㄱㅅ도 기적이다
2021. 3. 25. 20:34, 정우 : 안정환 얼마나 답답할까
2021. 3. 25. 20:34, abyss오재 : 호호호
2021. 3. 25. 20:34, 정우 : 아니무슨
2021. 3. 25. 20:34, 정우 : ㅅㅂ
2021. 3. 25. 20:34, 정우 : 볼트래핑 그거를
2021. 3. 25. 20:34, 정우 : 아오
2021. 3. 25. 20:34, abyss오재 : 아니뭐함방금
2021. 3. 25. 20:34, 정우 : 병신같은
2021. 3. 25. 20:34, abyss오재 : 걍잡고
2021. 3. 25. 20:34, abyss오재 : 아니저뒤에뭐함
2021. 3. 25. 20:34, abyss오재 : ㅅㅂ
2021. 3. 25. 20:34, 정우 : 그건진짜 나도걍받겠다
2021. 3. 25. 20:34, abyss오재 : 도라이갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 25. 20:35, 정우 : ㅅㅂ저런애를 빼야지
2021. 3. 25. 20:35, abyss오재 : 안정환욕존나참고잇겟다
2021. 3. 25. 20:35, 정우 : 이강인 지가 잣같은위치에놔두고
2021. 3. 25. 20:35, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ존나열받을듯진짜
2021. 3. 25. 20:35, 정우 : 빼고
