Talk_2021.8.24 13:11-85.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 6월 24일 목요일
2021. 6. 24. 22:35, abyss오재 : 일단 얼찜먼저한다
2021. 6. 29. 17:25, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:25, 경민 : ㅠ피티끝난첫날부터이러먼안대는데
2021. 6. 29. 17:30, abyss오재 : 사드응
2021. 6. 29. 17:34, 정우 : 또함?
2021. 6. 29. 17:34, abyss오재 : ㅇㅋㅇㅋ
2021. 6. 29. 17:34, abyss오재 : 나
2021. 6. 29. 17:34, abyss오재 : 강릉에 내려주면
2021. 6. 29. 17:34, abyss오재 : 난강릉에서
2021. 6. 29. 17:34, abyss오재 : 기차타고오는게나을수도있을거같기도한데
2021. 6. 29. 17:34, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:34, abyss오재 : 속안좋으니
2021. 6. 29. 17:34, abyss오재 : 튀티ㅜ하는기분으로
2021. 6. 29. 17:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ
2021. 6. 29. 17:35, abyss오재 : 진짜 차오래타면
2021. 6. 29. 17:35, abyss오재 : 나또막화장실가고싶다고
2021. 6. 29. 17:35, abyss오재 : 요새 술마시면화장실 지리게자주가서
2021. 6. 29. 17:35, abyss오재 : ㅅㅂ
2021. 6. 29. 17:35, 정우 : 으 극혐
2021. 6. 29. 17:35, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:35, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:35, abyss오재 : 그럴바에 … 강릉까지만
2021. 6. 29. 17:35, abyss오재 : 근데강릉을들리는지를모르겟네
2021. 6. 29. 17:35, abyss오재 : 차로왔다갔다할때
2021. 6. 29. 17:35, abyss오재 : ㅈㅅ
2021. 6. 29. 17:35, abyss오재 : 카톡보다준비안햇누
2021. 6. 29. 17:35, 정우 : ㅡㅡ
2021. 6. 29. 17:35, abyss오재 : 지숑지숑!
2021. 6. 29. 17:36, 정우 : 속초랑 강릉은
2021. 6. 29. 17:36, 정우 : 존나멀지
2021. 6. 29. 17:36, abyss오재 : 한시간15분
2021. 6. 29. 17:36, abyss오재 : 버스로
2021. 6. 29. 17:36, abyss오재 : 잡히든데
2021. 6. 29. 17:36, abyss오재 : 저는화장실;;;;
2021. 6. 29. 17:36, abyss오재 : 무조건기차;;;;
2021. 6. 29. 17:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:37, abyss오재 : 고기 3점남았따
2021. 6. 29. 17:37, 정우 : 흠근데 속초도
2021. 6. 29. 17:37, abyss오재 : ㅠㅠㅠ
2021. 6. 29. 17:37, 정우 : 운전하면힘든데
2021. 6. 29. 17:37, abyss오재 : 긍까
2021. 6. 29. 17:37, abyss오재 : 저번에
2021. 6. 29. 17:37, 정우 : 아 저방에 얘기해야지
2021. 6. 29. 17:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:37, abyss오재 : ㅇㅇ
2021. 6. 29. 17:46, abyss오재 : 하
2021. 6. 29. 17:46, abyss오재 : 고기다먹엇다
2021. 6. 29. 17:47, 정우 : 굿
2021. 6. 29. 17:48, 원준오빠 : 오늘 왜케 피곤해지
2021. 6. 29. 17:48, 원준오빠 : 푸항
2021. 6. 29. 17:50, abyss오재 : 벼원을
2021. 6. 29. 17:50, abyss오재 : 가야해서그래
2021. 6. 29. 17:50, 경민 : 2주전에시킨
2021. 6. 29. 17:50, 경민 : 모자가왓는데
2021. 6. 29. 17:51, 경민 : 예쁜데너무하얘서내가소화를
2021. 6. 29. 17:51, 경민 : 못하누
2021. 6. 29. 17:51, 경민 : ㅎ;
2021. 6. 29. 17:51, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:51, abyss오재 : 아 킹받네,,
2021. 6. 29. 17:52, abyss오재 : 카직스 4레벨부터
2021. 6. 29. 17:52, abyss오재 : 8개인가있었는데
2021. 6. 29. 17:52, abyss오재 : 안나오네
2021. 6. 29. 17:52, abyss오재 : ㅎ
2021. 6. 29. 17:52, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개킹
2021. 6. 29. 17:52, 경민 : 아
2021. 6. 29. 17:52, 경민 : 운동가기싫으니까렌즈
2021. 6. 29. 17:52, 경민 : 껴야겟다
2021. 6. 29. 17:52, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:52, 경민 : 나랑안하니까
2021. 6. 29. 17:52, 경민 : 좀어떠
2021. 6. 29. 17:52, 경민 : ㅁ
2021. 6. 29. 17:52, 경민 : 난이도 ㄱㅊ?
2021. 6. 29. 17:53, abyss오재 : 아요새
2021. 6. 29. 17:53, abyss오재 : 워윅
2021. 6. 29. 17:53, abyss오재 : 너무많이해서
2021. 6. 29. 17:53, abyss오재 : 게임재미없음;;
2021. 6. 29. 17:53, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:53, abyss오재 : 다 워윅만함
2021. 6. 29. 17:53, 경민 : 먼지앎
2021. 6. 29. 17:53, 경민 : 재미없는데
2021. 6. 29. 17:53, 경민 : 계속
2021. 6. 29. 17:53, 경민 : 하게되지않냐?
2021. 6. 29. 17:53, abyss오재 : ㄴㄴ;
2021. 6. 29. 17:53, 경민 : 내가지금그상태임;
2021. 6. 29. 17:53, abyss오재 : 지금방금
2021. 6. 29. 17:53, 경민 : 엥아니가
2021. 6. 29. 17:53, abyss오재 : 워윅
2021. 6. 29. 17:53, 경민 : 그래서새로운
2021. 6. 29. 17:53, 경민 : 게임하고싶어;
2021. 6. 29. 17:53, abyss오재 : 또 워윅이러니까 킹받음;;
2021. 6. 29. 17:53, 경민 : 메이플..생각나계속
2021. 6. 29. 17:53, 경민 : ㅠㅜ짜증나
2021. 6. 29. 17:53, abyss오재 : 아니 다양하게 하라고
2021. 6. 29. 17:53, abyss오재 : 이렇게 만든걸
2021. 6. 29. 17:53, abyss오재 : 다 그냥 정해진거처럼
2021. 6. 29. 17:53, abyss오재 : 해버리니까
2021. 6. 29. 17:53, abyss오재 : 킹받음
2021. 6. 29. 17:53, abyss오재 : ㅠ
2021. 6. 29. 17:53, abyss오재 : 뭔말인줄앎?
2021. 6. 29. 17:53, abyss오재 : 워윅개새끼한테
2021. 6. 29. 17:53, 경민 : ㄹㄹㅇㅇ
2021. 6. 29. 17:53, 경민 : 알지
2021. 6. 29. 17:53, abyss오재 : ㄱㅖ속죽어서
2021. 6. 29. 17:53, 경민 : ;
2021. 6. 29. 17:53, abyss오재 : 좆같다는거임
2021. 6. 29. 17:53, abyss오재 : 시발
2021. 6. 29. 17:53, abyss오재 : 다 워윅에다가 대천사
2021. 6. 29. 17:54, 경민 : 내가씨발이걸하고싶은데이길라면
2021. 6. 29. 17:54, abyss오재 : 처바르고
2021. 6. 29. 17:54, 경민 : 이거해야해
2021. 6. 29. 17:54, 경민 : ;
2021. 6. 29. 17:54, abyss오재 : 난근데하기싫억
2021. 6. 29. 17:54, abyss오재 : ㅠ
2021. 6. 29. 17:54, abyss오재 : 쩝
2021. 6. 29. 17:54, abyss오재 : 기분상하고 나옴
2021. 6. 29. 17:54, abyss오재 : 워윅개새끼
2021. 6. 29. 17:55, 빠충 : ㅠ
2021. 6. 29. 17:55, 빠충 : 롤에서 모스트였는데
2021. 6. 29. 17:56, abyss오재 : 이제아무생각없이
2021. 6. 29. 17:56, abyss오재 : 바깥처다보고있어봄
2021. 6. 29. 17:56, abyss오재 : 해지나
2021. 6. 29. 17:56, abyss오재 : 8시에지나;
2021. 6. 29. 17:57, 정우 : ㅎ
2021. 6. 29. 17:57, 정우 : 미안
2021. 6. 29. 17:57, abyss오재 : 니한테
2021. 6. 29. 17:57, abyss오재 : 발린거아님
2021. 6. 29. 17:57, 정우 : 근데나도 워윅에 두개나박았는데
2021. 6. 29. 17:57, abyss오재 : 근데 워윅이 한판에
2021. 6. 29. 17:57, 정우 : 1등은 3성이네
2021. 6. 29. 17:57, abyss오재 : 두세명이있어
2021. 6. 29. 17:57, abyss오재 : ㅇㅇ
2021. 6. 29. 17:57, 정우 : 걔한테 나도짐
2021. 6. 29. 17:57, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 17:57, 정우 : 후
2021. 6. 29. 17:57, abyss오재 : 노잼임;;;;
2021. 6. 29. 17:57, 정우 : 저녁고민을
2021. 6. 29. 17:57, 정우 : 해야할시간
2021. 6. 29. 17:57, abyss오재 : ㅇㅈ
2021. 6. 29. 17:58, abyss오재 : 이래서
2021. 6. 29. 17:58, abyss오재 : 하나가
2021. 6. 29. 17:58, abyss오재 : 너무쎄면
2021. 6. 29. 17:58, abyss오재 : 밸런스패치를
2021. 6. 29. 17:58, abyss오재 : 매번하는건가
2021. 6. 29. 17:58, 경민 : ㅇㅇ
2021. 6. 29. 17:58, 정우 : 밥뭐먹지
2021. 6. 29. 17:58, abyss오재 : 간장게장
2021. 6. 29. 17:58, 빠충 : 옐피
2021. 6. 29. 17:58, abyss오재 : 된장찌개
2021. 6. 29. 17:58, 정우 : 옐피 존나맛있겠다
2021. 6. 29. 17:59, 정우 : ㅠ
2021. 6. 29. 17:59, abyss오재 : 옐피
2021. 6. 29. 17:59, abyss오재 : 옐피 ㄹㅇ
2021. 6. 29. 17:59, abyss오재 : 옐피포테이토개존
2021. 6. 29. 18:01, 정우 : 아 오늘
2021. 6. 29. 18:01, 정우 : 시켜먹을까
2021. 6. 29. 18:01, abyss오재 : ㅇㅇ
2021. 6. 29. 18:01, abyss오재 : 시켜먹기 고고고고고고
2021. 6. 29. 18:01, abyss오재 : 뭘시키냐면
2021. 6. 29. 18:01, abyss오재 : 불족발
2021. 6. 29. 18:01, abyss오재 : 어떰?
2021. 6. 29. 18:03, 정우 : ㄴㄴ
2021. 6. 29. 18:03, 정우 : 흠
2021. 6. 29. 18:05, abyss오재 : 흐으ㅡ응ㅁ
2021. 6. 29. 18:07, 정우 : 흠
2021. 6. 29. 18:07, 정우 : 아 너무어려운데?
2021. 6. 29. 18:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:07, 정우 : 주말동안
2021. 6. 29. 18:07, 정우 : 피자파스타회고기 다먹었고
2021. 6. 29. 18:07, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:07, 경민 : ㄹㅇ
2021. 6. 29. 18:07, 경민 : 잘먹;
2021. 6. 29. 18:08, 정우 : 치킨먹어야하나
2021. 6. 29. 18:11, abyss오재 : ㅂㅂ큐
2021. 6. 29. 18:11, abyss오재 : 포장 ㄱㄱ
2021. 6. 29. 18:11, abyss오재 : ㅁㅊ황올을바로먹을수잇다니
2021. 6. 29. 18:11, abyss오재 : ㄹㅇ 치세권 ㅠ
2021. 6. 29. 18:12, 경민 : 1층에
2021. 6. 29. 18:12, 경민 : 푸라닭도잇드만;
2021. 6. 29. 18:12, 경민 : 개꿀;
2021. 6. 29. 18:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:12, 정우 : 오늘은
2021. 6. 29. 18:12, 정우 : 노통먹고싶은데
2021. 6. 29. 18:12, abyss오재 : ㅠ
2021. 6. 29. 18:12, 정우 : 왜
2021. 6. 29. 18:13, abyss오재 : 황올이젤맛잇어서
2021. 6. 29. 18:13, 정우 : 저번에먹음
2021. 6. 29. 18:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:14, abyss오재 : ㅠ
2021. 6. 29. 18:14, abyss오재 : ㅇㅋㄷㅋ
2021. 6. 29. 18:15, 정우 : ㅇㅋ시킴
2021. 6. 29. 18:15, 정우 : 35분
2021. 6. 29. 18:15, 정우 : ㄷㅈ한판
2021. 6. 29. 18:15, 정우 : 해야겠네
2021. 6. 29. 18:17, 원준오빠 : ㄱ?
2021. 6. 29. 18:17, 원준오빠 : 아니다 밥먹어야해
2021. 6. 29. 18:17, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:17, abyss오재 : 아졸리다너무
2021. 6. 29. 18:42, 경민 : 3-2에
2021. 6. 29. 18:42, 경민 : 직스3성;
2021. 6. 29. 18:42, 정우 : ㅁㅊ
2021. 6. 29. 18:42, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 18:42, 정우 : 하 맥주쌔려야지 나도
2021. 6. 29. 18:42, 경민 : 사진
2021. 6. 29. 18:42, 경민 : 게다가저밑에도한말;ㅏ
2021. 6. 29. 18:42, 경민 : 근데레전드인건
2021. 6. 29. 18:42, 경민 : 졌음
2021. 6. 29. 18:42, 경민 : ㅅ싸움
2021. 6. 29. 18:42, 경민 : ㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 6. 29. 19:00, 경민 : 사진
2021. 6. 29. 19:00, 경민 : ㅅㅂ근데졋음
2021. 6. 29. 19:00, 경민 : 딩거템을좆같이줫네내가,,,
2021. 6. 29. 19:02, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 19:02, 경민 : 직스템빼셔
2021. 6. 29. 19:02, 경민 : 딩거줫으면
2021. 6. 29. 19:02, 경민 : 걍이겻겟다 ㅅㅂ
2021. 6. 29. 19:09, 원준오빠 : 아쓋 병원 진료 끝났네
2021. 6. 29. 19:09, 원준오빠 : 토욜에 가야하능군..
2021. 6. 29. 19:17, abyss오재 : ㅠ
2021. 6. 29. 19:19, 경민 : ㅠ
2021. 6. 29. 19:19, 경민 : 원래회사다니ㅕㄴㅇ근무시간에
2021. 6. 29. 19:19, 경민 : 스리슬적다녀와야하뮤
2021. 6. 29. 19:19, 부그뷰 : 병원왜감?
2021. 6. 29. 19:31, 원준오빠 : 오른쪽 엉덩이랑 허벅지 아파서
2021. 6. 29. 19:31, 원준오빠 : 뷸균형맨임 ㅠ
2021. 6. 29. 19:33, abyss오재 : 어 너무너무졸려
2021. 6. 29. 19:33, abyss오재 : 맥주때문인가그냥졸린건가
2021. 6. 29. 19:49, 정우 : 둘다
2021. 6. 29. 20:19, abyss오재 : 아하
2021. 6. 29. 20:19, abyss오재 : 또잣어
2021. 6. 29. 20:19, abyss오재 : 지금까지
2021. 6. 29. 20:51, abyss오재 : 와연구실애
2021. 6. 29. 20:51, abyss오재 : 노무사그거
2021. 6. 29. 20:51, abyss오재 : 그래도돈합의하고끝낫네
2021. 6. 29. 20:51, abyss오재 : 신기방기
2021. 6. 29. 20:51, abyss오재 : 주말에후기듣고온다
2021. 6. 29. 20:52, 부그뷰 : ㅌㅌ
2021. 6. 29. 20:53, abyss오재 : ㅊㅋㅊㅋ
2021. 6. 29. 20:55, 부그뷰 : ㄱㅅㄱㅅ
2021. 6. 29. 20:57, abyss오재 : 아심심하다
2021. 6. 29. 20:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:02, 정우 : 아나도 너무배뷰르다
2021. 6. 29. 21:07, abyss오재 : 뭐하나이제
2021. 6. 29. 21:07, 경민 : 너무
2021. 6. 29. 21:07, 경민 : 힘드러
2021. 6. 29. 21:07, 경민 : ㅅㅂ
2021. 6. 29. 21:07, abyss오재 : 머하는데
2021. 6. 29. 21:07, 경민 : 점심에과식햇더니
2021. 6. 29. 21:07, 경민 : 운동
2021. 6. 29. 21:07, abyss오재 : 술한잔하자
2021. 6. 29. 21:07, 경민 : 하는데
2021. 6. 29. 21:07, 경민 : 그
2021. 6. 29. 21:07, 경민 : 점핑잭
2021. 6. 29. 21:07, 경민 : 하는데
2021. 6. 29. 21:07, 경민 : 내몸무게불어나거
2021. 6. 29. 21:07, 경민 : 존나힘드네시발
2021. 6. 29. 21:08, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:08, 경민 : 그래도
2021. 6. 29. 21:08, 경민 : ㅇ과식한날은
2021. 6. 29. 21:08, 경민 : 운동나오기로
2021. 6. 29. 21:08, 경민 : 나와약속함
2021. 6. 29. 21:08, 경민 : 어떰
2021. 6. 29. 21:14, 원준오빠 : 잘했음
2021. 6. 29. 21:14, 원준오빠 : 그럼
2021. 6. 29. 21:14, 원준오빠 : ㄷㅈ?
2021. 6. 29. 21:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:18, 정우 : 나 할래
2021. 6. 29. 21:18, 원준오빠 : 개귯
2021. 6. 29. 21:18, abyss오재 : 아부경보진짜
2021. 6. 29. 21:18, abyss오재 : ㅠ
2021. 6. 29. 21:18, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:19, abyss오재 : 극혐인서리
2021. 6. 29. 21:19, abyss오재 : 존나해
2021. 6. 29. 21:19, 원준오빠 : 와
2021. 6. 29. 21:19, 원준오빠 : 오ㅑ
2021. 6. 29. 21:19, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:19, abyss오재 : 집가는길에
2021. 6. 29. 21:19, abyss오재 : 습해서
2021. 6. 29. 21:19, abyss오재 : 목긁는데때나온대
2021. 6. 29. 21:19, abyss오재 : ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:19, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:19, 부그뷰 : 아니
2021. 6. 29. 21:19, abyss오재 : 진짜존나웃겨
2021. 6. 29. 21:19, 부그뷰 : 사생활보호좀
2021. 6. 29. 21:19, abyss오재 : ㅈㅅㅈㅅ
2021. 6. 29. 21:19, 원준오빠 : 아니
2021. 6. 29. 21:19, 원준오빠 : 좀
2021. 6. 29. 21:19, 원준오빠 : 그러네
2021. 6. 29. 21:19, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:19, 원준오빠 : 알고싶지않아
2021. 6. 29. 21:19, 부그뷰 : 임마 심심하다고해서
2021. 6. 29. 21:19, 원준오빠 : ㅠ
2021. 6. 29. 21:19, 정우 : 경보형 오늘웃기네
2021. 6. 29. 21:20, 부그뷰 : 재밌는얘기해줬는데
2021. 6. 29. 21:20, 부그뷰 : 바로폭로해보리네
2021. 6. 29. 21:20, 원준오빠 : 오늘 반신욕하고
2021. 6. 29. 21:20, 원준오빠 : 떼밀자!
2021. 6. 29. 21:20, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:20, abyss오재 : 먄먄
2021. 6. 29. 21:20, abyss오재 : 누워서
2021. 6. 29. 21:20, 원준오빠 : 보리
2021. 6. 29. 21:20, abyss오재 : 니랑전화하면서카톡하고잇엇음
2021. 6. 29. 21:21, 원준오빠 : 보리
2021. 6. 29. 21:21, 원준오빠 : 네!
2021. 6. 29. 21:21, 원준오빠 : 보리..
2021. 6. 29. 21:21, 원준오빠 : 보리..
2021. 6. 29. 21:21, 원준오빠 : 네!
2021. 6. 29. 21:21, abyss오재 : 왜저래
2021. 6. 29. 21:21, abyss오재 : 😠
2021. 6. 29. 21:21, 원준오빠 : 왜저
2021. 6. 29. 21:21, 정우 : 몰라
2021. 6. 29. 21:21, 원준오빠 : 왜저
2021. 6. 29. 21:21, abyss오재 : 신원
2021. 6. 29. 21:21, abyss오재 : 신원
2021. 6. 29. 21:21, 원준오빠 : 뭐래
2021. 6. 29. 21:21, abyss오재 : 😠
2021. 6. 29. 21:21, 원준오빠 : 이모티콘 
2021. 6. 29. 21:21, 원준오빠 : 퍄-
2021. 6. 29. 21:22, abyss오재 : 이모티콘 
2021. 6. 29. 21:22, abyss오재 : 아나너무
2021. 6. 29. 21:22, abyss오재 : 너무심심해미친
2021. 6. 29. 21:22, 원준오빠 : 심하네 ㅠ
2021. 6. 29. 21:22, abyss오재 : ㄹㅇ
2021. 6. 29. 21:22, 원준오빠 : 왜 안옴
2021. 6. 29. 21:22, abyss오재 : 침대에서
2021. 6. 29. 21:22, abyss오재 : 일어나기가귀탆아서
2021. 6. 29. 21:22, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:22, abyss오재 : 이모티콘 
2021. 6. 29. 21:22, 원준오빠 : 폰;
2021. 6. 29. 21:22, 원준오빠 : ㅇㅋㅇㅋ존즁
2021. 6. 29. 21:22, abyss오재 : ㅡㅡ
2021. 6. 29. 21:22, abyss오재 : 게임중이네
2021. 6. 29. 21:22, abyss오재 : 콱쉬
2021. 6. 29. 21:23, 원준오빠 : 헿
2021. 6. 29. 21:23, 원준오빠 : 와씨
2021. 6. 29. 21:23, 원준오빠 : 떡잎 굵음
2021. 6. 29. 21:23, 원준오빠 : 승리테크 잘가네
2021. 6. 29. 21:23, abyss오재 : 😠
2021. 6. 29. 21:23, abyss오재 : 먼데
2021. 6. 29. 21:30, 경민 : ㄷㄷㄷㅈ한판하고빕가야디
2021. 6. 29. 21:32, abyss오재 : 아
2021. 6. 29. 21:32, abyss오재 : 뭐하지
2021. 6. 29. 21:32, abyss오재 : 와인이나한병사와서머글까
2021. 6. 29. 21:32, abyss오재 : 이모티콘 
2021. 6. 29. 21:35, 경민 : 좋노
2021. 6. 29. 21:35, 경민 : ;줌술하싱
2021. 6. 29. 21:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:37, 정우 : 또달리누
2021. 6. 29. 21:38, 부그뷰 : 달려달려
2021. 6. 29. 21:39, 원준오빠 : 나 방금 8등인가 한거깉은데
2021. 6. 29. 21:39, 정우 : 맞습니당
2021. 6. 29. 21:39, 원준오빠 : 딴짓하느라 몇등했는지 몰랐늠
2021. 6. 29. 21:39, 원준오빠 : 아하
2021. 6. 29. 21:39, 원준오빠 : 님덜
2021. 6. 29. 21:40, 원준오빠 : 얘기 들어주기 가능?
2021. 6. 29. 21:40, 부그뷰 : ㄱ
2021. 6. 29. 21:40, 정우 : 고우고우
2021. 6. 29. 21:40, 원준오빠 : 여자애가 다리 다처서 잘 못걸어서 휴가 써서 집에 있는데
2021. 6. 29. 21:41, 원준오빠 : 남자 부장이 걔 되게 걱정해주다가
2021. 6. 29. 21:41, 원준오빠 : 혼자 점심먹는다고 걱정된더
2021. 6. 29. 21:41, 원준오빠 : 자취하는 여자애 집근처 와서 점심먹겠다고하는데
2021. 6. 29. 21:41, 부그뷰 : ?
2021. 6. 29. 21:41, 원준오빠 : 수작질같은데 과민반응임?
2021. 6. 29. 21:41, 정우 : ㄴㄴ
2021. 6. 29. 21:41, 부그뷰 : 수작질맞는거같은데
2021. 6. 29. 21:42, 부그뷰 : 부장 결혼함?
2021. 6. 29. 21:42, abyss오재 : 엥개오바
2021. 6. 29. 21:42, abyss오재 : 지가뭔데
2021. 6. 29. 21:42, 부그뷰 : 아니 혼자먹는게
2021. 6. 29. 21:42, abyss오재 : 밥을걔집주변까지가서먹어
2021. 6. 29. 21:42, 부그뷰 : 뭐어때서 가서 먹어준대
2021. 6. 29. 21:42, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:42, 부그뷰 : 그니까
2021. 6. 29. 21:42, 원준오빠 : 몰랔ㅋㅋㅋ
2021. 6. 29. 21:42, abyss오재 : ㅎ?
2021. 6. 29. 21:42, 경민 : 극혐인데
2021. 6. 29. 21:42, abyss오재 : ㄹㅇ
2021. 6. 29. 21:42, 경민 : 부장몇살
2021. 6. 29. 21:42, abyss오재 : 극혐이네진짜
2021. 6. 29. 21:42, 경민 : 여자는몉살
2021. 6. 29. 21:42, 원준오빠 : 아재아재
2021. 6. 29. 21:42, 경민 : 토나오네
2021. 6. 29. 21:42, 원준오빠 : 여자 어리지
2021. 6. 29. 21:42, 경민 : 결혼은
2021. 6. 29. 21:42, 경민 : ?
2021. 6. 29. 21:42, 부그뷰 : 결혼했으면 와이프에게 꼰질러야댐
2021. 6. 29. 21:43, 원준오빠 : 모름
2021. 6. 29. 21:43, 경민 : 아니
2021. 6. 29. 21:43, abyss오재 : 아이
2021. 6. 29. 21:43, 경민 : 햇든안햇든
2021. 6. 29. 21:43, abyss오재 : 선넘네
2021. 6. 29. 21:43, 경민 : 토나옴
2021. 6. 29. 21:43, 경민 : ㅎ
2021. 6. 29. 21:43, abyss오재 : ㅇㅇ
2021. 6. 29. 21:43, 경민 : ;
2021. 6. 29. 21:43, 경민 : 친한거도아니고;ㄹ
2021. 6. 29. 21:43, 원준오빠 : 근데 여자애가 불편하긴한데
2021. 6. 29. 21:43, 경민 : 내밥시발내가
2021. 6. 29. 21:43, 경민 : 아프든말든
2021. 6. 29. 21:43, 원준오빠 : 수작으로 못느끼는거
2021. 6. 29. 21:43, 원준오빠 : 걱정을 심하게 해주는거라고
2021. 6. 29. 21:43, 원준오빠 : 느끼는데
2021. 6. 29. 21:43, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:43, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 6. 29. 21:43, 경민 : 오바;ㅎ
2021. 6. 29. 21:43, 원준오빠 : ;
2021. 6. 29. 21:43, 경민 : 아니나
2021. 6. 29. 21:43, 원준오빠 : 오바지?
2021. 6. 29. 21:43, abyss오재 : 원준이형또 안맞는부분
2021. 6. 29. 21:43, 부그뷰 : 아빠뻘임?
2021. 6. 29. 21:43, 경민 : 그런거잘모르는데도
2021. 6. 29. 21:43, 경민 : 토나오눈데
